task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
strategyqa_recon_00080,strategyqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"Marco Polo did not taste a tomato because tomatoes were not introduced to China until the 16th century, long after his travels.",576,538,0,0.04079216159880161,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 576, 'prime_tokens_output': 538}"
strategyqa_recon_00081,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Yes,555,151,0,0.028499867767095566,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 151}"
strategyqa_recon_00082,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Napoleon Bonaparte could not have flown to his exile on Saint Helena. The ability to fly was not possible at that time.",596,265,0,0.011082971468567848,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 265}"
strategyqa_recon_00083,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Yes,552,303,0,0.006041023880243301,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 552, 'prime_tokens_output': 303}"
strategyqa_recon_00084,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,no,576,323,0,0.0388328917324543,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 576, 'prime_tokens_output': 323}"
strategyqa_recon_00085,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,595,183,0,0.026124995201826096,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 183}"
strategyqa_recon_00086,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Genghis Khan could not have ridden in a hot air balloon during his lifetime.",631,417,0,0.031166942790150642,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 631, 'prime_tokens_output': 417}"
strategyqa_recon_00087,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, grilled salmon is not an appropriate dinner choice for this user given their dietary class.",583,246,0,0.02591591328382492,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 246}"
strategyqa_recon_00088,strategyqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"Sí, Charles Darwin leyó el Origen de las especies en formato impreso durante su visita a París en 1836.",563,372,0,0.05425000563263893,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 563, 'prime_tokens_output': 372}"
strategyqa_recon_00089,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,613,215,0,0.017750076949596405,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 215}"
strategyqa_recon_00090,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, a person could not have flown from London to New York in 1900.",595,272,0,0.011457828804850578,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 272}"
strategyqa_recon_00091,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,613,204,0,0.008624978363513947,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 204}"
strategyqa_recon_00092,strategyqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"No, Leonardo da Vinci could not have watched a Hollywood film as he lived in the 15th and 16th centuries, long before Hollywood films existed. (In Hindi: नहीं, लीोनार्दो दा विंची ने कभी होलीवुड फिल्म नहीं देखी थी क्योंकि वह 15वें और 16वें শতक में रहते थे, जब होलीवुड फिल्में नहीं थीं।)",559,367,0,0.060499878600239754,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 367}"
strategyqa_recon_00093,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,yes,554,162,0,0.00900006853044033,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 554, 'prime_tokens_output': 162}"
strategyqa_recon_00094,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Galileo did not look through a telescope at Pluto.",590,323,0,0.017124926671385765,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 323}"
strategyqa_recon_00095,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,595,182,0,0.01591700129210949,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 182}"
strategyqa_recon_00096,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"Yes, the average human heart rate at rest is higher than 30 beats per minute.",587,212,0,0.021249987185001373,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 587, 'prime_tokens_output': 212}"
strategyqa_recon_00097,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,595,182,0,0.014292076230049133,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 182}"
strategyqa_recon_00098,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Albert Einstein could not have driven a Tesla Model S.",578,406,0,0.015333062037825584,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 578, 'prime_tokens_output': 406}"
strategyqa_recon_00099,strategyqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Yes,555,161,0,0.018582912161946297,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 161}"
strategyqa_recon_00080,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,False,False,1.0,True,,,,'马可·波罗是否品尝过西红柿?',1151,764,0,2102.7958339545876,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 576, 'prime_tokens_output': 538}"
strategyqa_recon_00081,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,yes,1109,262,0,1453.9967090822756,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 151}"
strategyqa_recon_00082,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Napoleon Bonaparte could not have flown to his exile on Saint Helena. He was exiled in 1815, long before the invention of airplanes.",1191,433,0,1631.6431660670787,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 265}"
strategyqa_recon_00083,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,yes,1103,443,0,1879.0172080043703,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 552, 'prime_tokens_output': 303}"
strategyqa_recon_00084,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Isaac Newton did not use a calculator.",1152,516,0,11780.287500005215,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 576, 'prime_tokens_output': 323}"
strategyqa_recon_00085,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,1189,352,0,1630.2300831303,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 183}"
strategyqa_recon_00086,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Genghis Khan could not have ridden in a hot air balloon during his lifetime.",1261,652,0,5609.568874817342,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 631, 'prime_tokens_output': 417}"
strategyqa_recon_00087,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,1165,390,0,4010.2777080610394,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 246}"
strategyqa_recon_00088,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"Yes, Charles Darwin did read 'Origin of Species' in printed form during his stay in Paris.",1125,757,0,4500.109874876216,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 563, 'prime_tokens_output': 372}"
strategyqa_recon_00089,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,1225,335,0,1377.6086249854416,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 215}"
strategyqa_recon_00090,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,False,False,1.0,False,,,,"No, a person could not have flown from Paris to New York in 1900.",1189,628,0,4486.972500104457,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 272}"
strategyqa_recon_00091,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,1225,349,0,1806.5393338911235,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 204}"
strategyqa_recon_00092,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,True,,,,"No, Leonardo da Vinci never watched a Hollywood film.",1117,751,0,4200.203292071819,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 367}"
strategyqa_recon_00093,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,yes,1108,334,0,9990.589375142008,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 554, 'prime_tokens_output': 162}"
strategyqa_recon_00094,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Galileo never looked through a telescope at Pluto.",1179,569,0,2389.003291958943,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 323}"
strategyqa_recon_00095,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,No,1189,345,0,3119.0514999907464,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 182}"
strategyqa_recon_00096,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"Yes, the average human heart rate is higher than 30 beats per minute at rest.",1174,399,0,2080.9207500424236,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 587, 'prime_tokens_output': 212}"
strategyqa_recon_00097,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,no,1189,351,0,1836.922915885225,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 182}"
strategyqa_recon_00098,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"No, Albert Einstein could not have driven a Tesla Model S. He passed away in 1955, and the Tesla Model S was first produced in 2012.",1155,712,0,5236.145874951035,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 578, 'prime_tokens_output': 406}"
strategyqa_recon_00099,strategyqa_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Yes,1110,287,0,6699.8976659961045,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 161}"
strategyqa_recon_00080,strategyqa_recon,intro_specter_llm,mistralai/mistral-nemo,0,False,False,1.0,True,repair_failed,a10,"[{'node_id': 'a5', 'prior': 0.05, 'likelihood': 1.0, 'cost': 6.0, 'posterior': 0.1739130434782609}, {'node_id': 'a8', 'prior': 0.05, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.1739130434782609}, {'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 9.0, 'posterior': 0.1739130434782609}, {'node_id': 'a6', 'prior': 0.04999999999999999, 'likelihood': 1.0, 'cost': 5.0, 'posterior': 0.17391304347826084}, {'node_id': 'a3', 'prior': 0.024999999999999994, 'likelihood': 1.0, 'cost': 8.0, 'posterior': 0.08695652173913042}, {'node_id': 'a9', 'prior': 0.024999999999999994, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.08695652173913042}, {'node_id': 'a4', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 7.0, 'posterior': 0.04347826086956522}, {'node_id': 'a10', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.04347826086956522}, {'node_id': 'a7', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.04347826086956522}]","Marco Polo did not taste a tomato because tomatoes were not introduced to China until the 16th century, long after his travels.",2121,1591,0,125348.183875205,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 576, 'prime_tokens_output': 538}"
strategyqa_recon_00081,strategyqa_recon,intro_specter_llm,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,Yes,1495,350,0,1744.2285411525518,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 555, 'prime_tokens_output': 151}"
strategyqa_recon_00082,strategyqa_recon,intro_specter_llm,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,"No, Napoleon Bonaparte could not have flown to his exile on Saint Helena. The ability to fly was not possible at that time.",1663,577,0,3130.668041994795,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 596, 'prime_tokens_output': 265}"
strategyqa_recon_00083,strategyqa_recon,intro_specter_llm,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,Yes,1635,618,0,16425.60304212384,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 552, 'prime_tokens_output': 303}"
strategyqa_recon_00084,strategyqa_recon,intro_specter_llm,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,no,1702,833,0,4897.136500105262,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 576, 'prime_tokens_output': 323}"
