task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Thrive Market,4780,845,0,7916.614250003477,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2120, 'prime_tokens_output': 311}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user has tried making a Negroni at home 10 times since their friend Emma showed them how to make it.,4891,774,0,8313.256417008233,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2193, 'prime_tokens_output': 336}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,February 1st,3880,482,0,6215.652416998637,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1830, 'prime_tokens_output': 78}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user tried a lavender gin fizz recipe last weekend.,4547,1217,0,10770.471333002206,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1893, 'prime_tokens_output': 493}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The first issue I had with my new car after its first service was the GPS system not functioning correctly.,4304,683,0,6789.977584005101,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1918, 'prime_tokens_output': 260}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a4,"[{'node_id': 'a4', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The information provided is not enough to determine how often user sees Dr. Johnson.,4312,867,0,13402.101749990834,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1835, 'prime_tokens_output': 372}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a3,"[{'node_id': 'a3', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",2 days.,4456,768,0,19255.69241598714,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1964, 'prime_tokens_output': 319}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,photography and cooking,3644,858,0,9938.629707990913,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1694, 'prime_tokens_output': 114}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user used their new binoculars for two weeks before seeing the American goldfinches returning to the area.,3964,365,0,3540.2461670018965,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1836, 'prime_tokens_output': 148}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user usually gets home from work at 6:30 pm on weeknights.,4464,881,0,8458.38804099185,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1940, 'prime_tokens_output': 356}"
real_lme_00010_0a34ad58,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a4,"[{'node_id': 'a4', 'prior': 0.30000000000000004, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.47058823529411775}, {'node_id': 'a3', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.31372549019607837}, {'node_id': 'a2', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.15686274509803919}, {'node_id': 'a1', 'prior': 0.03, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.047058823529411764}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.011764705882352941}]",Use your Suica card to navigate Tokyo's public transportation system.,4468,669,0,38151.718499997514,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2087, 'prime_tokens_output': 151}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user set up the smart thermostat first.,4291,393,0,5067.10420899617,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2031, 'prime_tokens_output': 84}"
real_lme_00012_d6233ab6,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.007500000000000007, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]","I'm not sure if attending the high school reunion would be a good idea, as I don't have enough information about your current interests and preferences.",4042,602,0,15133.518375005224,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1792, 'prime_tokens_output': 274}"
real_lme_00013_7024f17c,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a2,"[{'node_id': 'a2', 'prior': 0.05, 'likelihood': 0.0, 'cost': 1.0, 'posterior': 1.0}]",0.5 hours,4032,521,0,31871.82670799666,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1802, 'prime_tokens_output': 222}"
real_lme_00014_gpt4_c27434e8_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a0,"[{'node_id': 'a0', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.5}, {'node_id': 'a1', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.5}]",The Ferrari 288 GTO model.,3745,305,0,19582.266750003328,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1748, 'prime_tokens_output': 103}"
real_lme_00015_6456829e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user initially planted 8 plants for tomatoes and cucumbers.,4096,288,0,4675.602416988113,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1935, 'prime_tokens_output': 84}"
real_lme_00016_f8c5f88b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user bought their new tennis racket from the sports store downtown.,4386,722,0,7398.071500007063,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1955, 'prime_tokens_output': 269}"
real_lme_00017_ba358f49_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 1.0, 'posterior': 1.0}]",The information provided is not enough.,4316,234,0,10130.641125011607,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2053, 'prime_tokens_output': 102}"
