task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
strategyqa_recon_00080,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,马可·波罗没有尝过番茄。,644,616,0,0.043584033846855164,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 644, 'prime_tokens_output': 616}"
strategyqa_recon_00081,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,yes,618,187,0,0.021167099475860596,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 187}"
strategyqa_recon_00082,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"Não, Napoleão Bonaparte não poderia ter voado para o seu exílio em Santa Helena. Ele foi exilado em 1815, e o primeiro voo bem-sucedido da história ocorreu apenas em 1903.",663,639,0,0.05575013346970081,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 663, 'prime_tokens_output': 639}"
strategyqa_recon_00083,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,yes,613,251,0,0.019832979887723923,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 251}"
strategyqa_recon_00084,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"Não, Isaac Newton não usou uma calculadora. As calculadoras mecânicas existiam em formas rudimentares durante a sua vida, mas não eram amplamente utilizadas por cientistas como ele. Newton dependia principalmente de métodos manuais, logaritmos e dos seus próprios desenvolvimentos matemáticos.",644,537,0,0.04954217001795769,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 644, 'prime_tokens_output': 537}"
strategyqa_recon_00085,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,664,268,0,0.011874828487634659,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 664, 'prime_tokens_output': 268}"
strategyqa_recon_00086,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"नहीं, चंगेज़ खान अपने जीवनकाल में हॉट एयर बैलून में सवारी नहीं कर सकते थे। उनका जीवनकाल लगभग 1162 से 1227 तक था, जबकि हॉट एयर बैलून का आविष्कार 1783 में हुआ था।",696,682,0,0.03900006413459778,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 696, 'prime_tokens_output': 682}"
strategyqa_recon_00087,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,648,356,0,0.0069998204708099365,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 648, 'prime_tokens_output': 356}"
strategyqa_recon_00088,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"Sí, Charles Darwin fue el autor de 'El origen de las especies', por lo que es seguro asumir que leyó su propia obra en forma impresa.",626,353,0,0.037708086892962456,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 626, 'prime_tokens_output': 353}"
strategyqa_recon_00089,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,678,267,0,0.02008303999900818,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 678, 'prime_tokens_output': 267}"
strategyqa_recon_00090,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,لا، لم يكن بإمكان شخص أن يسافر بالطائرة من لندن إلى نيويورك في عام 1900. أول رحلة ناجحة عبر المحيط الأطلسي لم تحدث إلا في عام 1919.,660,472,0,0.013832934200763702,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 660, 'prime_tokens_output': 472}"
strategyqa_recon_00091,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,678,259,0,0.00900006853044033,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 678, 'prime_tokens_output': 259}"
strategyqa_recon_00092,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"नहीं, लियोनार्डो दा विंची ने कभी हॉलीवुड फिल्म नहीं देखी। उनका निधन 1519 में हुआ था, जबकि हॉलीवुड फिल्में 20वीं सदी की शुरुआत में बनीं।",621,592,0,0.04929187707602978,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 592}"
strategyqa_recon_00093,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,yes,615,238,0,0.008750008419156075,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 615, 'prime_tokens_output': 238}"
strategyqa_recon_00094,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,"No, Galileo never looked through a telescope at Pluto. Galileo died in 1642, and Pluto was not discovered until 1930.",658,616,0,0.012416858226060867,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 658, 'prime_tokens_output': 616}"
strategyqa_recon_00095,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,664,273,0,0.007292022928595543,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 664, 'prime_tokens_output': 273}"
strategyqa_recon_00096,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"Oui, le rythme cardiaque humain moyen au repos est supérieur à 30 battements par minute. Il se situe généralement entre 60 et 100 battements par minute pour les adultes.",654,480,0,0.06337510421872139,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 654, 'prime_tokens_output': 480}"
strategyqa_recon_00097,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,no,664,260,0,0.019750092178583145,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 664, 'prime_tokens_output': 260}"
strategyqa_recon_00098,strategyqa_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"नहीं, अल्बर्ट आइंस्टीन टेस्ला मॉडल एस नहीं चला सकते थे। उनका निधन 1955 में हुआ था, जबकि टेस्ला मॉडल एस का उत्पादन 2012 में शुरू हुआ था।",646,597,0,0.06383401341736317,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 646, 'prime_tokens_output': 597}"
strategyqa_recon_00099,strategyqa_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,yes,654,225,0,0.16120891086757183,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 654, 'prime_tokens_output': 225}"
strategyqa_recon_00080,strategyqa_recon,full_regen,google/gemini-2.5-flash,0,False,False,1.0,True,,,,马可·波罗从未尝过番茄。,1288,1074,0,3299.466624855995,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 644, 'prime_tokens_output': 616}"
strategyqa_recon_00081,strategyqa_recon,full_regen,google/gemini-2.5-flash,0,True,True,0.0,False,,,,yes,1236,400,0,2785.731292096898,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 187}"
strategyqa_recon_00082,strategyqa_recon,full_regen,google/gemini-2.5-flash,0,False,False,1.0,True,,,,"Não, Napoleão Bonaparte não poderia ter voado para o seu exílio em Santa Helena. Ele foi exilado em 1815, e o primeiro voo motorizado bem-sucedido ocorreu em 1903, muito depois.",1326,1260,0,3752.678999910131,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 663, 'prime_tokens_output': 639}"
