task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Thrive Market,4759,758,0,6557.807584002148,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2120, 'prime_tokens_output': 311}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,10,4838,786,0,7341.72154199041,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2157, 'prime_tokens_output': 320}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,February 1st,3880,385,0,4077.828417008277,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1830, 'prime_tokens_output': 78}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user tried a lavender gin fizz recipe last weekend.,4507,779,0,4670.357457987848,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1893, 'prime_tokens_output': 453}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The first issue with the new car after its first service was the GPS system not functioning correctly.,4303,671,0,6828.1971250107745,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1918, 'prime_tokens_output': 259}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a6,"[{'node_id': 'a6', 'prior': 0.4, 'likelihood': 0.6666666666666666, 'cost': 1.0, 'posterior': 0.5594405594405594}, {'node_id': 'a5', 'prior': 0.30000000000000004, 'likelihood': 0.3333333333333333, 'cost': 2.0, 'posterior': 0.2097902097902098}, {'node_id': 'a3', 'prior': 0.19999999999999996, 'likelihood': 0.3333333333333333, 'cost': 4.0, 'posterior': 0.13986013986013981}, {'node_id': 'a4', 'prior': 0.09999999999999998, 'likelihood': 0.3333333333333333, 'cost': 3.0, 'posterior': 0.06993006993006991}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.6666666666666666, 'cost': 5.0, 'posterior': 0.010489510489510488}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 0.3333333333333333, 'cost': 5.0, 'posterior': 0.005244755244755244}, {'node_id': 'a2', 'prior': 0.0075, 'likelihood': 0.3333333333333333, 'cost': 5.0, 'posterior': 0.005244755244755244}]",The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,4343,1122,0,48987.99104199861,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1835, 'prime_tokens_output': 403}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.05, 'likelihood': 0.6666666666666666, 'cost': 2.0, 'posterior': 0.6153846153846154}, {'node_id': 'a3', 'prior': 0.0125, 'likelihood': 0.6666666666666666, 'cost': 1.0, 'posterior': 0.15384615384615385}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.13846153846153847}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.6666666666666666, 'cost': 4.0, 'posterior': 0.0923076923076923}]",2 days.,4882,1028,0,29335.4592500109,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1964, 'prime_tokens_output': 619}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,photography and cooking,3644,851,0,6925.095625003451,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1694, 'prime_tokens_output': 114}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Two weeks,3972,612,0,1006.9181250000838,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1872, 'prime_tokens_output': 83}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user typically gets home from work around 6:30 pm on weeknights.,4392,688,0,3737.459541996941,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1940, 'prime_tokens_output': 305}"
real_lme_00010_0a34ad58,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a4,"[{'node_id': 'a4', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.3348837209302325}, {'node_id': 'a3', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.3348837209302325}, {'node_id': 'a2', 'prior': 0.059999999999999984, 'likelihood': 0.6666666666666666, 'cost': 3.0, 'posterior': 0.22325581395348834}, {'node_id': 'a1', 'prior': 0.05, 'likelihood': 0.3333333333333333, 'cost': 4.0, 'posterior': 0.0930232558139535}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.3333333333333333, 'cost': 5.0, 'posterior': 0.013953488372093023}]",Use your Suica card to navigate Tokyo's public transportation system.,4542,757,0,48026.54745899781,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2087, 'prime_tokens_output': 225}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The smart thermostat.,4277,204,0,2271.06037500198,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2031, 'prime_tokens_output': 70}"
real_lme_00012_d6233ab6,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.09999999999999998, 'likelihood': 0.6666666666666666, 'cost': 1.0, 'posterior': 1.0}]",Attending the high school reunion would be a great opportunity to reconnect with old friends and revisit favorite subjects like history and economics.,4075,488,0,12412.153166005737,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1792, 'prime_tokens_output': 286}"
real_lme_00013_7024f17c,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.09999999999999998, 'likelihood': 0.6666666666666666, 'cost': 1.0, 'posterior': 1.0}]","You can search online for yoga studios in your area, check out yoga apps, or ask friends for recommendations.",4147,630,0,15590.484000000288,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1802, 'prime_tokens_output': 301}"
real_lme_00014_gpt4_c27434e8_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a2,"[{'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.5357142857142858}, {'node_id': 'a0', 'prior': 0.05, 'likelihood': 0.6666666666666666, 'cost': 2.0, 'posterior': 0.35714285714285715}, {'node_id': 'a1', 'prior': 0.03, 'likelihood': 0.3333333333333333, 'cost': 2.0, 'posterior': 0.10714285714285714}]",The information provided is not enough. You did not mention starting the Porsche 991 Turbo S model.,3743,409,0,20574.498083995422,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1748, 'prime_tokens_output': 101}"
real_lme_00015_6456829e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user initially planted 8 plants for tomatoes and cucumbers.,4401,810,0,7060.9659159963485,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1935, 'prime_tokens_output': 305}"
real_lme_00016_f8c5f88b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user bought their new tennis racket from the sports store downtown.,4409,670,0,8104.870041992399,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1991, 'prime_tokens_output': 255}"
real_lme_00017_ba358f49_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.3333333333333333, 'cost': 1.0, 'posterior': 1.0}]",The information provided is not enough.,4281,236,0,5051.607374989544,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2017, 'prime_tokens_output': 104}"
real_lme_00018_gpt4_d31cdae3,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The family road trip across the American Southwest,4533,378,0,5008.969667003839,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2152, 'prime_tokens_output': 84}"
real_lme_00019_gpt4_e414231f,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user will use MapMyRide to find a route for their 60-mile road bike ride.,4617,954,0,9398.93129200209,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1991, 'prime_tokens_output': 407}"
