task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The director of 'The Story Of A Maid' is older.,4134,1009,0,14653.011957998388,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1709, 'prime_tokens_output': 441}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Jovita Carranza was born first.,3906,1054,0,14931.682374997763,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1619, 'prime_tokens_output': 392}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a5,"[{'node_id': 'a5', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The cause of death of Abdullah bin Abdulaziz Al Saud is unknown from the provided paragraphs.,4288,1108,0,31224.545999997645,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1774, 'prime_tokens_output': 445}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"William Trench, 3rd Earl of Clancarty died on 26 April 1872.",4266,985,0,11969.628000006196,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1793, 'prime_tokens_output': 426}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired,a0,"[{'node_id': 'a0', 'prior': 0.09999999999999998, 'likelihood': 0.0, 'cost': 1.0, 'posterior': 1.0}]",Yes,3929,359,0,33407.913582996116,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1693, 'prime_tokens_output': 253}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Aretha Franklin died in Detroit.,3948,622,0,9196.463083004346,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1694, 'prime_tokens_output': 305}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The director of 'Gambling Wives', Dell Henderson, is Canadian.",3564,782,0,9082.950625001104,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1442, 'prime_tokens_output': 404}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Oliver Palotai was born later than Sherlock Bristol.,4098,923,0,16897.855249990243,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1730, 'prime_tokens_output': 362}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Pat O'Connor was born in Ardmore, County Waterford, Ireland.",3244,844,0,9637.905167008284,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1326, 'prime_tokens_output': 338}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The director of The Mystic died first.,4260,740,0,12442.797374998918,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1861, 'prime_tokens_output': 304}"
real_2wiki_00010_9dde4d9f089811ebbd77ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"No, The Mercy and The Boy Friend (1926 Film) did not originate from the same country. The Mercy is a British film, while The Boy Friend (1926 Film) is an American film.",4095,661,0,6929.236666008364,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1761, 'prime_tokens_output': 340}"
real_2wiki_00011_bb275b6808a011ebbd78ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Love'S Greatest Mistake,4179,890,0,16673.05187501188,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1810, 'prime_tokens_output': 269}"
real_2wiki_00012_2d72c18c0bb011ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The paternal grandfather of Charles Colmore Grant, 7th Baron de Longueuil is Charles William Grant.",3896,891,0,11434.30629199429,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1590, 'prime_tokens_output': 441}"
real_2wiki_00013_dd8d20e40bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Drusus died in Germania.,3607,593,0,12654.716791992541,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1532, 'prime_tokens_output': 289}"
real_2wiki_00014_4c17bba60bb011ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,King Artavasdes I of Media Atropatene,4118,685,0,11949.868541996693,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1820, 'prime_tokens_output': 246}"
real_2wiki_00015_eb7ece320bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Juliana Freire (Computer Scientist)'s wife graduated from Stony Brook University.,4451,897,0,15708.814500001608,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1883, 'prime_tokens_output': 391}"
