,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,a4,False,False,True,False,False,False,False,False,2140,4280,4888,4333,12182,4734,14688,96957,345,646,833,808,511,892,664,3590,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
real_lme_00001_603deb26,42,,True,True,True,True,True,False,True,True,2177,4354,4883,4407,2177,4729,12816,97191,298,615,754,933,298,838,517,3551,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_lme_00002_51c32626,42,a1,False,True,False,True,True,True,False,False,1850,3700,4242,3753,6359,4088,10744,81315,282,564,488,752,356,727,396,2415,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,True,1913,3826,4363,3879,1913,4209,11110,61222,277,535,538,758,277,882,361,1970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00004_gpt4_2655b836,42,a1,False,False,False,False,True,False,False,False,1938,3876,4336,3929,6450,4182,11256,85332,225,291,650,621,293,679,314,2315,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00005_2698e78f_abs,42,,True,True,True,True,True,False,False,False,1855,3710,4257,3763,1855,4103,13181,36624,285,720,805,729,285,748,581,1216,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
real_lme_00006_gpt4_1d80365e,42,a3,False,False,False,False,False,False,False,False,1984,3968,4505,4021,11248,4351,11603,94055,328,568,812,955,518,799,470,5013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00007_5025383b,42,a1,False,False,True,True,True,True,False,True,1714,3428,4002,3481,9987,3848,9960,76949,314,778,529,781,480,712,476,3064,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
real_lme_00008_gpt4_cd90e484,42,a3,False,False,False,False,False,False,False,True,1856,3712,4299,3765,10789,4145,10919,84609,380,704,864,1212,596,1082,640,3891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
real_lme_00009_c19f7a0b,42,a1,False,True,False,False,False,False,False,False,1960,3920,4591,3973,11495,4437,13419,88219,381,747,660,900,563,993,650,3719,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00010_0a34ad58,42,a1,False,False,False,False,False,False,False,False,2107,4214,4776,4267,11992,4622,12439,68715,329,696,535,897,550,822,609,2367,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,True,2051,4102,4564,4155,2051,4410,11932,66003,227,509,629,704,227,610,298,2416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00012_d6233ab6,42,a2,False,False,False,False,False,False,False,False,1812,3624,4152,3677,10465,3998,10645,82047,295,565,653,964,511,784,534,3546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,,True,False,True,True,True,True,True,True,1822,3644,4188,3697,1822,4034,10624,59203,282,691,642,762,282,952,421,2621,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00014_gpt4_c27434e8_abs,42,,True,False,True,False,True,False,False,False,1768,3536,4049,3589,1768,3895,12306,35319,277,554,586,890,277,805,576,1501,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00015_6456829e,42,,True,True,True,True,True,True,True,False,1955,3910,4451,3963,1955,4297,11220,87715,281,621,701,764,281,806,428,3140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_lme_00016_f8c5f88b,42,,True,True,True,True,True,True,True,True,1975,3950,4531,4003,1975,4377,11532,39343,319,614,616,783,319,945,440,1336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00017_ba358f49_abs,42,a2,False,True,True,True,True,False,False,False,2037,4074,4596,4127,6912,4442,11977,40758,288,556,598,871,396,851,523,1666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,False,True,True,True,True,False,True,2172,4344,4894,4397,2172,4740,14898,97727,287,555,693,833,287,788,553,3023,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
real_lme_00019_gpt4_e414231f,42,a2,False,False,False,False,False,False,False,False,2011,4022,4607,4075,11488,4453,11692,64667,323,547,587,799,484,705,427,2325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00020_2698e78f,42,a2,False,False,False,False,False,True,False,False,1775,3550,4168,3603,10392,4014,10282,35373,329,478,639,856,487,832,411,1586,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
real_lme_00021_e56a43b9,42,,True,False,True,False,True,True,True,False,2183,4366,4813,4419,2183,4659,12588,96926,214,457,584,715,214,689,429,3035,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
real_lme_00022_6cb6f249,42,,True,True,True,False,True,True,False,False,1825,3650,4285,3703,1825,4131,12586,81855,401,703,923,859,401,903,803,3445,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
real_lme_00023_e48988bc,42,,True,True,True,True,True,True,True,True,1502,3004,3545,3057,1502,3391,8644,11782,282,614,502,716,282,945,364,566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00024_gpt4_4ef30696,42,a3,False,False,False,False,False,False,False,False,1987,3974,4524,4027,11534,4370,13597,39735,286,871,757,902,689,912,584,1728,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00025_gpt4_4929293b,42,a2,False,False,False,False,True,False,False,False,1852,3704,4289,3757,10685,4135,10750,83046,294,539,602,797,448,846,387,3283,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
