task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra,benchmark
pfqa_recon_00080,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Na,594,233,0,0.0288749579340219,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}",pfqa_llama
pfqa_recon_00081,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Chicken stir-fry,562,329,0,0.0723330304026603,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}",pfqa_llama
pfqa_recon_00082,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Jane Austen,612,265,0,0.0697909854352474,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}",pfqa_llama
pfqa_recon_00083,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Moderate jog,561,248,0,0.0239578075706958,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 561, 'prime_tokens_output': 248}",pfqa_llama
pfqa_recon_00084,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,594,253,0,0.0214590691030025,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00085,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Arabic,622,203,0,0.0360829290002584,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 203}",pfqa_llama
pfqa_recon_00086,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,642,286,0,0.0133751891553401,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 642, 'prime_tokens_output': 286}",pfqa_llama
pfqa_recon_00087,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,London,613,241,0,0.014499993994832,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 241}",pfqa_llama
pfqa_recon_00088,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,True,,,,Paris,575,225,0,0.0392920337617397,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 575, 'prime_tokens_output': 225}",pfqa_llama
pfqa_recon_00089,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,643,238,0,0.0153339933604002,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 238}",pfqa_llama
pfqa_recon_00090,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1969,606,222,0,0.0272500328719615,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 222}",pfqa_llama
pfqa_recon_00091,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,high-intensity intervals,633,252,0,0.0183749943971633,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 633, 'prime_tokens_output': 252}",pfqa_llama
pfqa_recon_00092,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1945,577,249,0,0.0169158447533845,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 577, 'prime_tokens_output': 249}",pfqa_llama
pfqa_recon_00093,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,New York,586,245,0,0.0075420830398797,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 245}",pfqa_llama
pfqa_recon_00094,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Paris,602,208,0,0.0204581301659345,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 602, 'prime_tokens_output': 208}",pfqa_llama
pfqa_recon_00095,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,vegetable risotto,621,313,0,0.0076671130955219,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}",pfqa_llama
pfqa_recon_00096,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,596,253,0,0.03474997356534,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00097,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Vegetable risotto,621,299,0,0.0076659489423036,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 299}",pfqa_llama
pfqa_recon_00098,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,595,250,0,0.0130408443510532,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 250}",pfqa_llama
pfqa_recon_00099,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Mandarin,593,224,0,0.0946668442338705,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 593, 'prime_tokens_output': 224}",pfqa_llama
pfqa_recon_00080,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,,1468,643,0,5042.954624863341,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}",pfqa_llama
pfqa_recon_00081,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,Le poulet stir-fry,1583,1092,0,7973.892292007804,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}",pfqa_llama
pfqa_recon_00082,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"Jane Austen, que é a autora de 'Orgulho e Preconceito'.",1536,758,0,7661.289124982432,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}",pfqa_llama
pfqa_recon_00083,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,Corrida moderada,1417,652,0,4596.083750016987,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 561, 'prime_tokens_output': 248}",pfqa_llama
pfqa_recon_00084,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,O símbolo químico para o ouro é Au.,1488,712,0,11880.31050004065,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00085,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Arabic,1473,545,0,5838.232999900356,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 203}",pfqa_llama
pfqa_recon_00086,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,विश्व की सबसे लम्बी नदी नील है।,1617,881,0,8196.129667107016,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 642, 'prime_tokens_output': 286}",pfqa_llama
pfqa_recon_00087,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,لندن,1514,702,0,5949.418958975002,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 241}",pfqa_llama
pfqa_recon_00088,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,True,,,,La capital de Francia es París.,1422,686,0,6912.095125066116,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 575, 'prime_tokens_output': 225}",pfqa_llama
pfqa_recon_00089,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,Tóquio,1571,757,0,29755.7042920962,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 238}",pfqa_llama
pfqa_recon_00090,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1969 (سنة 1969),1481,657,0,13306.313958019018,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 222}",pfqa_llama
pfqa_recon_00091,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,उच्च तीव्रता अंतराल प्रशिक्षण,1565,750,0,10.454208124428988,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 633, 'prime_tokens_output': 252}",pfqa_llama
pfqa_recon_00092,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,द्वितीय विश्व युद्ध के समाप्त होने का वर्ष 1945 है।,1450,739,0,22837.315540993583,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 577, 'prime_tokens_output': 249}",pfqa_llama
pfqa_recon_00093,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,न्यू यॉर्क,1464,714,0,7830.1428749691695,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 245}",pfqa_llama
pfqa_recon_00094,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Paris,1486,728,0,10056.872917106375,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 602, 'prime_tokens_output': 208}",pfqa_llama
pfqa_recon_00095,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,,1623,920,0,20191.622624872252,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}",pfqa_llama
pfqa_recon_00096,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Le symbole chimique de l'or est Au.,1492,709,0,15300.97575020045,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00097,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Vegetable risotto (Mandarin: ),1609,908,0,19406.322124879807,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 299}",pfqa_llama
pfqa_recon_00098,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,False,,,,टोक्यो जपान का राजधर्णानी हैएगा,1487,813,0,20201.11654116772,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 250}",pfqa_llama
pfqa_recon_00099,pfqa_recon,self_refine,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"In Mandarin, considering the user's context as a teacher in Tokyo, Japan, with a high fitness level.",1436,789,0,23587.185875047,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 593, 'prime_tokens_output': 224}",pfqa_llama
pfqa_recon_00080,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Na,594,233,0,15.505291055887938,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}",pfqa_llama
pfqa_recon_00081,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Chicken stir-fry,562,329,0,11.21220807544887,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}",pfqa_llama
pfqa_recon_00082,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Jane Austen,612,265,0,9.997584158554671,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}",pfqa_llama
pfqa_recon_00083,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Moderate jog,561,248,0,9.491459000855684,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 561, 'prime_tokens_output': 248}",pfqa_llama
pfqa_recon_00084,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,594,253,0,9.684875141829252,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 594, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00085,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Arabic,622,203,0,9.494666010141373,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 622, 'prime_tokens_output': 203}",pfqa_llama
pfqa_recon_00086,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,642,286,0,9.68516618013382,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 642, 'prime_tokens_output': 286}",pfqa_llama
pfqa_recon_00087,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,London,613,241,0,9.620165918022394,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 613, 'prime_tokens_output': 241}",pfqa_llama
pfqa_recon_00088,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,True,,,,Paris,4210,744,0,12428.456041030586,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 575, 'prime_tokens_output': 225}",pfqa_llama
pfqa_recon_00089,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,643,238,0,15.69208293221891,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 643, 'prime_tokens_output': 238}",pfqa_llama
pfqa_recon_00090,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1969,606,222,0,11.54620898887515,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 606, 'prime_tokens_output': 222}",pfqa_llama
pfqa_recon_00091,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,high-intensity intervals,633,252,0,10.16370882280171,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 633, 'prime_tokens_output': 252}",pfqa_llama
pfqa_recon_00092,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1945,577,249,0,9.558374993503094,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 577, 'prime_tokens_output': 249}",pfqa_llama
pfqa_recon_00093,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,New York,586,245,0,9.562417166307569,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 586, 'prime_tokens_output': 245}",pfqa_llama
pfqa_recon_00094,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Paris,602,208,0,9.664042154327037,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 602, 'prime_tokens_output': 208}",pfqa_llama
pfqa_recon_00095,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,vegetable risotto,621,313,0,9.659082861617208,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}",pfqa_llama
pfqa_recon_00096,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,596,253,0,9.595958050340414,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 596, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00097,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Vegetable risotto,621,299,0,9.567082859575748,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 621, 'prime_tokens_output': 299}",pfqa_llama
pfqa_recon_00098,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,595,250,0,9.568082867190242,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 595, 'prime_tokens_output': 250}",pfqa_llama
pfqa_recon_00099,pfqa_recon,reflexion,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Mandarin,593,224,0,9.542042156681418,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 593, 'prime_tokens_output': 224}",pfqa_llama
pfqa_recon_00080,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Na,1188,448,0,5812.325584003702,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}",pfqa_llama
pfqa_recon_00081,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Chicken stir-fry,1124,720,0,17507.618915988132,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}",pfqa_llama
pfqa_recon_00082,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Jane Austen,1224,504,0,15730.349333025517,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}",pfqa_llama
pfqa_recon_00083,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,moderate jog,1122,456,0,4695.289791096002,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 561, 'prime_tokens_output': 248}",pfqa_llama
pfqa_recon_00084,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,1188,468,0,4437.2389591299,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 253}",pfqa_llama
pfqa_recon_00085,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Arabic,1244,363,0,2017.6685000769792,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 203}",pfqa_llama
pfqa_recon_00086,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Nile,1284,516,0,6786.417708965018,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 642, 'prime_tokens_output': 286}",pfqa_llama
pfqa_recon_00087,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,London,1226,537,0,5078.454999951646,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 241}",pfqa_llama
pfqa_recon_00088,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,True,,,,Paris,1150,417,0,5712.5169998034835,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 575, 'prime_tokens_output': 225}",pfqa_llama
pfqa_recon_00089,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,1286,444,0,7341.951875016093,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 238}",pfqa_llama
