,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_musique_00000_3hop1__617062_127905_80487,42,a6,False,False,False,False,False,False,False,False,1868,3736,4582,3790,11652,4430,10979,83308,489,897,1184,1231,2058,1290,748,3626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_musique_00001_3hop1__132968_40769_64047,42,a3,False,False,True,False,True,False,False,True,1612,3224,4055,3278,6218,3903,9600,73115,572,1025,1048,1503,1130,1390,996,3910,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
real_musique_00002_3hop2__36852_326964_7713,42,,True,True,True,True,True,True,True,True,1658,3316,4381,3370,1658,4229,11311,75391,689,1140,1291,1766,689,1357,1043,4112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00003_3hop1__813285_774554_64412,42,,True,True,True,True,True,True,True,True,1816,3632,4231,3686,1816,4079,10610,14278,331,726,759,1116,331,850,548,702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00004_3hop2__92991_28727_76291,42,,True,True,True,True,True,False,True,True,1505,3010,3658,3064,1505,3506,8834,48811,382,971,711,1436,382,829,674,2865,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_musique_00005_3hop1__446612_160545_60577,42,,True,False,True,False,True,False,True,False,1634,3268,4014,3322,1634,3862,9487,73484,451,985,672,1418,451,1089,615,4052,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
real_musique_00006_3hop2__57233_106716_56883,42,,True,True,True,True,True,True,True,True,1619,3238,4098,3292,1619,3946,9486,72845,538,1094,951,1585,538,1192,821,3947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00007_3hop1__313670_42197_18397,42,,True,True,True,True,True,True,True,True,1690,3380,4288,3434,1690,4136,9958,13410,613,1314,1096,1397,613,1199,903,1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00008_3hop1__639955_834494_34109,42,,True,True,True,True,True,True,True,True,1878,3756,4540,3810,1878,4388,11001,60728,462,867,1160,1352,462,976,684,2774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00009_3hop1__312146_720914_27537,42,a0,False,True,False,False,False,False,False,False,1732,3464,4176,3518,10549,4024,10140,78999,417,922,941,1233,1674,1243,647,4034,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
real_musique_00010_3hop1__24980_42197_18397,42,a3,False,True,False,False,False,False,False,False,1719,3438,4046,3492,11038,3894,11687,77924,340,761,777,1005,1592,837,568,3617,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
real_musique_00011_3hop2__88342_93066_47738,42,a2,False,False,False,True,False,True,True,False,1794,3588,4289,3642,11884,4137,12315,81230,463,1296,794,1628,2112,1237,824,4363,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
real_musique_00012_3hop1__567955_503371_21711,42,,True,True,True,True,True,True,True,True,1683,3366,4041,3420,1683,3889,9749,13265,380,974,904,996,380,721,511,807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00013_3hop1__662618_339990_54675,42,a4,False,False,False,True,True,False,True,False,1612,3224,4266,3278,12581,4114,11130,72660,601,1285,1184,1630,2862,1319,1073,4273,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
real_musique_00014_3hop1__145212_443779_52195,42,,True,True,True,True,True,True,True,True,1741,3482,4088,3536,1741,3936,10175,56169,337,773,784,1124,337,933,572,2675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00015_3hop1__337705_132457_47686,42,a3,False,False,False,False,True,True,False,False,1493,2986,3879,3040,9801,3727,10076,67042,544,1023,965,1341,1902,1137,757,3202,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
real_musique_00016_3hop1__545624_2053_52946,42,,True,True,True,True,True,True,True,False,1847,3694,4965,3748,1847,4813,10902,36953,895,1689,1381,2099,895,1667,1242,2362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_musique_00017_3hop1__108833_720914_27537,42,,True,True,True,True,True,True,True,True,1614,3228,3846,3282,1614,3694,11059,72847,350,690,786,1006,350,879,706,3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_musique_00018_3hop1__527372_339990_54675,42,a1,False,False,False,False,False,False,False,False,1600,3200,3735,3254,10119,3583,9379,73002,294,671,515,997,1427,812,567,3738,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_musique_00019_3hop1__365934_87694_64412,42,,True,True,True,True,True,True,True,False,1997,3994,4623,4048,1997,4471,11762,89245,356,671,902,973,356,940,622,3593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_musique_00020_3hop2__132957_379231_40768,42,,True,False,True,False,True,True,True,False,1801,3602,4272,3656,1801,4120,10575,14241,401,850,858,1329,401,1083,679,818,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
real_musique_00021_3hop1__438364_443779_52195,42,a3,False,False,False,True,False,False,False,True,1499,2998,3931,3052,11101,3779,8872,69390,632,1210,1101,1674,2026,1393,987,4543,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
real_musique_00022_3hop1__539312_744503_34754,42,a4,False,False,False,True,False,False,False,False,1704,3408,4022,3462,10114,3870,11782,13480,373,893,929,1177,1656,1043,829,857,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
real_musique_00023_3hop1__133292_40769_64047,42,a5,False,False,False,False,False,False,True,False,1948,3896,4645,3950,13017,4493,13789,39279,449,986,1104,1359,1974,1174,962,2077,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
