task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
taubench_recon_00080,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,False,False,1.0,True,,,,"partial. The customer is silver-tier and not within 30 days of purchase, so the policy rule for silver-tier customers outside of the 30-day window applies.",610,551,0,0.051083043217659,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 551}"
taubench_recon_00081,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,False,False,1.0,True,,,,"partial. The customer is a standard-tier customer and is not within 14 days of purchase, so the policy rule for standard-tier customers within 15-30 days of purchase is applied.",601,433,0,0.03741704858839512,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 433}"
taubench_recon_00082,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,False,False,1.0,True,,,,refund,610,385,0,0.02195802517235279,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 385}"
taubench_recon_00083,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,False,False,1.0,True,,,,partial,601,461,0,0.04437495954334736,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 461}"
taubench_recon_00084,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,partial,601,472,0,0.054416945204138756,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 472}"
taubench_recon_00085,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,deny,601,258,0,0.01254095695912838,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 258}"
taubench_recon_00086,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,refund because the customer is a gold-tier customer within 30 days of purchase.,610,336,0,0.03895792178809643,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 336}"
taubench_recon_00087,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,"refund. The customer is a gold-tier customer, so the policy rule states that gold-tier customers always get 'refund'.",610,363,0,0.0072498805820941925,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 363}"
taubench_recon_00088,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,refund because the customer is a silver-tier customer within 30 days of purchase.,601,419,0,0.008041970431804657,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 419}"
taubench_recon_00089,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,False,False,1.0,True,,,,refund. The policy for gold-tier customers is to always grant a refund.,646,350,0,0.03529200330376625,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 646, 'prime_tokens_output': 350}"
taubench_recon_00090,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,"refund. The customer is gold-tier, so the policy grants a refund.",601,287,0,0.0077500008046627045,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 287}"
taubench_recon_00091,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,"refund. The customer is gold-tier, so the policy rule is to grant a refund.",610,334,0,0.019833911210298538,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 334}"
taubench_recon_00092,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,"The decision is to deny the fee waiver because the customer has 4 prior returns this year, which meets the policy rule for denial.",610,425,0,0.018707942217588425,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 425}"
taubench_recon_00093,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,partial,601,460,0,0.028166919946670532,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 460}"
taubench_recon_00094,taubench_recon,direct,meta-llama/llama-3.1-8b-instruct,0,True,True,0.0,False,,,,refund,601,413,0,0.008290866389870644,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 413}"
