Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5069,739)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4688,439)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4741,743)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16017,485)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5223,783)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5069,739)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4688,606)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4741,743)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16026,516)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,287)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5223,783)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=direct: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,265)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5081,755)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4688,470)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4741,751)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(13729,441)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2344,265)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5235,770)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2419,143)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5008,533)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4838,290)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4891,586)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14340,435)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2419,143)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5162,343)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=direct: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2419,143)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=self_refine: per_fault={'ctx': True, 'concise': False, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5008,533)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4838,289)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=react: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4891,586)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(14238,347)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2419,143)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5162,343)
