,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4794,848,0.0
real_lme_00001_603deb26,42,,True,4927,666,0.0
real_lme_00002_51c32626,42,,True,3880,380,0.0
real_lme_00003_8550ddae,42,,True,4547,1217,0.0
real_lme_00004_gpt4_2655b836,42,,True,4393,841,0.0
real_lme_00005_2698e78f_abs,42,a3,False,4255,746,1.0
real_lme_00006_gpt4_1d80365e,42,a4,False,4776,1039,1.0
real_lme_00007_5025383b,42,,True,3680,541,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3964,365,0.0
real_lme_00009_c19f7a0b,42,,True,4475,905,0.0
real_lme_00010_0a34ad58,42,a6,False,4476,930,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4291,394,0.0
real_lme_00012_d6233ab6,42,a3,False,3833,528,1.0
real_lme_00013_7024f17c,42,,True,5078,1462,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a3,True,3958,672,0.0
real_lme_00015_6456829e,42,,True,4096,509,0.0
real_lme_00016_f8c5f88b,42,,True,4409,662,0.0
real_lme_00017_ba358f49_abs,42,a0,False,4317,235,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4533,381,0.0
real_lme_00019_gpt4_e414231f,42,,True,4246,436,0.0
real_lme_00020_2698e78f,42,,True,3742,390,0.0
real_lme_00021_e56a43b9,42,,True,4553,380,0.0
real_lme_00022_6cb6f249,42,,True,3978,571,0.0
real_lme_00023_e48988bc,42,,True,3197,408,0.0
real_lme_00024_gpt4_4ef30696,42,a4,True,4580,978,0.0
real_lme_00025_gpt4_4929293b,42,,True,3898,287,0.0
real_lme_00026_e6041065,42,,True,4175,805,0.0
real_lme_00027_21d02d0d,42,,True,4387,302,0.0
real_lme_00028_1f2b8d4f,42,a4,True,4431,843,0.0
real_lme_00029_a11281a2,42,,True,5086,1288,0.0
real_lme_00030_1de5cff2,42,,True,3877,1089,0.0
real_lme_00031_8ebdbe50,42,a4,True,4084,1140,0.0
real_lme_00032_22d2cb42,42,,True,3917,387,0.0
real_lme_00033_gpt4_385a5000,42,a1,False,4256,319,1.0
real_lme_00034_95bcc1c8,42,,True,4013,463,0.0
real_lme_00035_gpt4_2312f94c,42,,True,3957,231,0.0
real_lme_00036_gpt4_468eb063,42,a4,False,4311,878,1.0
real_lme_00037_faba32e5,42,,True,4316,831,0.0
real_lme_00038_b86304ba,42,a3,True,3997,493,0.0
real_lme_00039_gpt4_d6585ce8,42,,True,4583,1048,0.0
real_lme_00040_gpt4_0b2f1d21,42,a4,True,4237,886,0.0
real_lme_00041_5809eb10,42,,True,3850,273,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4278,563,0.0
real_lme_00043_c2ac3c61,42,,True,4192,477,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4096,390,0.0
real_lme_00045_06db6396,42,,True,4079,583,0.0
real_lme_00046_dc439ea3,42,,True,4194,239,0.0
real_lme_00047_f685340e,42,a2,False,3995,462,1.0
real_lme_00048_dccbc061,42,,True,3600,285,0.0
real_lme_00049_0862e8bf_abs,42,a0,False,4332,197,1.0
real_lme_00050_0862e8bf,42,,True,4039,195,0.0
real_lme_00051_2ebe6c90,42,a3,False,4172,830,1.0
real_lme_00052_1faac195,42,,True,4078,363,0.0
real_lme_00053_21d02d0d,42,a4,False,4769,878,1.0
real_lme_00054_603deb26,42,a0,True,4333,273,0.0
real_lme_00055_7e974930,42,,True,4627,961,0.0
real_lme_00056_27016adc,42,,True,3878,574,0.0
real_lme_00057_dd2973ad,42,,True,4471,640,0.0
real_lme_00058_b320f3f8,42,,True,3646,226,0.0
real_lme_00059_2ebe6c90,42,a6,False,4563,1270,1.0
