Building 60 3-fault (1 ctx + 2 profile) travelplanner_real SYNTHETIC examples (bench_seed=42, scan_limit=8000)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=3 travel_real_00008 seed=0 arm=direct: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(2344,655)
  N=3 travel_real_00008 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(5640,1912)
  N=3 travel_real_00008 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(4688,1337)
  N=3 travel_real_00008 seed=0 arm=react: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(4741,1333)
  N=3 travel_real_00008 seed=0 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(17566,2492)
  N=3 travel_real_00008 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(2344,655)
  N=3 travel_real_00008 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(5794,1865)
  N=3 travel_real_00008 seed=1 arm=direct: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(2344,499)
  N=3 travel_real_00008 seed=1 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(5372,1589)
  N=3 travel_real_00008 seed=1 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(4688,1490)
  N=3 travel_real_00008 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(4741,1153)
  N=3 travel_real_00008 seed=1 arm=selfcheckgpt: per_fault={'ctx': True, 'bullets': True, 'preamble': True} all_resolved=True n_resolved=3/3 tokens=(15585,2526)
