,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,True,True,True,True,True,True,,2149.0,4298.0,4787.0,4351.0,2149.0,4633.0,12583.0,,247.0,562.0,694.0,761.0,247.0,723.0,401.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00001_603deb26,42,,True,True,True,True,True,True,True,,2186.0,4372.0,4791.0,4425.0,2186.0,4637.0,12857.0,,209.0,431.0,527.0,590.0,209.0,462.0,409.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00002_51c32626,42,,True,True,True,True,True,True,True,,1868.0,3736.0,4044.0,3789.0,1868.0,3890.0,10844.0,,124.0,278.0,320.0,544.0,124.0,357.0,228.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,,1918.0,3836.0,4060.0,3889.0,1918.0,3906.0,11129.0,,70.0,150.0,185.0,516.0,70.0,453.0,162.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00004_gpt4_2655b836,42,a2,False,True,True,False,True,False,False,,1955.0,3910.0,4230.0,3963.0,6202.0,4076.0,11396.0,,133.0,255.0,424.0,493.0,365.0,357.0,267.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,
real_lme_00005_2698e78f_abs,42,a1,False,False,False,True,False,False,True,,1873.0,3746.0,4063.0,3799.0,10042.0,3909.0,12939.0,,145.0,249.0,354.0,526.0,245.0,468.0,397.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
real_lme_00006_gpt4_1d80365e,42,a1,False,False,False,False,False,False,False,,2003.0,4006.0,4421.0,4059.0,10947.0,4267.0,11755.0,,200.0,392.0,508.0,692.0,667.0,572.0,422.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00007_5025383b,42,,True,True,True,True,True,True,True,,1725.0,3450.0,3835.0,3503.0,1725.0,3681.0,9973.0,,173.0,311.0,477.0,553.0,173.0,418.0,274.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00008_gpt4_cd90e484,42,,True,True,True,True,True,True,True,,1864.0,3728.0,3982.0,3781.0,1864.0,3828.0,10900.0,,97.0,208.0,232.0,566.0,97.0,274.0,299.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00009_c19f7a0b,42,,True,True,True,True,True,True,True,,1976.0,3952.0,4344.0,4005.0,1976.0,4190.0,11553.0,,181.0,375.0,383.0,671.0,181.0,427.0,342.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00010_0a34ad58,42,a1,False,False,False,False,False,False,False,False,2135.0,4270.0,4583.0,4323.0,11400.0,4464.0,14630.0,94713.0,130.0,234.0,308.0,597.0,295.0,316.0,333.0,2347.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,,2070.0,4140.0,4527.0,4193.0,2070.0,4373.0,14052.0,,174.0,337.0,481.0,675.0,174.0,497.0,286.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00012_d6233ab6,42,a3,False,False,False,False,False,False,False,False,1859.0,3718.0,4227.0,3771.0,10638.0,4073.0,10925.0,82668.0,271.0,406.0,667.0,726.0,430.0,700.0,507.0,2465.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,,True,True,True,True,True,True,True,,1831.0,3662.0,4018.0,3715.0,1831.0,3864.0,10627.0,,172.0,305.0,373.0,760.0,172.0,552.0,264.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00014_gpt4_c27434e8_abs,42,,True,False,True,False,True,False,True,,1795.0,3590.0,3965.0,3643.0,1795.0,3811.0,10604.0,,188.0,401.0,407.0,720.0,188.0,783.0,375.0,,0.0,1.0,0.0,1.0,0.0,1.0,0.0,
real_lme_00015_6456829e,42,,True,True,True,True,True,True,True,,1964.0,3928.0,4229.0,3981.0,1964.0,4075.0,11408.0,,117.0,275.0,320.0,524.0,117.0,353.0,221.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00016_f8c5f88b,42,,True,True,True,True,True,True,True,,1982.0,3964.0,4354.0,4017.0,1982.0,4200.0,11553.0,,179.0,360.0,492.0,606.0,179.0,522.0,309.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00017_ba358f49_abs,42,a1,False,False,False,False,False,False,False,,2050.0,4100.0,4618.0,4153.0,11571.0,4464.0,14255.0,,278.0,415.0,590.0,742.0,549.0,782.0,545.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00018_gpt4_d31cdae3,42,,True,True,True,True,True,True,True,,2175.0,4350.0,4723.0,4403.0,2175.0,4569.0,14836.0,,189.0,358.0,601.0,640.0,189.0,419.0,345.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00019_gpt4_e414231f,42,a1,False,False,False,False,True,True,True,,2023.0,4046.0,4363.0,4099.0,6410.0,4209.0,13729.0,,131.0,294.0,316.0,488.0,433.0,380.0,232.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
real_lme_00020_2698e78f,42,a2,False,False,False,False,True,True,False,,1786.0,3572.0,4052.0,3625.0,10737.0,3898.0,12175.0,,240.0,504.0,571.0,641.0,1089.0,649.0,377.0,,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
