task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,"The All-Star game was played on July 12, 2016.",1977,670,0,0.029749935492873192,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1977, 'prime_tokens_output': 670}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,Lexus changed the body style of the RX 350 in April 2012.,1707,507,0,0.03837491385638714,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1707, 'prime_tokens_output': 507}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,Nanjing was the capital of Yangzhou for about 400 years.,1730,194,0,0.016584061086177826,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1730, 'prime_tokens_output': 194}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,Vatican City became its own country on 11 February 1929.,1904,302,0,0.05395803600549698,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1904, 'prime_tokens_output': 302}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The Republican Party took control of the US House and US Senate in January 2015.,1560,369,0,0.01737498678267002,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1560, 'prime_tokens_output': 369}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,"The Beach was filmed in Ko Phi Phi Leh, Thailand.",1719,205,0,0.07620779797434807,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1719, 'prime_tokens_output': 205}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,Conscription was introduced in the United States in 1940.,1681,340,0,0.019624829292297363,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1681, 'prime_tokens_output': 340}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,"Mao Zedong, the leader of China, announced that he would intervene in the Korean conflict in the Politburo.",1762,256,0,0.03975001163780689,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1762, 'prime_tokens_output': 256}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The PBS station in the city of Helvetia is KUAT-TV 6.,1949,449,0,0.009624985978007317,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1949, 'prime_tokens_output': 449}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,Pope John XXIII left for the conclave in Rome.,1800,376,0,0.008916016668081284,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1800, 'prime_tokens_output': 376}"
real_musique_00010_3hop1__24980_42197_18397,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,Mao Zedong did not declare his intention to intervene in the Korean conflict through the Politburo in the provided paragraphs.,1777,395,0,0.008999835699796677,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1777, 'prime_tokens_output': 395}"
real_musique_00011_3hop2__88342_93066_47738,musique_real,direct,mistralai/mistral-nemo,42,False,False,1.0,True,,,,"The Houston Astros, who won the AL East in 2017, last played in the World Series in 2017.",1897,366,0,0.01554214395582676,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1897, 'prime_tokens_output': 366}"
real_musique_00012_3hop1__567955_503371_21711,musique_real,direct,mistralai/mistral-nemo,42,True,True,0.0,False,,,,The Palau de la Generalitat was built in the 15th century.,1716,291,0,0.017167069017887115,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1716, 'prime_tokens_output': 291}"
