[RETRY] prime task=real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 attempt 1/3 failed (provider returned no choices for 'mistralai/mistral-nemo': None); retrying in 2s
Building 40 N=5 hop-fault twowiki_real bridge_comparison examples (bench_seed=42, IDENTICAL to rebuttal_experiment_d_real_hop.py's set)...
Built 40 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt']
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1941,419)
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1941,419)
  N=5 arm=direct real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1939,416)
  N=5 arm=direct real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,386)
  N=5 arm=direct real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,386)
  N=5 arm=direct real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,272)
  N=5 arm=direct real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1604,375)
  N=5 arm=direct real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1604,375)
  N=5 arm=direct real_2wiki_hop_00002_645c9a5a08c311ebbd8dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(1603,170)
  N=5 arm=direct real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1795,512)
  N=5 arm=direct real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'english': True} all_resolved=False n_resolved=4/5 tokens=(1795,512)
  N=5 arm=direct real_2wiki_hop_00003_5bec3cd408a711ebbd7fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1794,520)
  N=5 arm=direct real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1776,286)
  N=5 arm=direct real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'english': True} all_resolved=False n_resolved=3/5 tokens=(1776,286)
  N=5 arm=direct real_2wiki_hop_00004_3f857208086c11ebbd61ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1775,295)
  N=5 arm=direct real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1735,329)
  N=5 arm=direct real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1735,329)
  N=5 arm=direct real_2wiki_hop_00005_1d890623088711ebbd6dac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'english': True} all_resolved=True n_resolved=5/5 tokens=(1734,361)
  N=5 arm=direct real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2040,240)
  N=5 arm=direct real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2040,240)
  N=5 arm=direct real_2wiki_hop_00006_7abc1e3008d511ebbd98ac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(2040,348)
  N=5 arm=direct real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2172,278)
  N=5 arm=direct real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'preamble': True} all_resolved=False n_resolved=3/5 tokens=(2172,278)
  N=5 arm=direct real_2wiki_hop_00007_ae331827088b11ebbd6fac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'preamble': True} all_resolved=True n_resolved=5/5 tokens=(2171,266)
  N=5 arm=direct real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1719,355)
  N=5 arm=direct real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=1: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'bullets': True} all_resolved=True n_resolved=5/5 tokens=(1719,355)
  N=5 arm=direct real_2wiki_hop_00008_4d982dc308c111ebbd8bac1f6bf848b6 seed=2: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'bullets': True} all_resolved=False n_resolved=4/5 tokens=(1719,398)
  N=5 arm=direct real_2wiki_hop_00009_1a114c5e088f11ebbd71ac1f6bf848b6 seed=0: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': False} all_resolved=False n_resolved=4/5 tokens=(1885,484)
