task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,The Story Of A Maid has the older director.,1664,437,0,0.02704199869185686,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1664, 'prime_tokens_output': 437}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Jovita Carranza was born first.,1535,212,0,0.01087499549612403,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1535, 'prime_tokens_output': 212}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"King Abdullah bin Abdulaziz died of pneumonia in 2015 (BBC, 2015).",1692,500,0,0.006832997314631939,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1692, 'prime_tokens_output': 500}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"William Le Poer Trench's father, William Power Keating Trench, 1st Earl of Clancarty, died on 26 April 1872.",1675,416,0,0.017625003238208592,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1675, 'prime_tokens_output': 416}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Yes, both Novochesnokovo and Katanda are located in Russia.",1630,327,0,0.006916998245287687,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1630, 'prime_tokens_output': 327}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Aretha Franklin died in Detroit, Michigan.",1597,268,0,0.007499998901039362,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1597, 'prime_tokens_output': 268}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,The director of Gambling Wives was Canadian.,1368,332,0,0.01375000283587724,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1368, 'prime_tokens_output': 332}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Oliver Palotai was born later than Sherlock Bristol, as verified by their birth dates provided in the source paragraphs: Bristol in 1815 and Palotai in 1974.",1651,422,0,0.0070829992182552814,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1651, 'prime_tokens_output': 422}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"The director of 'The January Man', Pat O'Connor, was born in Ardmore, County Waterford, Ireland.",1273,403,0,0.006250003934837878,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1273, 'prime_tokens_output': 403}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,The Mystic,1761,391,0,0.0307910013361834,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1761, 'prime_tokens_output': 391}"
real_2wiki_00010_9dde4d9f089811ebbd77ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"No, 'The Mercy' is British and 'The Boy Friend (1926 Film)' is American.",1674,299,0,0.007417002052534372,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1674, 'prime_tokens_output': 299}"
real_2wiki_00011_bb275b6808a011ebbd78ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Love's Greatest Mistake,1731,332,0,0.006791000487282872,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1731, 'prime_tokens_output': 332}"
real_2wiki_00012_2d72c18c0bb011ebab90acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"The paternal grandfather of Charles Colmore Grant, 7th Baron de Longueuil is Charles William Grant.",1520,410,0,0.01279199932469055,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1520, 'prime_tokens_output': 410}"
real_2wiki_00013_dd8d20e40bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Germania,1512,320,0,0.01383299968438223,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1512, 'prime_tokens_output': 320}"
real_2wiki_00014_4c17bba60bb011ebab90acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Artavasdes I of Media Atropatene,1779,214,0,0.012208001862745732,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1779, 'prime_tokens_output': 214}"
real_2wiki_00015_eb7ece320bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Assuming Claudio Silva refers to Juliana Freire, his wife graduated from Stony Brook University.",1819,368,0,0.004541994712781161,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1819, 'prime_tokens_output': 368}"
real_2wiki_00016_94911d640bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"The wife of Francis I Rákóczi, Jelena Zrinska, was born in Ozalj.",1757,449,0,0.011791998986154795,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1757, 'prime_tokens_output': 449}"
real_2wiki_00017_1f38945c0bb011ebab90acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"George Frederick, Count of Erbach-Breuberg's paternal grandfather is George III, Count of Erbach-Breuberg.",1929,408,0,0.006624999514315277,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1929, 'prime_tokens_output': 408}"
real_2wiki_00018_31611fcc08cd11ebbd93ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Children Of Tsunami: No More Tears came out first, and its focus on post-tsunami trauma and recovery offers clinical insights into disaster-related public health and mental health challenges relevant to medical board exams.",1552,339,0,0.016375000996049494,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1552, 'prime_tokens_output': 339}"
real_2wiki_00019_80cea3ec0baf11ebab90acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Dietrich VI, Count of Cleves (uncertain).",1667,385,0,0.009875002433545887,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1667, 'prime_tokens_output': 385}"
real_2wiki_00020_5eb8315a089011ebbd72ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Trois Milliards Sans Ascenseur has the older director.,1897,408,0,0.0118750031106174,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1897, 'prime_tokens_output': 408}"
real_2wiki_00021_4110745e0bde11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"The composer of the song 'Vem Vet', Lisa Ekdahl, was born in Stockholm, Sweden, as cited in the provided paragraph about her.",1700,369,0,0.00941699545364827,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1700, 'prime_tokens_output': 369}"
real_2wiki_00022_0963c8b80bdd11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,United Kingdom,1331,209,0,0.0900410013855435,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1331, 'prime_tokens_output': 209}"
real_2wiki_00023_7ee9577e088611ebbd6dac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,The Falcon's Alibi,1605,286,0,0.010332994861528277,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1605, 'prime_tokens_output': 286}"
real_2wiki_00024_1fa46e26084911ebbd55ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Yes, both films have directors who are French.",1867,311,0,0.00833300146041438,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1867, 'prime_tokens_output': 311}"
real_2wiki_00025_2ef233a40baf11ebab90acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,I'm not sure who David Miliband's mother is based on the provided information.,1636,220,0,0.011749994882848114,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1636, 'prime_tokens_output': 220}"
real_2wiki_00026_357b09be0bda11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,The director of Yellowbeard is American.,1459,273,0,0.007999995432328433,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1459, 'prime_tokens_output': 273}"
real_2wiki_00027_7f6e237109c411ebbdb0ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Yes.,1631,255,0,0.008666997018735856,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1631, 'prime_tokens_output': 255}"
real_2wiki_00028_cc2516f80bd911eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Edward Cromwell, 3rd Baron Cromwell's father died on 20 November 1592.",1596,428,0,0.015541001630481333,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1596, 'prime_tokens_output': 428}"
real_2wiki_00029_ce3a708808bd11ebbd8aac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,Yeti Obhijaan,1597,365,0,0.008916002116166055,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1597, 'prime_tokens_output': 365}"
real_2wiki_00030_505170320bdc11eba7f7acde48001122,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,"The date of death is not provided in the given text, so I'm not sure.",1813,496,0,0.021957996068522334,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1813, 'prime_tokens_output': 496}"
real_2wiki_00031_f3fa308308af11ebbd84ac1f6bf848b6,twowiki_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"The Shanghai Story, as director Frank Lloyd (born 1886) was born before Victor Schertzinger (1888), per provided sources.",1340,295,0,0.016584002878516912,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1340, 'prime_tokens_output': 295}"
