task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Thrive Market,4755,713,0,4693.508541997289,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2120, 'prime_tokens_output': 266}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user has tried making a Negroni at home 10 times since Emma showed him how to make it.,4944,781,0,4160.301625001011,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2177, 'prime_tokens_output': 365}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user should submit their research paper on sentiment analysis on February 1st.,4307,960,0,8690.972000011243,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1830, 'prime_tokens_output': 401}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,"The user tried a lavender gin fizz recipe last weekend, but it didn't quite turn out as expected.",4407,917,0,5980.121916014468,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1893, 'prime_tokens_output': 375}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The first issue I had with my new car after its first service was the GPS system not functioning correctly.,4131,509,0,4247.0531669969205,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1938, 'prime_tokens_output': 110}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a5,"[{'node_id': 'a5', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.5714285714285714}, {'node_id': 'a4', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.2857142857142857}, {'node_id': 'a3', 'prior': 0.05, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.1428571428571429}, {'node_id': 'a7', 'prior': 0.30000000000000004, 'likelihood': 0.0, 'cost': 1.0, 'posterior': 0.0}]",The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,4411,1213,0,100900.54487501038,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1871, 'prime_tokens_output': 413}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a2', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.8695652173913043}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.13043478260869565}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 2.0, 'posterior': 0.0}]",2 days,4316,488,0,74199.23275001929,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1_decision', 'spr_round_1_post_verifier', 'spr_round_2_decision', 'spr_round_2_post_verifier']}, 'prime_tokens_input': 1964, 'prime_tokens_output': 180}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,photography and cooking,3665,610,0,4725.096207985189,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1714, 'prime_tokens_output': 95}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Two weeks,3973,438,0,3105.6373339961283,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1856, 'prime_tokens_output': 117}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user usually gets home from work at 6:30 pm.,4505,918,0,4206.966166006168,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1940, 'prime_tokens_output': 377}"
real_lme_00010_0a34ad58,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a2', 'prior': 0.30000000000000004, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.6250000000000002}, {'node_id': 'a1', 'prior': 0.014999999999999996, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.31249999999999994}, {'node_id': 'a0', 'prior': 0.029999999999999992, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.062499999999999986}]","To navigate Tokyo's public transportation, the user can utilize their existing resources, such as their Suica card and TripIt app, to provide personalized tips.",4706,767,0,120228.9896250004,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1_decision', 'spr_round_1_post_verifier', 'spr_round_2_decision', 'spr_round_2_post_verifier']}, 'prime_tokens_input': 2087, 'prime_tokens_output': 347}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user set up the smart thermostat first.,4311,347,0,13441.667709004832,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2051, 'prime_tokens_output': 84}"
real_lme_00012_d6233ab6,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",It would be a good idea to attend your high school reunion.,4157,691,0,57839.6064999979,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 1792, 'prime_tokens_output': 367}"
real_lme_00013_7024f17c,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,0.5 hours,4999,2269,0,75487.3692500114,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1822, 'prime_tokens_output': 959}"
real_lme_00014_gpt4_c27434e8_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a1,"[{'node_id': 'a0', 'prior': 0.05, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.5}, {'node_id': 'a1', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.5}]",The information provided is not enough. You did not mention starting the Porsche 991 Turbo S model.,3787,422,0,74635.60516698635,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1768, 'prime_tokens_output': 125}"
real_lme_00015_6456829e,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The user initially planted 8 plants for tomatoes and cucumbers.,4394,705,0,24512.497333984356,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1971, 'prime_tokens_output': 282}"
real_lme_00016_f8c5f88b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,You bought your new tennis racket from the sports store downtown.,4420,680,0,4932.122875005007,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1975, 'prime_tokens_output': 263}"
real_lme_00017_ba358f49_abs,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a0,"[{'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]","The information provided is not enough. You did not mention how old Rachel is right now, nor when will you get married.",4320,234,0,12608.65583299892,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2037, 'prime_tokens_output': 103}"
real_lme_00018_gpt4_d31cdae3,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The family road trip across the American Southwest.,4562,294,0,11442.185666004661,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2172, 'prime_tokens_output': 93}"
real_lme_00019_gpt4_e414231f,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The bike the user fixed or serviced the past weekend is the road bike.,4523,811,0,5041.712457983522,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1991, 'prime_tokens_output': 293}"
real_lme_00020_2698e78f,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a3,"[{'node_id': 'a3', 'prior': 0.24, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.6486486486486487}, {'node_id': 'a1', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.27027027027027023}, {'node_id': 'a0', 'prior': 0.029999999999999992, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.08108108108108107}, {'node_id': 'a2', 'prior': 0.07500000000000001, 'likelihood': 0.0, 'cost': 2.0, 'posterior': 0.0}]",every week,4038,851,0,94962.15850001317,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1755, 'prime_tokens_output': 322}"
real_lme_00021_e56a43b9,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a4,"[{'node_id': 'a1', 'prior': 0.05, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.7142857142857143}, {'node_id': 'a4', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.17857142857142858}, {'node_id': 'a2', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.10714285714285712}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 5.0, 'posterior': 0.0}, {'node_id': 'a3', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 2.0, 'posterior': 0.0}]",The user will get a $5 discount on their next purchase at FreshMart.,4932,878,0,64355.007542006206,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 2163, 'prime_tokens_output': 343}"
real_lme_00022_6cb6f249,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,approximately 17 days,4082,587,0,10468.700333003653,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1806, 'prime_tokens_output': 286}"
real_lme_00023_e48988bc,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Patagonia is a company that has successfully implemented environmentally responsible practices in its supply chain.,3272,347,0,9641.475792013807,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1482, 'prime_tokens_output': 146}"
real_lme_00024_gpt4_4ef30696,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,1 day. 2 days (including the last day) is also acceptable.,4529,862,0,5946.748416987248,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1987, 'prime_tokens_output': 326}"
real_lme_00025_gpt4_4929293b,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a4,"[{'node_id': 'a4', 'prior': 0.125, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.4098360655737705}, {'node_id': 'a2', 'prior': 0.07500000000000001, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.24590163934426235}, {'node_id': 'a3', 'prior': 0.06, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.19672131147540983}, {'node_id': 'a0', 'prior': 0.029999999999999992, 'likelihood': 1.0, 'cost': 5.0, 'posterior': 0.09836065573770489}, {'node_id': 'a1', 'prior': 0.014999999999999996, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.049180327868852444}]",The life event of one of my relatives that I participated in a week ago was my cousin's wedding.,4311,987,0,140163.5988749913,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1832, 'prime_tokens_output': 418}"
real_lme_00026_e6041065,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,40%,4458,1716,0,13084.705874993233,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1790, 'prime_tokens_output': 528}"
real_lme_00027_21d02d0d,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,You missed 2 fun runs in March due to work commitments.,4690,790,0,8706.84749999782,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2074, 'prime_tokens_output': 294}"
real_lme_00028_1f2b8d4f,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired,a7,"[{'node_id': 'a7', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.47058823529411764}, {'node_id': 'a5', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.47058823529411764}, {'node_id': 'a6', 'prior': 0.024999999999999994, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.058823529411764705}]",$750,4647,1348,0,100546.86295901774,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1932, 'prime_tokens_output': 490}"
real_lme_00029_a11281a2,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The approximate increase in Instagram followers experienced in two weeks is 100.,4366,776,0,28606.55187498196,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1949, 'prime_tokens_output': 277}"
real_lme_00030_1de5cff2,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The brand that uses wild rubber sourced from the Amazon rainforest is Veja.,3718,707,0,34435.16854199697,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1613, 'prime_tokens_output': 286}"
real_lme_00031_8ebdbe50,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Data Science,3920,1098,0,46736.65129201254,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1652, 'prime_tokens_output': 348}"
real_lme_00032_22d2cb42,longmemeval_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The music shop on Main St.,3939,456,0,16112.828915996943,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1867, 'prime_tokens_output': 82}"
