task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
strategyqa_recon_00080,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,不，马可波罗从未尝过番茄，因为番茄是在他去世后才从美洲传入欧洲的。,579,402,0,0.03437511622905731,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 579, 'prime_tokens_output': 402}"
strategyqa_recon_00081,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,yes,556,146,0,0.01795915886759758,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 556, 'prime_tokens_output': 146}"
strategyqa_recon_00082,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Não, Napoleão Bonaparte não poderia ter voado para o seu exílio em Santa Helena porque os aviões não foram inventados até muito depois da sua morte.",596,324,0,0.053208088502287865,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 324}"
strategyqa_recon_00083,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,yes,552,155,0,0.031499890610575676,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 552, 'prime_tokens_output': 155}"
strategyqa_recon_00084,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Não, Isaac Newton nunca usou uma calculadora, pois elas não foram inventadas durante sua vida.",579,260,0,0.03200001083314419,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 579, 'prime_tokens_output': 260}"
strategyqa_recon_00085,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,no,596,160,0,0.030665891245007515,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 160}"
strategyqa_recon_00086,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"No, Genghis Khan could not have ridden in a hot air balloon during his lifetime because hot air balloons were invented in 1783, over 500 years after his death in 1227.",631,419,0,0.061374856159090996,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 631, 'prime_tokens_output': 419}"
strategyqa_recon_00087,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,no,583,247,0,0.02433289773762226,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 247}"
strategyqa_recon_00088,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Sí, Charles Darwin leyó 'El origen de las especies' en forma impresa, ya que fue el autor y revisó varias ediciones después de su publicación.",563,344,0,0.06066705100238323,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 563, 'prime_tokens_output': 344}"
strategyqa_recon_00089,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,no,612,199,0,0.005958136171102524,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 199}"
strategyqa_recon_00090,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,لا، لم يكن بإمكان الشخص الطيران من لندن إلى نيويورك في عام 1900، لأن أول رحلة طيران تعمل بالطاقة كانت في عام 1903 من قبل الأخوين رايت، ولم تكن الرحلات التجارية عبر المحيط الأطلسي موجودة في ذلك الوقت.,595,410,0,0.04587508738040924,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 410}"
strategyqa_recon_00091,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,no,612,175,0,0.009207986295223236,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 175}"
strategyqa_recon_00092,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"नहीं, लियोनार्डो दा विंची का 1519 में निधन हो गया था, जो हॉलीवुड फिल्मों के अस्तित्व में आने से सदियों पहले की बात है",560,502,0,0.04791701212525368,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 560, 'prime_tokens_output': 502}"
strategyqa_recon_00093,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,yes,554,156,0,0.02058316022157669,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 554, 'prime_tokens_output': 156}"
strategyqa_recon_00094,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"No, Galileo never looked through a telescope at Pluto because Pluto was discovered in 1930, long after Galileo's death in 1642.",591,419,0,0.01800013706088066,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 419}"
strategyqa_recon_00095,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,no,596,170,0,0.019458122551441193,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 170}"
strategyqa_recon_00096,strategyqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Oui, la fréquence cardiaque moyenne au repos est d'environ 60 à 100 battements par minute pour un adulte, ce qui est nettement supérieur à 30.",590,326,0,0.0480839516967535,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 326}"
