task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
musique_recon_00080,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Portuguese,608,285,0,0.027291011065244675,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 285}"
musique_recon_00081,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,569,309,0,0.024790875613689423,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 309}"
musique_recon_00082,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,India,622,343,0,0.024957815185189247,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 343}"
musique_recon_00083,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Os Lusíadas,551,153,0,0.0339169055223465,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 153}"
musique_recon_00084,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The river that flows through Vienna is the Danube.,606,339,0,0.04720780998468399,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 339}"
musique_recon_00085,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,606,314,0,0.02133403904736042,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 314}"
musique_recon_00086,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,China,654,187,0,0.0380838755518198,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 654, 'prime_tokens_output': 187}"
musique_recon_00087,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,One Thousand and One Nights,583,219,0,0.016083940863609314,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 219}"
musique_recon_00088,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Poland uses the Polish złoty (złoty).,599,384,0,0.0177919864654541,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 599, 'prime_tokens_output': 384}"
musique_recon_00089,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The Lusiads,611,318,0,0.062374863773584366,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 611, 'prime_tokens_output': 318}"
musique_recon_00090,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The ocean on Peru's western coast is the Pacific Ocean.,622,422,0,0.015084166079759598,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 422}"
musique_recon_00091,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Godan,609,238,0,0.016666948795318604,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 238}"
musique_recon_00092,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"The capital of Russia is Moscow. (Note: User prefers Hindi, so if needed, this can be translated to 'रूस की राजधानी मास्को है।')",589,380,0,0.01937500201165676,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 589, 'prime_tokens_output': 380}"
musique_recon_00093,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Godan,551,224,0,0.01454213634133339,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 224}"
musique_recon_00094,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Poland uses the Polish złoty.,629,333,0,0.060999998822808266,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 629, 'prime_tokens_output': 333}"
musique_recon_00095,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,606,223,0,0.01229182817041874,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 223}"
musique_recon_00096,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le Danube (Danube) coule à Vienne.,609,398,0,0.01895800232887268,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 398}"
musique_recon_00097,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,606,194,0,0.050833215937018394,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 194}"
musique_recon_00098,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Ecuador,614,306,0,0.009541166946291924,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 614, 'prime_tokens_output': 306}"
musique_recon_00099,musique_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,569,251,0,0.023209024220705032,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 251}"
musique_recon_00080,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Portuguese,1216,505,0,7950.341375079006,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 285}"
musique_recon_00081,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,1138,599,0,8831.77804085426,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 309}"
musique_recon_00082,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,India,1244,630,0,10754.265957977623,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 343}"
musique_recon_00083,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,The Lusiads,1102,405,0,8652.641167165712,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 153}"
musique_recon_00084,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,O rio que atravessa Viena é o Danúbio.,1212,673,0,15119.281915947795,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 339}"
musique_recon_00085,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,1212,585,0,8227.704042103142,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 314}"
musique_recon_00086,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,Shandong चीन का एक प्रांत है।,1308,626,0,17236.37504200451,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 654, 'prime_tokens_output': 187}"
musique_recon_00087,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,One Thousand and One Nights,1166,516,0,7836.530874948949,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 219}"
musique_recon_00088,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"Polonia utiliza el złoty polaco (złoty, zloty o PLN) como moneda.",1198,679,0,8323.801166843623,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 599, 'prime_tokens_output': 384}"
musique_recon_00089,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,Os Lusíadas,1222,600,0,9772.002834128216,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 611, 'prime_tokens_output': 318}"
musique_recon_00090,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Pacific Ocean,1244,667,0,11435.188707895577,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 422}"
musique_recon_00091,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Godan,1218,528,0,7492.905791150406,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 238}"
musique_recon_00092,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,The capital of Russia is Moscow.,1178,641,0,7924.519333988428,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 589, 'prime_tokens_output': 380}"
musique_recon_00093,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Godan,1102,538,0,9690.746624954045,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 224}"
musique_recon_00094,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Poland uses the Polish złoty (złoty).,1258,600,0,10642.878209007904,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 629, 'prime_tokens_output': 333}"
musique_recon_00095,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,1212,517,0,8332.22654205747,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 223}"
musique_recon_00096,musique_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le Danube,1218,568,0,5519.0376250538975,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 398}"
