,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,True,True,True,True,False,True,,2149.0,4298.0,4835.0,4351.0,2149.0,4681.0,12598.0,,295.0,591.0,725.0,819.0,295.0,755.0,455.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
real_lme_00001_603deb26,42,,True,True,True,True,True,True,True,,2186.0,4372.0,4818.0,4425.0,2186.0,4664.0,12856.0,,236.0,412.0,459.0,813.0,236.0,417.0,434.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00002_51c32626,42,,True,True,True,False,True,False,True,,1868.0,3736.0,4047.0,3789.0,1868.0,3893.0,10837.0,,127.0,253.0,336.0,487.0,127.0,350.0,222.0,,0.0,0.0,0.0,1.0,0.0,1.0,0.0,
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,,1918.0,3836.0,4114.0,3889.0,1918.0,3960.0,11129.0,,95.0,223.0,290.0,553.0,95.0,416.0,196.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00004_gpt4_2655b836,42,a1,False,True,True,True,False,False,False,,1955.0,3910.0,4294.0,3963.0,11023.0,4140.0,11405.0,,169.0,247.0,483.0,571.0,788.0,548.0,323.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
real_lme_00005_2698e78f_abs,42,a2,False,False,False,True,False,False,True,,1873.0,3746.0,4105.0,3799.0,10147.0,3951.0,12923.0,,146.0,292.0,439.0,479.0,247.0,425.0,388.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,
real_lme_00006_gpt4_1d80365e,42,a1,False,False,False,False,False,False,False,,2003.0,4006.0,4417.0,4059.0,11532.0,4263.0,11762.0,,196.0,368.0,488.0,702.0,677.0,561.0,420.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00007_5025383b,42,,True,True,True,True,True,True,True,,1725.0,3450.0,3807.0,3503.0,1725.0,3653.0,9962.0,,145.0,346.0,420.0,545.0,145.0,365.0,242.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00008_gpt4_cd90e484,42,,True,True,True,True,True,True,True,,1864.0,3728.0,4216.0,3781.0,1864.0,4062.0,10922.0,,275.0,370.0,594.0,699.0,275.0,708.0,510.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00009_c19f7a0b,42,,True,True,True,True,True,True,True,,1976.0,3952.0,4280.0,4005.0,1976.0,4126.0,11553.0,,145.0,238.0,356.0,551.0,145.0,393.0,306.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00010_0a34ad58,42,a0,False,False,False,False,False,False,False,False,2135.0,4270.0,4549.0,4323.0,11316.0,4395.0,12563.0,94793.0,124.0,218.0,301.0,460.0,280.0,316.0,356.0,2251.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,,2070.0,4140.0,4578.0,4193.0,2070.0,4424.0,12036.0,,201.0,371.0,611.0,633.0,201.0,613.0,291.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00012_d6233ab6,42,a1,False,False,False,False,False,False,False,False,1859.0,3718.0,4082.0,3771.0,10248.0,3928.0,10913.0,82738.0,168.0,369.0,480.0,661.0,334.0,467.0,399.0,2269.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,,True,True,True,True,True,True,True,,1831.0,3662.0,4075.0,3715.0,1831.0,3921.0,10629.0,,201.0,354.0,400.0,600.0,201.0,739.0,301.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00014_gpt4_c27434e8_abs,42,a1,False,False,False,False,False,False,False,,1795.0,3590.0,3909.0,3643.0,10051.0,3755.0,10422.0,,131.0,224.0,355.0,493.0,534.0,420.0,268.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00015_6456829e,42,,True,True,True,True,True,True,True,,1964.0,3928.0,4242.0,3981.0,1964.0,4088.0,11415.0,,130.0,291.0,331.0,562.0,130.0,603.0,246.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00016_f8c5f88b,42,,True,True,True,True,True,True,True,True,1982.0,3964.0,4357.0,4017.0,1982.0,4203.0,11553.0,15603.0,182.0,256.0,914.0,668.0,182.0,503.0,312.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00017_ba358f49_abs,42,a1,False,False,False,False,False,False,False,,2050.0,4100.0,4428.0,4153.0,11005.0,4274.0,12264.0,,144.0,420.0,357.0,681.0,428.0,704.0,380.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
real_lme_00018_gpt4_d31cdae3,42,,True,True,True,True,True,True,True,,2175.0,4350.0,5097.0,4403.0,2175.0,4943.0,14826.0,,423.0,609.0,1054.0,844.0,423.0,1055.0,583.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00019_gpt4_e414231f,42,a3,False,False,True,False,False,True,True,,2023.0,4046.0,4476.0,4099.0,11104.0,4322.0,13711.0,,216.0,338.0,517.0,601.0,361.0,474.0,316.0,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,
real_lme_00020_2698e78f,42,a0,False,False,False,False,False,False,False,,1786.0,3572.0,3799.0,3625.0,9309.0,3645.0,12175.0,,71.0,331.0,187.0,573.0,401.0,432.0,207.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
