Building 60 4-fault-injected hotpotqa_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=llama-3.3-70b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,343)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=self_refine: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5063,805)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=full_regen: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4606,595)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4659,920)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13698,688)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13114,573)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5217,876)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,301)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5021,836)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4606,631)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=react: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4659,798)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13558,535)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7790,401)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5175,793)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=direct: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2303,245)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=self_refine: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4937,601)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=full_regen: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4606,501)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=react: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4659,780)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13670,574)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7617,340)
  N=4 real_hotpotqa_00013_5a79ad485542994bb9457036 seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5091,574)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2359,231)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(5064,730)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4718,543)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4771,670)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13644,290)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12988,407)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5218,774)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2359,177)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4954,502)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4718,461)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4771,659)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13644,222)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13117,568)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5108,563)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=direct: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2359,171)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=self_refine: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4948,500)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=full_regen: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4718,560)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=react: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4771,640)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=selfcheckgpt: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13679,227)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12605,332)
  N=4 real_hotpotqa_00106_5ab9ddaa5542994dbf019873 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5102,487)
