task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
hotpotqa_recon_00080,hotpotqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,导游塔的主要工程师是古斯塔夫·埃菲尔。,621,242,0,0.031542032957077026,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 242}"
hotpotqa_recon_00081,hotpotqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"Paris, France",546,228,0,0.0527501106262207,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 546, 'prime_tokens_output': 228}"
hotpotqa_recon_00082,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,England,636,155,0,0.03545801155269146,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 636, 'prime_tokens_output': 155}"
hotpotqa_recon_00083,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Buenos Aires,546,365,0,0.028792070224881172,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 546, 'prime_tokens_output': 365}"
hotpotqa_recon_00084,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Gustave Eiffel,621,189,0,0.03937492147088051,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 189}"
hotpotqa_recon_00085,hotpotqa_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,Kyoto,586,168,0,0.037416815757751465,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 168}"
hotpotqa_recon_00086,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,physics,659,298,0,0.00929180532693863,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 659, 'prime_tokens_output': 298}"
hotpotqa_recon_00087,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Mumbai,587,215,0,0.02833409234881401,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 587, 'prime_tokens_output': 215}"
hotpotqa_recon_00088,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,New Jersey,590,232,0,0.007292022928595543,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 232}"
hotpotqa_recon_00089,hotpotqa_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Berlin,628,265,0,0.005166046321392059,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 628, 'prime_tokens_output': 265}"
