Building 40 5-fault (4 hop-context + 1 profile) twowiki_real bridge_comparison examples (bench_seed=42, scan_limit=2671)...
Built 40 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter']
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1940,509)
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4689,1043)
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(1940,509)
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': True, 'concise': True} all_resolved=True n_resolved=5/5 tokens=(4689,1043)
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=3/5 tokens=(7143,1407)
  N=5 real_2wiki_hop_00000_298f23b8088a11ebbd6eac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'hop0': False, 'hop1': True, 'hop2': False, 'hop3': False, 'concise': True} all_resolved=False n_resolved=2/5 tokens=(4677,1017)
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,704)
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4680,1177)
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,704)
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(4680,1177)
  N=5 real_2wiki_hop_00001_05f8a691087b11ebbd67ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'hop0': True, 'hop1': True, 'hop2': True, 'hop3': False, 'concise': True} all_resolved=False n_resolved=4/5 tokens=(1796,383)
