task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
alfworld_recon_00080,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Smartphone safely stored in a living room drawer, away from peanuts and respecting user preferences.",503,461,0,0.06279116496443748,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 461}"
alfworld_recon_00081,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle on a low shelf in the living room, ensuring it is within reach and respecting the user's wheelchair accessibility needs and storage preference.",506,397,0,0.04429090768098831,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 506, 'prime_tokens_output': 397}"
alfworld_recon_00082,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the sponge in the fridge to ensure it is stored safely away from the child, avoiding floor and low shelves, and keeping it in a dry location as per user task preference.",496,467,0,0.03604101948440075,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 496, 'prime_tokens_output': 467}"
alfworld_recon_00083,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Stored the knife in the living room drawer to avoid peanut contamination and align with user preference.,504,423,0,0.030749943107366562,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 423}"
alfworld_recon_00084,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the apple in the sink, ensuring it is stored in a location accessible from a wheelchair and not on a banned shelf or above counter height.",503,375,0,0.03487500362098217,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 375}"
alfworld_recon_00085,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Placed the kettle in a kitchen drawer to keep it safe from the child and align with user's storage preference.,495,406,0,0.08570798672735691,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 406}"
alfworld_recon_00086,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the apple in the cabinet in the living room, ensuring it is not on the floor or a low shelf to keep it safe from the child, and respecting the user's preference for storage in the living room.",495,437,0,0.02087489701807499,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 437}"
alfworld_recon_00087,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"Knife safely stored on a high shelf in the kitchen, adhering to child safety constraints and user preference.",495,344,0,0.026082852855324745,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 344}"
alfworld_recon_00088,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle in a safe storage location in the kitchen, away from any items containing peanuts, respecting the user's severe allergy and preference for kitchen storage.",503,407,0,0.027042115107178688,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 407}"
alfworld_recon_00089,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Placed the ceramic mug on a high shelf in the living room to ensure it is safe from the child and stored in the preferred room.,497,390,0,0.014459015801548958,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 497, 'prime_tokens_output': 390}"
alfworld_recon_00090,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the book on a high shelf in the kitchen, ensuring it is safe from the child and following the user's storage preference.",494,422,0,0.03183307126164436,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 494, 'prime_tokens_output': 422}"
alfworld_recon_00091,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the ceramic mug on the stovetop in the kitchen, ensuring it is safely stored away from the child and respecting user preferences.",499,372,0,0.021041836589574814,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 499, 'prime_tokens_output': 372}"
alfworld_recon_00092,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the knife in the sink, ensuring it is not near peanuts or peanut butter to respect the user's severe allergy constraint.",504,424,0,0.028792070224881172,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 424}"
alfworld_recon_00093,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the knife in a living room cabinet, avoiding any areas with peanuts to respect the user's severe allergy and preference for living room storage.",504,384,0,0.03841589204967022,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 384}"
alfworld_recon_00094,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the knife in an accessible lower shelf or drawer in the kitchen, respecting wheelchair constraints and user preference for kitchen storage.",503,351,0,0.023790867999196053,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 351}"
alfworld_recon_00095,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the book on the countertop in the kitchen, ensuring it is accessible and not above counter height, respecting the user's wheelchair constraint and storage preference.",502,363,0,0.017999904230237007,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 502, 'prime_tokens_output': 363}"
alfworld_recon_00096,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Stored smartphone in living room drawer to avoid peanut contamination as user prefers items in living room and has severe peanut allergy,504,309,0,0.035250093787908554,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 309}"
alfworld_recon_00097,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle on the countertop in the living room, avoiding the floor and low shelves to ensure child safety and respecting the user's preference for storing items in the living room.",496,382,0,0.03445800393819809,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 496, 'prime_tokens_output': 382}"
alfworld_recon_00098,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle on the stovetop in the kitchen, ensuring it is stored away from peanuts and respecting user preferences.",505,375,0,0.023834174498915672,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 505, 'prime_tokens_output': 375}"
alfworld_recon_00099,alfworld_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Stored the laptop in the living room to avoid peanut allergens and align with user preference.,504,405,0,0.019750092178583145,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 405}"
alfworld_recon_00080,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed smartphone on floor in living room, avoiding any peanut-containing areas per user's severe allergy and respecting preference for living room storage.",1006,870,0,11840.115000028163,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 461}"
alfworld_recon_00081,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,Kettle stored on low table in living room for easy access.,1012,734,0,10045.309917069972,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 506, 'prime_tokens_output': 397}"
alfworld_recon_00082,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the sponge on top of the fridge, ensuring it is out of reach of the child and not on a low shelf or the floor.",992,836,0,9579.130165977404,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 496, 'prime_tokens_output': 467}"
alfworld_recon_00083,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the knife in the fridge to avoid any contact with peanuts or peanut butter, respecting the user's severe allergy constraint.",1008,797,0,25137.404832988977,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 423}"
alfworld_recon_00084,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the apple in the sink, which is below counter height and complies with the user's wheelchair accessibility constraints.",1006,775,0,10045.101209077984,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 375}"
alfworld_recon_00085,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle in a kitchen drawer, ensuring it is not on the floor or a low shelf, respecting the user's constraints and preference for kitchen storage.",990,783,0,10888.655917020515,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 406}"
alfworld_recon_00086,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the apple in the cabinet in the living room, avoiding floor and low shelves to keep it safe from the child while respecting the user's preference for living room storage.",990,836,0,10990.417666966096,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 437}"
alfworld_recon_00087,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,"Placed the knife on a high shelf in the kitchen, ensuring it is safely stored away from the child and aligned with user preference.",990,732,0,11222.437750082463,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 495, 'prime_tokens_output': 344}"
alfworld_recon_00088,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle in the fridge, ensuring it is stored away from peanuts and in the preferred kitchen location.",1006,786,0,28277.531458064914,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 407}"
alfworld_recon_00089,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the ceramic mug on a high shelf or in a cabinet in the living room, ensuring it is safely stored away from the child and respecting the user's preference.",994,806,0,10224.943000124767,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 497, 'prime_tokens_output': 390}"
alfworld_recon_00090,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the book on a high shelf in the kitchen, ensuring it is safe from the child and stored in the preferred room.",988,821,0,11157.70437498577,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 494, 'prime_tokens_output': 422}"
alfworld_recon_00091,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the ceramic mug on the stovetop in the kitchen, avoiding floor and low shelves to ensure child safety and adhering to user preference.",998,740,0,10783.025333890691,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 499, 'prime_tokens_output': 372}"
alfworld_recon_00092,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Knife placed safely in sink, away from peanuts or peanut butter as required.",1008,862,0,12086.328083882108,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 424}"
alfworld_recon_00093,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the knife in the living room cabinet, avoiding any peanut-containing areas as required by the user's allergy.",1008,747,0,10259.885540930554,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 384}"
alfworld_recon_00094,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Knife stored in a wheelchair-accessible shelf or drawer in the kitchen, respecting user constraints and preferences.",1006,767,0,8375.181667041034,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 503, 'prime_tokens_output': 351}"
alfworld_recon_00095,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,"Placed the book on the countertop in the kitchen, respecting the user's wheelchair constraint by avoiding high shelves and counter height limits, and following the preference for kitchen storage.",1004,750,0,20660.972374957055,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 502, 'prime_tokens_output': 363}"
alfworld_recon_00096,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Smartphone stored safely in living room drawer, avoiding any peanut contamination as required.",1008,661,0,19427.48587508686,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 504, 'prime_tokens_output': 309}"
alfworld_recon_00097,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Stored the kettle on the countertop in the living room, ensuring it is out of reach of the child and respecting user preferences.",992,836,0,12660.210707923397,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 496, 'prime_tokens_output': 382}"
alfworld_recon_00098,alfworld_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Placed the kettle on the stovetop in the kitchen, ensuring no peanuts or peanut butter are nearby to respect the user's severe allergy.",1010,784,0,25437.27262504399,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 505, 'prime_tokens_output': 375}"
