task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
taubench_recon_00080,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"deny. The customer has 3+ prior returns this year, so the answer is always 'deny'.",630,172,0,0.034082913771271706,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 172}"
taubench_recon_00081,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied because they have 3+ prior returns this year.,621,167,0,0.008375151082873344,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 167}"
taubench_recon_00082,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied due to having 3+ prior returns this year.,630,192,0,0.023458153009414673,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 192}"
taubench_recon_00083,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,621,199,0,0.00970880500972271,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 199}"
taubench_recon_00084,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,partial. The customer is a standard-tier customer within 15-30 days of purchase.,621,711,0,0.029582995921373367,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 711}"
taubench_recon_00085,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied due to having more than 3 prior returns this year.,621,229,0,0.022875145077705383,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 229}"
taubench_recon_00086,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The rule that justifies this decision is: gold-tier customers always get 'refund'.,630,334,0,0.02270820550620556,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 334}"
taubench_recon_00087,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The rule that justifies this decision is: gold-tier customers always get 'refund'.,630,334,0,0.010375166311860085,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 334}"
taubench_recon_00088,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because they are a silver-tier customer within 30 days of purchase.,621,313,0,0.00895792618393898,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}"
taubench_recon_00089,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,630,220,0,0.010709045454859734,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 220}"
taubench_recon_00090,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get a 'refund' according to the policy.,621,264,0,0.015624798834323883,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 264}"
taubench_recon_00091,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get 'refund'.,630,284,0,0.019666971638798714,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 284}"
taubench_recon_00092,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied because they have 3+ prior returns this year.,630,160,0,0.010083895176649094,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 160}"
taubench_recon_00093,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,partial. The decision is based on the rule that silver-tier customers more than 30 days after purchase are eligible for a partial refund.,621,422,0,0.042208004742860794,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 422}"
taubench_recon_00094,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is a standard-tier customer within 14 days of purchase.,621,474,0,0.02537504769861698,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 474}"
taubench_recon_00095,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,621,258,0,0.011707888916134834,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 258}"
taubench_recon_00096,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied a refund because they have 3+ prior returns this year.,621,192,0,0.011208001524209976,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 192}"
taubench_recon_00097,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The decision is based on the policy that gold-tier customers always get 'refund'.,621,431,0,0.009041046723723412,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 431}"
taubench_recon_00098,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,partial. The customer is granted a partial refund because silver-tier customers outside of 30 days of purchase are eligible for a partial refund.,621,475,0,0.03262516111135483,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 475}"
taubench_recon_00099,taubench_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The rule that justifies this decision is: Silver-tier customers within 30 days of purchase get 'refund'.,630,492,0,0.012667151167988777,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 492}"
taubench_recon_00080,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,1260,391,0,1937.7024159766734,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 172}"
taubench_recon_00081,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied due to having 3+ prior returns this year.,1242,333,0,4667.946791974828,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 167}"
taubench_recon_00082,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied because they have 3+ prior returns this year.,1260,359,0,3266.9726251624525,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 192}"
taubench_recon_00083,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,1242,400,0,1902.3649170994759,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 199}"
taubench_recon_00084,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,partial. Standard-tier customers within 15-30 days of purchase get 'partial'.,1242,1088,0,5705.619167070836,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 711}"
taubench_recon_00085,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer's request for a refund should be denied because they have 3+ prior returns this year.,1242,536,0,3346.719332970679,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 229}"
taubench_recon_00086,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get 'refund' according to the policy.,1260,657,0,5279.298957902938,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 334}"
taubench_recon_00087,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get 'refund' according to the policy.,1260,663,0,3819.38900006935,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 334}"
taubench_recon_00088,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because they are a silver-tier customer within 30 days of purchase.,1242,617,0,2339.323665946722,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}"
taubench_recon_00089,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"deny. If the customer has 3+ prior returns this year, the answer is always 'deny'",1260,453,0,3430.6993330828846,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 220}"
taubench_recon_00090,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get 'refund' according to the policy.,1242,729,0,5955.346042057499,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 264}"
taubench_recon_00091,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because they are a gold-tier customer.,1260,626,0,4868.390749907121,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 284}"
taubench_recon_00092,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied because they have 3+ prior returns this year.,1260,321,0,3226.459875004366,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 160}"
taubench_recon_00093,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,partial. The customer is a silver-tier customer and it has been more than 30 days since the purchase.,1242,815,0,4818.241792032495,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 422}"
taubench_recon_00094,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"refund. The customer is a standard-tier customer within 14 days of purchase, so they get a refund.",1242,751,0,3942.2835828736424,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 474}"
taubench_recon_00095,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer has 3+ prior returns this year.,1242,447,0,1893.2329590898007,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 258}"
taubench_recon_00096,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,deny. The customer is denied a refund because they have 3+ prior returns this year.,1242,404,0,2995.276333997026,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 192}"
taubench_recon_00097,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,refund. The customer is granted a refund because gold-tier customers always get a refund.,1242,728,0,4106.703542172909,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 431}"
taubench_recon_00098,taubench_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"partial. The customer is a silver-tier customer who has been 35 days since purchase, so they are eligible for a partial refund.",1242,864,0,5181.598374852911,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 475}"
