task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
pfqa_recon_00080,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Na,591,259,0,0.033167190849781036,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 259}"
pfqa_recon_00081,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Je recommande un sauté de poulet pour votre déjeuner aujourd'hui.,557,168,0,0.03554206341505051,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 557, 'prime_tokens_output': 168}"
pfqa_recon_00082,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Jane Austen escreveu 'Orgulho e Preconceito'.,608,404,0,0.021166866645216942,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 404}"
pfqa_recon_00083,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Sugiro uma rotina de corrida moderada, adequada para seu nível de condicionamento físico médio.",555,239,0,0.021958956494927406,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 239}"
pfqa_recon_00084,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,O símbolo químico do ouro é Au.,591,332,0,0.027708010748028755,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 332}"
pfqa_recon_00085,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Arabic,618,149,0,0.020833220332860947,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 149}"
pfqa_recon_00086,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,643,404,0,0.06908318027853966,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 404}"
pfqa_recon_00087,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,London,610,169,0,0.008624978363513947,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 169}"
pfqa_recon_00088,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,La capital de Francia es París.,571,208,0,0.03179092891514301,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 571, 'prime_tokens_output': 208}"
pfqa_recon_00089,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,O usuário está atualmente em Tóquio.,639,174,0,0.02283276990056038,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 639, 'prime_tokens_output': 174}"
pfqa_recon_00090,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,1969,605,296,0,0.028250040486454964,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 605, 'prime_tokens_output': 296}"
pfqa_recon_00091,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"A high-intensity interval training (HIIT) workout is recommended, such as 30 seconds of burpees, mountain climbers, or squat jumps followed by 15 seconds of rest, repeated for 20 minutes.",627,450,0,0.05208305083215237,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 627, 'prime_tokens_output': 450}"
pfqa_recon_00092,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,World War II ended in 1945.,573,218,0,0.018292106688022614,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 573, 'prime_tokens_output': 218}"
pfqa_recon_00093,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The user is currently in New York.,581,183,0,0.017875107005238533,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 581, 'prime_tokens_output': 183}"
pfqa_recon_00094,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of France is Paris.,601,246,0,0.05508284084498882,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 246}"
pfqa_recon_00095,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,推荐蔬菜烩饭（vegetable risotto），这是一道营养均衡的素食，适合您的饮食要求，并且巴黎的食材丰富，容易准备。,617,370,0,0.013958197087049484,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 617, 'prime_tokens_output': 370}"
pfqa_recon_00096,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le symbole chimique de l'or est Au,594,351,0,0.05291705019772053,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 351}"
pfqa_recon_00097,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,vegetable risotto,617,373,0,0.009041978046298027,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 617, 'prime_tokens_output': 373}"
pfqa_recon_00098,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of Japan is Tokyo.,591,289,0,0.01941714435815811,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 289}"
pfqa_recon_00099,pfqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Mandarin,588,201,0,0.04870793782174587,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 588, 'prime_tokens_output': 201}"
pfqa_recon_00080,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,钠的化学符号是Na,1182,502,0,6008.181332843378,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 259}"
pfqa_recon_00081,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Je recommande un sauté de poulet pour votre déjeuner aujourd'hui. C'est équilibré, riche en protéines et facile à trouver à Mumbai.",1114,448,0,7545.430792029947,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 557, 'prime_tokens_output': 168}"
pfqa_recon_00082,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Jane Austen,1216,665,0,6966.74649999477,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 404}"
pfqa_recon_00083,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,"A moderate jog for 30 minutes, 3 times a week, is suitable for your medium fitness level.",1110,585,0,8999.407291179523,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 239}"
pfqa_recon_00084,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Au,1182,491,0,4858.462375123054,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 332}"
pfqa_recon_00085,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Arabic,1236,345,0,3755.778083112091,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 149}"
pfqa_recon_00086,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,1286,706,0,7647.516625002027,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 404}"
pfqa_recon_00087,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The user is currently in London.,1220,327,0,4178.876582998782,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 169}"
pfqa_recon_00088,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,La capital de Francia es París.,1142,350,0,3022.9086249601096,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 571, 'prime_tokens_output': 208}"
pfqa_recon_00089,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"O usuário está atualmente em Tóquio, Japão.",1278,311,0,3806.8352499976754,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 639, 'prime_tokens_output': 174}"
pfqa_recon_00090,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,1969,1210,571,0,8013.667749939486,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 605, 'prime_tokens_output': 296}"
pfqa_recon_00091,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"आपकी उच्च फिटनेस स्तर के लिए एक उच्च-तीव्रता अंतराल प्रशिक्षण (HIIT) कसरत सुझाई जाती है: 5 मिनट वार्म-अप, 30 सेकंड स्प्रिंट दौड़/उच्च घुमावदार, 30 सेकंड आराम, 8 बार दोहराएं, 5 मिनट कूल-डाउन।",1254,803,0,5745.780500117689,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 627, 'prime_tokens_output': 450}"
pfqa_recon_00092,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,World War II 1945 में समाप्त हुआ।,1146,422,0,3541.760833002627,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 573, 'prime_tokens_output': 218}"
pfqa_recon_00093,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The user is currently in New York.,1162,304,0,2122.978250030428,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 581, 'prime_tokens_output': 183}"
pfqa_recon_00094,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of France is Paris.,1202,425,0,4169.261415954679,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 601, 'prime_tokens_output': 246}"
pfqa_recon_00095,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,vegetable risotto,1234,714,0,7366.619290784001,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 617, 'prime_tokens_output': 370}"
pfqa_recon_00096,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le symbole chimique de l'or est Au.,1188,686,0,6509.553665993735,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 351}"
pfqa_recon_00097,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Vegetable risotto,1234,711,0,6708.804749883711,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 617, 'prime_tokens_output': 373}"
pfqa_recon_00098,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of Japan is Tokyo.,1182,538,0,5458.404625067487,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 289}"
pfqa_recon_00099,pfqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Mandarin,1176,376,0,3266.3070000708103,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 588, 'prime_tokens_output': 201}"
pfqa_recon_00080,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Na,1645,599,0,6823.492583818734,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 591, 'prime_tokens_output': 259}"
pfqa_recon_00081,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 0.0, 'cost': 2.0, 'posterior': 0.0}]",Chicken Kolhapuri,1465,462,0,30819.105957867578,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 557, 'prime_tokens_output': 168}"
pfqa_recon_00082,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Jane Austen escreveu 'Orgulho e Preconceito'.,1929,879,0,9117.624499835074,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 608, 'prime_tokens_output': 404}"
pfqa_recon_00083,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,repaired,a2,"[{'node_id': 'a2', 'prior': 0.11999999999999997, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.9411764705882353}, {'node_id': 'a3', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.05882352941176472}]","Based on your medium fitness level, I recommend a moderate jog. This is a great cardiovascular workout that can be adjusted to your pace and is suitable for your current fitness level.",1577,612,0,22817.369082942605,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 555, 'prime_tokens_output': 239}"
pfqa_recon_00084,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,O símbolo químico do ouro é Au.,1796,612,0,5169.744916958734,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 591, 'prime_tokens_output': 332}"
pfqa_recon_00085,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,In Arabic,1586,462,0,6661.798165878281,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 618, 'prime_tokens_output': 149}"
pfqa_recon_00086,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,The longest river in the world is the Nile.,1957,728,0,12272.350250044838,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 643, 'prime_tokens_output': 404}"
pfqa_recon_00087,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,London,1572,271,0,2211.4798750262707,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 610, 'prime_tokens_output': 169}"
pfqa_recon_00088,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.03, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.8}, {'node_id': 'a3', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.2}]",La capital de Francia es París.,1578,585,0,40341.40537516214,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 571, 'prime_tokens_output': 208}"
pfqa_recon_00089,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,repaired,a2,"[{'node_id': 'a0', 'prior': 0.05, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.7692307692307693}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.11538461538461538}, {'node_id': 'a2', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.11538461538461538}]",The user is currently in Tokyo.,1653,491,0,39359.92741701193,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 639, 'prime_tokens_output': 174}"
pfqa_recon_00090,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,1969,1761,518,0,7244.058416923508,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 605, 'prime_tokens_output': 296}"
pfqa_recon_00091,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,repair_failed,a4,"[{'node_id': 'a4', 'prior': 0.030000000000000027, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]","Given your high fitness level, I recommend high-intensity interval training (HIIT). This includes exercises like sprinting, burpees, and jump squats in short, intense bursts followed by brief rest periods. It's effective for improving cardiovascular health and endurance.",2013,912,0,33931.36633303948,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 627, 'prime_tokens_output': 450}"
pfqa_recon_00092,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,World War II ended in 1945.,1596,540,0,11727.603291161358,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 573, 'prime_tokens_output': 218}"
pfqa_recon_00093,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,The user is currently in New York.,1546,405,0,7741.939208935946,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 581, 'prime_tokens_output': 183}"
pfqa_recon_00094,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,The capital of France is Paris.,1676,471,0,7563.75304213725,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 601, 'prime_tokens_output': 246}"
pfqa_recon_00095,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,推荐蔬菜烩饭（vegetable risotto），这是一道营养均衡的素食，适合您的饮食要求，并且巴黎的食材丰富，容易准备。,1859,964,0,16697.762541938573,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 617, 'prime_tokens_output': 370}"
pfqa_recon_00096,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Le symbole chimique de l'or est Au,1785,566,0,7159.258832922205,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 594, 'prime_tokens_output': 351}"
pfqa_recon_00097,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,vegetable risotto,1889,916,0,16496.414333116263,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 617, 'prime_tokens_output': 373}"
pfqa_recon_00098,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,The capital of Japan is Tokyo.,1726,616,0,9319.099124986678,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 591, 'prime_tokens_output': 289}"
pfqa_recon_00099,pfqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,In Mandarin,1605,517,0,6706.943416967988,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 588, 'prime_tokens_output': 201}"
pfqa_recon_00080,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Na,591,259,0,17.007166054099798,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 591, 'prime_tokens_output': 259}"
pfqa_recon_00081,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Je recommande un sauté de poulet pour votre déjeuner aujourd'hui.,3979,821,0,14106.212582904845,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 557, 'prime_tokens_output': 168}"
pfqa_recon_00082,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Jane Austen escreveu 'Orgulho e Preconceito'.,608,404,0,18.265167018398643,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 608, 'prime_tokens_output': 404}"
pfqa_recon_00083,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"Sugiro um jogging moderado, adequado para seu nível de condicionamento físico médio.",4459,1038,0,10932.883749948815,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 555, 'prime_tokens_output': 239}"
pfqa_recon_00084,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,O símbolo químico do ouro é Au.,591,332,0,15.209750039502978,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 591, 'prime_tokens_output': 332}"
pfqa_recon_00085,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Arabic,618,149,0,11.205124901607633,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 618, 'prime_tokens_output': 149}"
pfqa_recon_00086,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,643,404,0,10.40683314204216,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 643, 'prime_tokens_output': 404}"
pfqa_recon_00087,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,London,610,169,0,10.023333132266998,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 610, 'prime_tokens_output': 169}"
pfqa_recon_00088,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Paris,4401,1063,0,12559.146874817088,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 571, 'prime_tokens_output': 208}"
pfqa_recon_00089,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,The user is currently in Tokyo.,2381,542,0,9573.725708993152,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 639, 'prime_tokens_output': 174}"
pfqa_recon_00090,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,1969,605,296,0,18.706000177189708,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 605, 'prime_tokens_output': 296}"
pfqa_recon_00091,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,"A high-intensity interval training (HIIT) workout, specifically high-intensity intervals, is recommended. For example, perform 30 seconds of burpees, mountain climbers, or squat jumps followed by 15 seconds of rest, repeated for 20 minutes.",3112,1182,0,10220.75695800595,"{'split': 'test', 'meta_summary': {'trials': 2}, 'prime_tokens_input': 627, 'prime_tokens_output': 450}"
pfqa_recon_00092,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,World War II ended in 1945.,573,218,0,14.925334136933088,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 573, 'prime_tokens_output': 218}"
pfqa_recon_00093,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The user is currently in New York.,581,183,0,11.086042039096355,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 581, 'prime_tokens_output': 183}"
pfqa_recon_00094,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of France is Paris.,601,246,0,10.501125128939748,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 601, 'prime_tokens_output': 246}"
pfqa_recon_00095,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,推荐蔬菜烩饭（vegetable risotto），这是一道营养均衡的素食，适合您的饮食要求，并且巴黎的食材丰富，容易准备。,617,370,0,9.586916072294116,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 617, 'prime_tokens_output': 370}"
pfqa_recon_00096,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le symbole chimique de l'or est Au,594,351,0,9.668666869401932,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 594, 'prime_tokens_output': 351}"
pfqa_recon_00097,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,vegetable risotto,617,373,0,9.701292030513287,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 617, 'prime_tokens_output': 373}"
pfqa_recon_00098,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,The capital of Japan is Tokyo.,591,289,0,9.658708004280925,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 591, 'prime_tokens_output': 289}"
pfqa_recon_00099,pfqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,In Mandarin,588,201,0,9.676374960690737,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 588, 'prime_tokens_output': 201}"
pfqa_recon_00080,pfqa_recon,self_refine,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,钠,1493,713,0,11845.60504113324,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 591, 'prime_tokens_output': 259}"
pfqa_recon_00081,pfqa_recon,self_refine,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Je recommande un plat de chana masala pour votre déjeuner aujourd'hui.,1313,532,0,22187.967458041385,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 557, 'prime_tokens_output': 168}"
