task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Thrive Market,2120,392,0,0.037542005884461105,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2120, 'prime_tokens_output': 392}"
real_lme_00001_603deb26,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The user has tried making a Negroni at home 10 times since their friend Emma showed them how to make it.,2157,317,0,0.025125002139247954,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2157, 'prime_tokens_output': 317}"
real_lme_00002_51c32626,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,February 1st,1830,78,0,0.009249997674487531,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1830, 'prime_tokens_output': 78}"
real_lme_00003_8550ddae,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"To make simple syrup, combine 1 part sugar and 1 part water in a saucepan and heat the mixture over low heat, stirring until the sugar dissolves. Remove from heat and let cool. Store the syrup in a clean glass bottle with a tight-fitting lid in the refrigerator.",1893,356,0,0.03620800271164626,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1893, 'prime_tokens_output': 356}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The first issue the user had with their new car after its first service was a GPS system not functioning correctly.,1918,361,0,0.015666999388486147,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1918, 'prime_tokens_output': 361}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The information provided is not enough to answer the question.,1835,336,0,0.031708004826214164,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1835, 'prime_tokens_output': 336}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The user spent 2 days on their solo camping trip to Yosemite National Park.,2000,336,0,0.031584000680595636,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2000, 'prime_tokens_output': 336}"
real_lme_00007_5025383b,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,photography and cooking,1694,113,0,0.007875001756474376,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1694, 'prime_tokens_output': 113}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Two weeks,1836,78,0,0.013958000636193901,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1836, 'prime_tokens_output': 78}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The user usually gets home from work at 6:30 pm on weeknights.,1940,361,0,0.017334001313429326,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1940, 'prime_tokens_output': 361}"
real_lme_00010_0a34ad58,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"Use your Suica card to take the JR Yamanote Line from Shinjuku Station to Tsukijishijo Station, then follow the signs to the Tsukiji Fish Market.",2087,155,0,0.025667002773843706,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2087, 'prime_tokens_output': 155}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The smart thermostat.,2031,70,0,0.006624999514315277,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2031, 'prime_tokens_output': 70}"
real_lme_00012_d6233ab6,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,I think it would be a good idea to attend your high school reunion.,1792,105,0,0.02166600461350754,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1792, 'prime_tokens_output': 105}"
real_lme_00013_7024f17c,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"User can try out some healthy lunch ideas that are quick to prepare, such as whole-grain turkey or veggie wraps with avocado, hummus, and veggies. User can also try out some methods to find a yoga studio or class, such as Google Search, yoga apps, Yelp, Facebook Groups, or word of mouth. Additionally, user can try out some tips on how to stay motivated and committed to their yoga practice, such as finding a yoga buddy, setting achievable goals, or practicing regularly.",1802,941,0,0.023500004317611456,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1802, 'prime_tokens_output': 941}"
real_lme_00014_gpt4_c27434e8_abs,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The user started working on the Ferrari model first.,1748,253,0,0.03083300543949008,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1748, 'prime_tokens_output': 253}"
real_lme_00015_6456829e,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"Store fresh tomatoes at room temperature, away from direct sunlight, and keep them stem-side down to prevent moisture from entering the fruit and causing rot.",1935,360,0,0.023667002096772194,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1935, 'prime_tokens_output': 360}"
real_lme_00016_f8c5f88b,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,You bought your new tennis racket from the sports store downtown.,1955,92,0,0.009750001481734216,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1955, 'prime_tokens_output': 92}"
real_lme_00017_ba358f49_abs,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"I'm not sure how old Rachel will be when you get married, as I don't have enough information to calculate that.",2017,104,0,0.022416999854613096,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2017, 'prime_tokens_output': 104}"
real_lme_00018_gpt4_d31cdae3,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The family road trip across the American Southwest.,2152,84,0,0.010959003702737391,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2152, 'prime_tokens_output': 84}"
real_lme_00019_gpt4_e414231f,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The user should use MapMyRide to find a suitable route for their road bike ride.,1991,427,0,0.015416997484862804,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1991, 'prime_tokens_output': 427}"
real_lme_00020_2698e78f,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"The user sees their therapist, Dr. Smith, every two weeks.",1755,454,0,0.030416005756706,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1755, 'prime_tokens_output': 454}"
real_lme_00021_e56a43b9,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The discount you will get on your next purchase at FreshMart is $5.,2163,107,0,0.019917002646252513,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2163, 'prime_tokens_output': 107}"
real_lme_00022_6cb6f249,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The total number of days you took social media breaks could be anywhere from 7 to 17 days.,1805,430,0,0.018541999452281743,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1805, 'prime_tokens_output': 430}"
real_lme_00023_e48988bc,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Patagonia,1482,92,0,0.004875000740867108,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1482, 'prime_tokens_output': 92}"
real_lme_00024_gpt4_4ef30696,longmemeval_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,1 day.,1967,420,0,0.01737500133458525,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1967, 'prime_tokens_output': 420}"
