,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,a3,False,False,False,False,False,False,False,False,2259.0,4518.0,5388.0,4574.0,15280.0,5236.0,13214.0,99686.0,570.0,1001.0,896.0,1192.0,2550.0,1060.0,725.0,2978.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00001_603deb26,42,,True,True,True,True,True,True,True,True,2240.0,4480.0,4896.0,4536.0,2240.0,4744.0,13160.0,98988.0,225.0,509.0,546.0,813.0,225.0,724.0,427.0,2959.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00002_51c32626,42,,True,True,True,True,True,True,True,True,1878.0,3756.0,4193.0,3812.0,1878.0,4041.0,10916.0,82752.0,195.0,282.0,414.0,462.0,195.0,686.0,327.0,2580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,True,1964.0,3928.0,4302.0,3984.0,1964.0,4150.0,11453.0,62550.0,183.0,364.0,599.0,472.0,183.0,912.0,297.0,1889.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00004_gpt4_2655b836,42,a1,False,False,True,False,False,False,False,True,1992.0,3984.0,4213.0,4040.0,10705.0,4061.0,11577.0,87772.0,68.0,176.0,175.0,353.0,568.0,307.0,199.0,2225.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
real_lme_00005_2698e78f_abs,42,,True,False,True,False,True,False,False,True,1900.0,3800.0,4052.0,3855.0,1900.0,3900.0,13336.0,83937.0,99.0,266.0,210.0,250.0,99.0,389.0,371.0,2473.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
real_lme_00006_gpt4_1d80365e,42,a2,False,False,False,False,False,False,False,False,2068.0,4136.0,4731.0,4192.0,12738.0,4579.0,12131.0,91871.0,294.0,507.0,723.0,681.0,1366.0,874.0,445.0,2953.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00007_5025383b,42,a2,False,True,True,True,False,False,False,,1764.0,3528.0,3903.0,3584.0,10068.0,3751.0,10256.0,,161.0,388.0,484.0,759.0,806.0,439.0,320.0,,1.0,0.0,0.0,0.0,1.0,1.0,1.0,
real_lme_00008_gpt4_cd90e484,42,a1,False,False,True,True,False,False,False,True,1892.0,3784.0,4175.0,3840.0,10905.0,4023.0,11063.0,86255.0,175.0,458.0,391.0,479.0,940.0,493.0,376.0,3020.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
real_lme_00009_c19f7a0b,42,,True,True,True,True,True,True,True,True,2060.0,4120.0,4682.0,4176.0,2060.0,4530.0,12084.0,90738.0,328.0,450.0,548.0,779.0,328.0,805.0,509.0,2798.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00010_0a34ad58,42,a2,False,False,False,False,False,False,False,False,2180.0,4360.0,4919.0,4416.0,12408.0,4767.0,13397.0,96408.0,339.0,805.0,653.0,995.0,753.0,821.0,671.0,3112.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,True,2113.0,4226.0,4672.0,4282.0,2113.0,4520.0,12309.0,93696.0,203.0,635.0,315.0,678.0,203.0,554.0,308.0,2794.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00012_d6233ab6,42,a1,False,False,False,False,False,False,False,False,1902.0,3804.0,4243.0,3860.0,11332.0,4091.0,11194.0,85778.0,248.0,484.0,489.0,604.0,1117.0,664.0,481.0,3187.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,,True,True,True,True,True,False,True,True,1884.0,3768.0,4442.0,3824.0,1884.0,4290.0,11000.0,83234.0,439.0,758.0,756.0,724.0,439.0,1296.0,641.0,3022.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a2,False,False,False,False,False,False,False,False,1815.0,3630.0,3998.0,3686.0,10423.0,3846.0,10541.0,81981.0,150.0,306.0,481.0,722.0,879.0,448.0,314.0,2817.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00015_6456829e,42,,True,True,True,True,True,True,True,True,2035.0,4070.0,4526.0,4126.0,2035.0,4374.0,11950.0,90182.0,214.0,419.0,430.0,581.0,214.0,638.0,358.0,2807.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00016_f8c5f88b,42,,True,True,True,True,True,True,True,,2027.0,4054.0,4526.0,4110.0,2027.0,4374.0,11855.0,,259.0,630.0,682.0,595.0,259.0,739.0,400.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
real_lme_00017_ba358f49_abs,42,a1,False,False,True,False,False,False,False,False,2107.0,4214.0,4830.0,4270.0,12915.0,4678.0,12340.0,92971.0,317.0,534.0,525.0,698.0,1308.0,1017.0,496.0,2606.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,True,True,False,True,True,True,True,2209.0,4418.0,4990.0,4474.0,2209.0,4837.0,12896.0,97239.0,273.0,583.0,373.0,951.0,273.0,836.0,431.0,2599.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
real_lme_00019_gpt4_e414231f,42,,True,False,True,True,True,True,True,True,2054.0,4108.0,4607.0,4164.0,2054.0,4455.0,11952.0,91225.0,227.0,427.0,578.0,519.0,227.0,888.0,345.0,2835.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
