task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
travelplanner_recon_00080,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Seafood breakfast at Hotel Arts Barcelona', 'morning_activity': 'Visit La Sagrada Familia', 'lunch': 'Lunch at Thai restaurant Som Tam Jay So', 'afternoon_activity': 'Visit the Barcelona Aquarium', 'dinner': 'Dinner at seafood restaurant El Xampanyet', 'hotel': 'Hotel Arts Barcelona'}",553,610,0,0.03908388316631317,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 553, 'prime_tokens_output': 610}"
travelplanner_recon_00081,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Wheelchair-accessible café serving omnivore options in Barcelona', 'morning_activity': 'Wheelchair-accessible attraction in Barcelona', 'lunch': 'Wheelchair-accessible restaurant serving omnivore options in Barcelona', 'afternoon_activity': 'Wheelchair-accessible attraction in Barcelona', 'dinner': 'High-end, wheelchair-accessible French restaurant in Barcelona', 'hotel': 'High-end, wheelchair-accessible hotel in Barcelona'}",535,731,0,0.03520911559462547,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 535, 'prime_tokens_output': 731}"
travelplanner_recon_00082,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Holybelly', 'morning_activity': ""Musée d'Orsay"", 'lunch': 'Krishna Bhavan', 'afternoon_activity': 'Jardin du Luxembourg', 'dinner': 'Le Grand Vefour', 'hotel': 'Shangri-La Hotel'}",561,399,0,0.061333877965807915,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 561, 'prime_tokens_output': 399}"
travelplanner_recon_00083,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Brunchca', 'morning_activity': 'Barceloneta Beach', 'lunch': 'Koku Kitchen', 'afternoon_activity': 'Park de la Ciutadella', 'dinner': 'Sakura', 'hotel': 'Hotel Ibis Barcelona'}",565,1221,0,0.07258309051394463,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 565, 'prime_tokens_output': 1221}"
travelplanner_recon_00084,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Seafood restaurant, such as The Sassy Spoon', 'morning_activity': 'Gateway of India', 'lunch': 'Italian restaurant, such as Bella Italia', 'afternoon_activity': 'Chhatrapati Shivaji Maharaj Vastu Sangrahalaya museum', 'dinner': 'Seafood restaurant, such as Gajalee', 'hotel': 'Medium-budget hotel, such as ITC Grand Central'}",523,760,0,0.047459034249186516,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 523, 'prime_tokens_output': 760}"
travelplanner_recon_00085,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Le Petit Chavignol', 'morning_activity': 'Louvre Museum', 'lunch': 'Le Grenier de Notre-Dame', 'afternoon_activity': 'Seine river cruise', 'dinner': 'Sanuki Udon', 'hotel': 'Hotel Le Walt'}",531,1336,0,0.04041707143187523,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 531, 'prime_tokens_output': 1336}"
travelplanner_recon_00086,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Mame & Shiba cafe', 'morning_activity': 'Tokyo National Museum', 'lunch': ""T's Restaurant"", 'afternoon_activity': 'Shinjuku Gyoen National Garden', 'dinner': 'Origano', 'hotel': 'Park Hyatt Tokyo'}",586,1115,0,0.06025005131959915,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 1115}"
travelplanner_recon_00087,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Balthazar', 'morning_activity': 'visiting the Metropolitan Museum of Art', 'lunch': 'Carbone', 'afternoon_activity': 'a stroll through Central Park', 'dinner': ""L'Artusi"", 'hotel': 'The Plaza Hotel'}",533,884,0,0.048165908083319664,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 533, 'prime_tokens_output': 884}"
travelplanner_recon_00088,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Japanese restaurant in Cape Town', 'morning_activity': 'Cape Town Botanical Gardens', 'lunch': 'Japanese restaurant in Cape Town', 'afternoon_activity': 'Cape Town Museum', 'dinner': 'Japanese restaurant in Cape Town', 'hotel': 'Cape Town Marriott Hotel'}",507,548,0,0.009084120392799377,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 507, 'prime_tokens_output': 548}"
travelplanner_recon_00089,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': ""T's Restaurant"", 'morning_activity': 'Tokyo National Museum', 'lunch': 'Mame & Shiba', 'afternoon_activity': 'Shinjuku Gyoen National Garden', 'dinner': 'Suananda', 'hotel': 'Nui.Tokyo Central Hostel'}",616,1002,0,0.11633289977908134,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 616, 'prime_tokens_output': 1002}"
travelplanner_recon_00090,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': ""Govinda's"", 'morning_activity': 'Marine Drive', 'lunch': 'Thai Pavilion', 'afternoon_activity': 'Colaba Causeway', 'dinner': 'Hoppipola', 'hotel': 'IBIS Mumbai'}",532,1002,0,0.028250040486454964,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 532, 'prime_tokens_output': 1002}"
travelplanner_recon_00091,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Wild & The Moon', 'morning_activity': 'The Louvre Museum', 'lunch': 'Le Grenier de Notre-Dame', 'afternoon_activity': 'Luxury Seine River cruise', 'dinner': 'Shouk', 'hotel': 'La Réserve Hotel and Spa'}",555,1340,0,0.19362522289156914,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 555, 'prime_tokens_output': 1340}"
travelplanner_recon_00092,travelplanner_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,"{'breakfast': 'Pizza By The Bay', 'morning_activity': 'Chhatrapati Shivaji Maharaj Vastu Sangrahalaya', 'lunch': 'Botticino', 'afternoon_activity': 'Hanging Gardens', 'dinner': 'Mezzo Mezzo', 'hotel': 'The Taj Mahal Palace'}",535,1232,0,0.045625027269124985,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 535, 'prime_tokens_output': 1232}"
