task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
musique_recon_00080,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Portuguese,608,297,0,0.01674983650445938,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 297}"
musique_recon_00081,musique_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,"Paris, France",569,349,0,0.054167117923498154,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 349}"
musique_recon_00082,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,India,624,225,0,0.02845912240445614,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 225}"
musique_recon_00083,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The Lusiads,551,158,0,0.02374988980591297,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 158}"
musique_recon_00084,musique_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,Danúbio,603,229,0,0.05870894528925419,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 603, 'prime_tokens_output': 229}"
musique_recon_00085,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Mumbai,609,276,0,0.008125090971589088,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 276}"
musique_recon_00086,musique_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,चीन,656,426,0,0.021875137463212013,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 656, 'prime_tokens_output': 426}"
musique_recon_00087,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,One Thousand and One Nights,583,161,0,0.0160830095410347,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 161}"
musique_recon_00088,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Poland uses the Polish złoty (PLN).,600,225,0,0.00833394005894661,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 600, 'prime_tokens_output': 225}"
musique_recon_00089,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The Lusiads,611,120,0,0.018042046576738358,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 611, 'prime_tokens_output': 120}"
musique_recon_00090,musique_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,المنطقة المحيط الهادئ,621,195,0,0.02429191954433918,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 195}"
musique_recon_00091,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Godan,610,214,0,0.013958895578980446,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 214}"
musique_recon_00092,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The capital of Russia is Moscow.,590,391,0,0.015500001609325409,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 391}"
musique_recon_00093,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Godan,551,157,0,0.01429184339940548,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 157}"
musique_recon_00094,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Polish złoty,629,212,0,0.0185410026460886,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 629, 'prime_tokens_output': 212}"
musique_recon_00095,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"Mumbai, India",609,373,0,0.007041962817311287,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 373}"
musique_recon_00096,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Le Danube,605,282,0,0.01658312976360321,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 605, 'prime_tokens_output': 282}"
musique_recon_00097,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,"Mumbai, India",609,398,0,0.013874843716621399,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 398}"
musique_recon_00098,musique_recon,direct,mistralai/mistral-nemo,0,False,False,1.0,True,,,,इक्वाडोर,613,298,0,0.03587501123547554,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 298}"
musique_recon_00099,musique_recon,direct,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Buenos Aires,569,479,0,0.01679197885096073,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 479}"
musique_recon_00080,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Portuguese,1215,441,0,1454.4185830745846,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 608, 'prime_tokens_output': 297}"
musique_recon_00081,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,True,,,,Buenos Aires,1137,619,0,2494.9308747891337,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 349}"
musique_recon_00082,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The answer is India.,1248,430,0,7964.894165983424,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 225}"
musique_recon_00083,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The Lusiads,1102,294,0,9800.385624868795,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 551, 'prime_tokens_output': 158}"
musique_recon_00084,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,True,,,,Danube,1205,426,0,5273.164625046775,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 603, 'prime_tokens_output': 229}"
musique_recon_00085,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Mumbai,1217,529,0,2718.8395829871297,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 276}"
musique_recon_00086,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,True,,,,चीनी (China),1311,670,0,2285.1653748657554,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 656, 'prime_tokens_output': 426}"
musique_recon_00087,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,One Thousand and One Nights,1166,315,0,8665.864791953936,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 161}"
musique_recon_00088,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Polish złoty,1199,451,0,2357.8349580056965,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 600, 'prime_tokens_output': 225}"
musique_recon_00089,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,The Lusiads,1222,336,0,2259.39508411102,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 611, 'prime_tokens_output': 120}"
musique_recon_00090,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,True,,,,Pacific Ocean,1241,454,0,2818.0191251449287,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 195}"
musique_recon_00091,musique_recon,full_regen,mistralai/mistral-nemo,0,True,True,0.0,False,,,,Godan,1219,327,0,1522.0079999417067,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 610, 'prime_tokens_output': 214}"
musique_recon_00092,musique_recon,full_regen,mistralai/mistral-nemo,0,False,False,1.0,False,,,,मॉस्को,1180,531,0,6418.606083840132,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 590, 'prime_tokens_output': 391}"
