task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_hotpotqa_00080_5a716a9b5542994082a3e821,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,Kevin Elliot Pollak,4085,521,0,960.6966250576079,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1722, 'prime_tokens_output': 455}"
real_hotpotqa_00081_5add56ad5542992200553abf,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,"Le complexe hôtelier à Biloxi, Mississippi, que supervise le directeur de l'exploitation du plus grand hôtel des États-Unis est Beau Rivage.",3841,690,0,949.8060001060367,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1497, 'prime_tokens_output': 636}"
real_hotpotqa_00082_5ae7da705542993210983f96,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,Renaissance Technologies,3837,617,0,3372.006124816835,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1552, 'prime_tokens_output': 539}"
real_hotpotqa_00083_5a84be095542992a431d1a97,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,Diamond v. Chakrabarty,3852,521,0,1449.8280000407249,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1621, 'prime_tokens_output': 448}"
real_hotpotqa_00084_5abbf9b355429931dba145fe,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,"O ator de ""Lean on Pete"" é mais conhecido por interpretar Timmy Sanders em ""Granite Flats"".",4109,770,0,1366.7949170339853,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1575, 'prime_tokens_output': 704}"
real_hotpotqa_00085_5a80993d5542996402f6a589,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,The provided context does not contain information about a 1999 fantasy-comedy directed by Spike Jonze.,3845,506,0,2258.2737079355866,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1621, 'prime_tokens_output': 449}"
real_hotpotqa_00086_5a73471a5542991f9a20c6d7,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,True,True,0.0,False,,,,"Duane ""Dewy"" Clarridge.",3865,554,0,1205.008292105049,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1623, 'prime_tokens_output': 479}"
real_hotpotqa_00087_5a90c8165542995651fb51ee,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,False,False,1.0,True,,,,شارك شون هيوستن في انتفاضة عيد الفصح عام 1916 وتم إعدامه في سجن كيلمينهام بسببها.,3993,645,0,4683.916833950207,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1625, 'prime_tokens_output': 555}"
real_hotpotqa_00088_5ac458f8554299204fd21f2a,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,False,False,1.0,True,,,,La información proporcionada no especifica la relación entre la madre de Yeshashework Yilma y el Emperador Haile Selassie.,5049,1554,0,1042.1147078741342,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1584, 'prime_tokens_output': 1490}"
real_hotpotqa_00089_5ab3eeb5554299233954fff4,hotpotqa_real,detection_only,google/gemini-2.5-flash,0,False,False,1.0,True,,,,2010,4550,883,0,1635.3604579344392,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1776, 'prime_tokens_output': 772}"
