task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,The Story of a Maid,3884,658,0,11918.63737499807,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1678, 'prime_tokens_output': 269}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Jovita Carranza was born first.,3628,633,0,11064.444791991264,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1603, 'prime_tokens_output': 210}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,True,repaired_via_fallback,a2,"[{'node_id': 'a2', 'prior': 0.30000000000000004, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.8391608391608392}, {'node_id': 'a1', 'prior': 0.04999999999999999, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.13986013986013981}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.020979020979020976}]","Abdul Rahman bin Faisal Al Saud, the father of Turki bin Abdullah Al Saud, died of pneumonia.",7974,924,0,55952.01683300547,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'fallback_reflexion']}, 'prime_tokens_input': 1747, 'prime_tokens_output': 196}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.029999999999999992, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]","On 24 November 1837, Richard Trench, 2nd Earl of Clancarty, died.",13903,1944,0,70120.3539170092,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'fallback_reflexion']}, 'prime_tokens_input': 1782, 'prime_tokens_output': 391}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Yes,3906,749,0,15831.054000009317,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1688, 'prime_tokens_output': 270}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Detroit,3659,312,0,5376.080625021132,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1663, 'prime_tokens_output': 130}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,The director of the film 'Gambling Wives' is Canadian.,3402,822,0,14202.749458985636,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1421, 'prime_tokens_output': 302}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Oliver Palotai was born later than Sherlock Bristol.,3958,682,0,11138.639499986311,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1723, 'prime_tokens_output': 252}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,True,repaired,a4,"[{'node_id': 'a4', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.4761904761904762}, {'node_id': 'a3', 'prior': 0.03, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.2857142857142857}, {'node_id': 'a2', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.11904761904761905}, {'node_id': 'a1', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 4.0, 'posterior': 0.11904761904761905}]","Ardmore, County Waterford",3045,578,0,57321.599500020966,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1304, 'prime_tokens_output': 178}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,The Mystic,4316,672,0,12028.762166999513,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1855, 'prime_tokens_output': 291}"
real_2wiki_00010_9dde4d9f089811ebbd77ac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,No.,3890,434,0,7901.381916977698,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1732, 'prime_tokens_output': 195}"
real_2wiki_00011_bb275b6808a011ebbd78ac1f6bf848b6,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Love's Greatest Mistake,4066,628,0,10295.509915973525,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1795, 'prime_tokens_output': 245}"
real_2wiki_00012_2d72c18c0bb011ebab90acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Charles William Grant,3552,373,0,6056.154416000936,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1590, 'prime_tokens_output': 168}"
real_2wiki_00013_dd8d20e40bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,Germania,3484,439,0,7338.07720799814,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1533, 'prime_tokens_output': 217}"
