task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
hotpotqa_recon_00080,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Lead engineer of the Eiffel Tower was Gustave Eiffel (古斯塔夫·埃菲尔).,621,308,0,0.052791088819503784,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00081,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,545,298,0,0.026583904400467873,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 298}"
hotpotqa_recon_00082,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,England,635,271,0,0.02345792017877102,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 635, 'prime_tokens_output': 271}"
hotpotqa_recon_00083,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Sugiro Buenos Aires.,545,394,0,0.019249971956014633,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 394}"
hotpotqa_recon_00084,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"O engenheiro principal da Torre Eiffel, concluída em 1889, foi Gustave Eiffel.",621,308,0,0.017041107639670372,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00085,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,582,396,0,0.11675013229250908,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 396}"
hotpotqa_recon_00086,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,physics,659,286,0,0.023833010345697403,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 659, 'prime_tokens_output': 286}"
hotpotqa_recon_00087,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,583,437,0,0.09008403867483139,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 437}"
hotpotqa_recon_00088,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,589,274,0,0.018459046259522438,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 589, 'prime_tokens_output': 274}"
hotpotqa_recon_00089,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Berlin,624,407,0,0.014291144907474518,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 407}"
hotpotqa_recon_00090,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Beijing,614,333,0,0.019750092178583145,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 614, 'prime_tokens_output': 333}"
hotpotqa_recon_00091,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Berlin,624,300,0,0.02829195000231266,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 300}"
hotpotqa_recon_00092,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,चीन की राजधानी बीजिंग है।,584,280,0,0.039667123928666115,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 584, 'prime_tokens_output': 280}"
hotpotqa_recon_00093,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,547,464,0,0.020083971321582794,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 547, 'prime_tokens_output': 464}"
hotpotqa_recon_00094,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,619,274,0,0.01670815981924534,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 619, 'prime_tokens_output': 274}"
hotpotqa_recon_00095,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,582,373,0,0.03179209306836128,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 373}"
hotpotqa_recon_00096,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Gustave Eiffel,624,290,0,0.33279089257121086,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 290}"
hotpotqa_recon_00097,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,582,288,0,0.028209062293171883,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 288}"
hotpotqa_recon_00098,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,609,350,0,0.01708301715552807,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 350}"
hotpotqa_recon_00099,hotpotqa_recon,direct,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,545,343,0,0.006084097549319267,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 343}"
hotpotqa_recon_00080,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Gustave Eiffel,1242,613,0,12619.053333066404,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00081,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Vous devriez visiter Buenos Aires.,1090,736,0,10112.977084005252,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 298}"
hotpotqa_recon_00082,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,Stratford-upon-Avon fica na Inglaterra.,1270,629,0,8889.26124991849,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 635, 'prime_tokens_output': 271}"
hotpotqa_recon_00083,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Você deve visitar Buenos Aires.,1090,787,0,21684.370334027335,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 394}"
hotpotqa_recon_00084,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,O engenheiro principal foi Gustave Eiffel.,1242,596,0,22731.8770410493,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00085,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,1164,845,0,26096.520208055153,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 396}"
hotpotqa_recon_00086,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Physics,1318,529,0,11199.592832941562,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 659, 'prime_tokens_output': 286}"
hotpotqa_recon_00087,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,1166,799,0,24123.24933311902,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 583, 'prime_tokens_output': 437}"
hotpotqa_recon_00088,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,1178,500,0,5010.442417114973,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 589, 'prime_tokens_output': 274}"
hotpotqa_recon_00089,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"Berlin é uma cidade excelente para visitar, com muitas opções veganas e uma cena artística vibrante.",1248,678,0,8538.184999953955,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 407}"
hotpotqa_recon_00090,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Beijing,1228,685,0,16378.126499941573,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 614, 'prime_tokens_output': 333}"
hotpotqa_recon_00091,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Berlin,1248,800,0,27548.074749996886,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 300}"
hotpotqa_recon_00092,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,True,,,,The capital of China is Beijing.,1168,579,0,14883.633832912892,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 584, 'prime_tokens_output': 280}"
hotpotqa_recon_00093,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,False,False,1.0,False,,,,"आपको ब्यूनस आयर्स, अर्जेंटीना जाना चाहिए।",1094,809,0,17992.470332887024,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 547, 'prime_tokens_output': 464}"
hotpotqa_recon_00094,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,1238,678,0,12990.333082852885,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 619, 'prime_tokens_output': 274}"
hotpotqa_recon_00095,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,1164,687,0,16217.15054102242,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 373}"
hotpotqa_recon_00096,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Le ingénieur principal de la tour Eiffel était Gustave Eiffel.,1248,654,0,22941.65866705589,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 624, 'prime_tokens_output': 290}"
hotpotqa_recon_00097,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,您应该访问孟买（Mumbai）。,1164,621,0,12255.829166155308,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 582, 'prime_tokens_output': 288}"
hotpotqa_recon_00098,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Princeton University is located in New Jersey.,1218,587,0,6962.264833040535,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 609, 'prime_tokens_output': 350}"
hotpotqa_recon_00099,hotpotqa_recon,full_regen,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,1090,799,0,13357.274542097002,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 343}"
hotpotqa_recon_00080,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Lead engineer of the Eiffel Tower was Gustave Eiffel (古斯塔夫·埃菲尔).,1806,746,0,12857.105917064473,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00081,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Buenos Aires,1617,1012,0,32308.700083056465,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 545, 'prime_tokens_output': 298}"
hotpotqa_recon_00082,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,England,1771,700,0,12818.885749904439,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 635, 'prime_tokens_output': 271}"
hotpotqa_recon_00083,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Sugiro Buenos Aires.,1794,913,0,15714.0531251207,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 545, 'prime_tokens_output': 394}"
hotpotqa_recon_00084,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,"O engenheiro principal da Torre Eiffel, concluída em 1889, foi Gustave Eiffel.",1806,781,0,14733.15054201521,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00085,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Mumbai,1870,917,0,14830.976375145838,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 582, 'prime_tokens_output': 396}"
hotpotqa_recon_00086,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,physics,1833,645,0,10627.609374932945,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 659, 'prime_tokens_output': 286}"
hotpotqa_recon_00087,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Mumbai,1914,1069,0,19115.487666800618,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 583, 'prime_tokens_output': 437}"
hotpotqa_recon_00088,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Princeton University is located in New Jersey.,1681,591,0,19205.2887910977,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 589, 'prime_tokens_output': 274}"
hotpotqa_recon_00089,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Berlin,1965,958,0,15870.636416133493,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 624, 'prime_tokens_output': 407}"
hotpotqa_recon_00090,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Beijing,1818,804,0,25589.583458844572,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 614, 'prime_tokens_output': 333}"
hotpotqa_recon_00091,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Berlin,1804,662,0,7780.096540926024,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 624, 'prime_tokens_output': 300}"
hotpotqa_recon_00092,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,repair_failed,a3,"[{'node_id': 'a3', 'prior': 0.030000000000000027, 'likelihood': 0.0, 'cost': 1.0, 'posterior': 1.0}]",चीन की राजधानी बीजिंग है।,1677,738,0,52051.721499999985,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 584, 'prime_tokens_output': 280}"
hotpotqa_recon_00093,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Buenos Aires,1922,1317,0,23668.88395906426,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 547, 'prime_tokens_output': 464}"
hotpotqa_recon_00094,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Princeton University is located in New Jersey.,1768,817,0,15534.545250004157,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 619, 'prime_tokens_output': 274}"
hotpotqa_recon_00095,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Mumbai,1820,980,0,17073.729833820835,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 582, 'prime_tokens_output': 373}"
hotpotqa_recon_00096,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Gustave Eiffel,1795,788,0,11123.722916003317,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 624, 'prime_tokens_output': 290}"
hotpotqa_recon_00097,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Mumbai,1708,722,0,9349.946958944201,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 582, 'prime_tokens_output': 288}"
hotpotqa_recon_00098,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Princeton University is located in New Jersey.,1851,712,0,7835.193291073665,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 609, 'prime_tokens_output': 350}"
hotpotqa_recon_00099,hotpotqa_recon,intro_specter_llm,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,accepted,,,Buenos Aires,1716,838,0,10628.850209061056,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 545, 'prime_tokens_output': 343}"
hotpotqa_recon_00080,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Lead engineer of the Eiffel Tower was Gustave Eiffel (古斯塔夫·埃菲尔).,621,308,0,14.405290829017758,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00081,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Buenos Aires,545,298,0,10.894040809944272,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 545, 'prime_tokens_output': 298}"
hotpotqa_recon_00082,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,England,635,271,0,9.849792113527656,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 635, 'prime_tokens_output': 271}"
hotpotqa_recon_00083,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Sugiro Buenos Aires.,545,394,0,9.713207837194204,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 545, 'prime_tokens_output': 394}"
hotpotqa_recon_00084,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"O engenheiro principal da Torre Eiffel, concluída em 1889, foi Gustave Eiffel.",621,308,0,9.596665855497122,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 621, 'prime_tokens_output': 308}"
hotpotqa_recon_00085,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Mumbai,582,396,0,9.56687517464161,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 582, 'prime_tokens_output': 396}"
hotpotqa_recon_00086,hotpotqa_recon,reflexion,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,physics,659,286,0,9.502165950834751,"{'split': 'test', 'meta_summary': {'trials': 1}, 'prime_tokens_input': 659, 'prime_tokens_output': 286}"
