,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4810,640,0.0
real_lme_00001_603deb26,42,,True,4900,607,0.0
real_lme_00002_51c32626,42,a1,True,4045,323,0.0
real_lme_00003_8550ddae,42,,True,4136,297,0.0
real_lme_00004_gpt4_2655b836,42,a2,True,4266,319,0.0
real_lme_00005_2698e78f_abs,42,a1,True,12085,596,0.0
real_lme_00006_gpt4_1d80365e,42,a2,False,13424,983,1.0
real_lme_00007_5025383b,42,,True,3831,347,0.0
real_lme_00008_gpt4_cd90e484,42,,True,4171,579,0.0
real_lme_00009_c19f7a0b,42,,True,4411,537,0.0
real_lme_00010_0a34ad58,42,a0,False,13857,510,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4512,438,0.0
real_lme_00012_d6233ab6,42,a2,False,12593,716,1.0
real_lme_00013_7024f17c,42,,True,4135,571,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a1,True,7989,609,0.0
real_lme_00015_6456829e,42,,True,4269,359,0.0
real_lme_00016_f8c5f88b,42,,True,4336,441,0.0
real_lme_00017_ba358f49_abs,42,a1,False,13406,546,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4940,844,0.0
real_lme_00019_gpt4_e414231f,42,,True,4354,333,0.0
real_lme_00020_2698e78f,42,a5,False,11817,1318,1.0
real_lme_00021_e56a43b9,42,,True,4871,651,0.0
real_lme_00022_6cb6f249,42,,True,4215,812,0.0
real_lme_00023_e48988bc,42,,True,3337,350,0.0
real_lme_00024_gpt4_4ef30696,42,a2,False,13931,787,1.0
real_lme_00025_gpt4_4929293b,42,a1,False,12497,696,1.0
real_lme_00026_e6041065,42,,True,4106,533,0.0
real_lme_00027_21d02d0d,42,,True,4458,203,0.0
real_lme_00028_1f2b8d4f,42,a4,True,4383,603,0.0
real_lme_00029_a11281a2,42,,True,4126,217,0.0
real_lme_00030_1de5cff2,42,,True,3686,529,0.0
real_lme_00031_8ebdbe50,42,,True,3668,312,0.0
real_lme_00032_22d2cb42,42,,True,4193,413,0.0
real_lme_00033_gpt4_385a5000,42,,True,4687,711,0.0
real_lme_00034_95bcc1c8,42,,True,4099,483,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4237,564,0.0
real_lme_00036_gpt4_468eb063,42,a2,False,13012,1181,1.0
real_lme_00037_faba32e5,42,,True,4000,199,0.0
real_lme_00038_b86304ba,42,a0,False,13860,825,1.0
real_lme_00039_gpt4_d6585ce8,42,a2,False,14257,1535,1.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4121,561,0.0
real_lme_00041_5809eb10,42,,True,4131,380,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4294,518,0.0
real_lme_00043_c2ac3c61,42,,True,4100,189,0.0
real_lme_00044_gpt4_ec93e27f,42,a3,True,4359,449,0.0
real_lme_00045_06db6396,42,,True,4106,306,0.0
real_lme_00046_dc439ea3,42,,True,4312,349,0.0
real_lme_00047_f685340e,42,a3,False,13457,1366,1.0
real_lme_00048_dccbc061,42,,True,3743,314,0.0
real_lme_00049_0862e8bf_abs,42,a1,False,13534,486,1.0
real_lme_00050_0862e8bf,42,,True,4291,451,0.0
real_lme_00051_2ebe6c90,42,a1,False,12165,838,1.0
real_lme_00052_1faac195,42,,True,4140,175,0.0
real_lme_00053_21d02d0d,42,,True,4684,445,0.0
real_lme_00054_603deb26,42,,True,4609,689,0.0
real_lme_00055_7e974930,42,a2,True,4567,503,0.0
real_lme_00056_27016adc,42,,True,3962,469,0.0
real_lme_00057_dd2973ad,42,,True,4290,240,0.0
real_lme_00058_b320f3f8,42,,True,3851,484,0.0
real_lme_00059_2ebe6c90,42,a1,False,13358,994,1.0
