task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,"July 11, 2017",4431,972,0,6790.419583005132,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1866, 'prime_tokens_output': 443}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,True,repaired,a1,"[{'node_id': 'a1', 'prior': 0.039999999999999994, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",Sales began worldwide in April 2012,3801,495,0,22876.21245799528,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1617, 'prime_tokens_output': 297}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,Nanjing was the capital for about 400 years.,3973,737,0,8424.165749995154,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1686, 'prime_tokens_output': 331}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,11 February 1929,4373,748,0,6100.6374589924235,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1828, 'prime_tokens_output': 440}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,"The political party Alaska generally supports, the Republican Party, took control of the US Senate in January 2015.",3620,626,0,4948.433625002508,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1518, 'prime_tokens_output': 314}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,Ko Phi Phi Leh,3834,645,0,6562.635374997626,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1655, 'prime_tokens_output': 254}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,1964,3846,525,0,2832.7239579957677,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1620, 'prime_tokens_output': 308}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,the Politburo,3906,681,0,7238.216084006126,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1693, 'prime_tokens_output': 250}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,KUAT-TV 6,4319,639,0,9882.845084008295,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1891, 'prime_tokens_output': 267}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,Roncalli left the city for the conclave in Rome.,4629,1011,0,11004.105083004106,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1741, 'prime_tokens_output': 653}"
real_musique_00010_3hop1__24980_42197_18397,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,the Politburo,3971,677,0,8743.630999990273,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1731, 'prime_tokens_output': 239}"
real_musique_00011_3hop2__88342_93066_47738,musique_real,intro_specter_llm,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,accepted,,,the 2009 season,4471,1040,0,8890.336541997385,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1804, 'prime_tokens_output': 565}"
