,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,a5,False,False,False,False,False,False,False,False,2295.0,4590.0,5496.0,4645.0,18242.0,5334.0,13484.0,18099.0,613.0,1102.0,1368.0,1372.0,2466.0,1570.0,952.0,949.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00001_603deb26,42,a0,False,False,False,False,True,False,False,False,2286.0,4572.0,5247.0,4627.0,14169.0,5085.0,15617.0,45537.0,438.0,957.0,587.0,733.0,1545.0,1152.0,715.0,1899.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00002_51c32626,42,a0,False,False,False,False,False,True,False,False,2012.0,4024.0,4731.0,4079.0,12869.0,4569.0,11693.0,88690.0,442.0,917.0,691.0,781.0,1876.0,1123.0,663.0,3362.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,True,1998.0,3996.0,4482.0,4051.0,1998.0,4320.0,11588.0,15709.0,275.0,554.0,660.0,595.0,275.0,882.0,437.0,576.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00004_gpt4_2655b836,42,a2,False,False,False,False,False,False,False,False,2096.0,4192.0,4690.0,4247.0,12365.0,4528.0,12223.0,16554.0,282.0,704.0,975.0,467.0,1197.0,797.0,489.0,616.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00005_2698e78f_abs,42,a5,False,False,False,False,False,False,False,False,1997.0,3994.0,4636.0,4049.0,12248.0,4474.0,13991.0,15714.0,400.0,782.0,1322.0,689.0,1292.0,858.0,786.0,725.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00006_gpt4_1d80365e,42,a5,False,False,False,False,False,False,False,False,2147.0,4294.0,5189.0,4385.0,14539.0,5063.0,14675.0,16910.0,600.0,1161.0,1381.0,1747.0,2395.0,1503.0,901.0,935.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00007_5025383b,42,a5,False,False,False,False,False,False,False,False,1836.0,3672.0,4386.0,3727.0,12214.0,4224.0,10659.0,14443.0,449.0,863.0,1212.0,1441.0,1831.0,1013.0,681.0,786.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00008_gpt4_cd90e484,42,a3,False,False,False,False,False,False,False,False,1967.0,3934.0,4604.0,3989.0,12602.0,4442.0,11571.0,15460.0,428.0,1176.0,1042.0,1503.0,1663.0,974.0,750.0,770.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00009_c19f7a0b,42,,True,True,True,False,True,True,True,False,2077.0,4154.0,5367.0,4209.0,2077.0,5205.0,12143.0,16356.0,844.0,1931.0,1496.0,2029.0,844.0,1863.0,1118.0,1159.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
real_lme_00010_0a34ad58,42,a0,False,False,False,False,False,False,False,False,2267.0,4534.0,5351.0,4589.0,17426.0,5189.0,13311.0,17902.0,553.0,1011.0,678.0,899.0,2094.0,1454.0,855.0,1002.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,True,2235.0,4470.0,4955.0,4525.0,2235.0,4793.0,13008.0,17652.0,271.0,745.0,647.0,551.0,271.0,729.0,439.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00012_d6233ab6,42,a0,False,False,False,False,False,False,False,False,1960.0,3920.0,4680.0,3975.0,17045.0,4518.0,11496.0,15527.0,495.0,830.0,628.0,940.0,1675.0,1266.0,786.0,964.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,a9,False,False,False,False,True,False,False,False,1930.0,3860.0,4863.0,3915.0,7495.0,4701.0,11250.0,15200.0,711.0,1546.0,2095.0,994.0,1849.0,2052.0,952.0,1221.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00014_gpt4_c27434e8_abs,42,a7,False,False,True,False,False,False,False,False,1905.0,3810.0,4559.0,3865.0,16500.0,4397.0,11131.0,14983.0,479.0,940.0,1810.0,1262.0,1607.0,1221.0,787.0,847.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
real_lme_00015_6456829e,42,a3,False,False,False,False,False,False,False,False,2011.0,4022.0,4435.0,4077.0,11783.0,4273.0,13667.0,40003.0,226.0,465.0,773.0,982.0,1278.0,788.0,464.0,1465.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00016_f8c5f88b,42,a3,False,False,False,False,False,False,False,False,2113.0,4226.0,4808.0,4281.0,17003.0,4646.0,12311.0,16638.0,343.0,803.0,824.0,1257.0,1125.0,966.0,556.0,653.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00017_ba358f49_abs,42,a4,False,False,False,False,False,False,False,False,2176.0,4352.0,4969.0,4407.0,15483.0,4807.0,12763.0,17149.0,376.0,681.0,1023.0,1203.0,1463.0,946.0,641.0,736.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00018_gpt4_d31cdae3,42,a3,False,False,False,False,True,False,False,False,2321.0,4642.0,5389.0,4697.0,8181.0,5227.0,15840.0,46050.0,480.0,971.0,1221.0,796.0,1260.0,1165.0,753.0,1581.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
