task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"In the past month, you spent the most money at Thrive Market, a vegan-friendly online store, based on the provided context and available information.",2149,295,0,0.03270800516474992,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2149, 'prime_tokens_output': 295}"
real_lme_00001_603deb26,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,I have tried making a Negroni at home 10 times since my friend Emma showed me how to make it.,2186,236,0,0.028000009479001164,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2186, 'prime_tokens_output': 236}"
real_lme_00002_51c32626,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You submitted your research paper on sentiment analysis to ACL on February 1st.,1868,127,0,0.043499996536411345,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1868, 'prime_tokens_output': 127}"
real_lme_00003_8550ddae,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Last weekend, you tried a lavender gin fizz recipe.",1918,95,0,0.02679199678823352,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1918, 'prime_tokens_output': 95}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,"After the service on March 15th, the GPS system stopped working properly.",1955,169,0,0.0432920060120523,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1955, 'prime_tokens_output': 169}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,You haven't mentioned seeing Dr. Johnson in our conversation.,1873,146,0,0.0195419997908175,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1873, 'prime_tokens_output': 146}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,You spent 2 days on your solo camping trip to Yosemite National Park.,2003,196,0,0.06762499106116593,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2003, 'prime_tokens_output': 196}"
real_lme_00007_5025383b,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Photography and cooking.,1725,145,0,0.01879199407994747,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1725, 'prime_tokens_output': 145}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Based on the user's observation a week ago and the information provided, it's reasonable to assume they used their new binoculars for about two weeks before seeing the American goldfinches returning to the area.",1864,275,0,0.014541990822181106,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1864, 'prime_tokens_output': 275}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You usually get home from work at 6:30 pm on weeknights.,1976,145,0,0.017167010810226202,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1976, 'prime_tokens_output': 145}"
