,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,a3,False,5105,792,1.0
real_lme_00001_603deb26,42,a2,True,5084,707,0.0
real_lme_00002_51c32626,42,,True,4333,561,0.0
real_lme_00003_8550ddae,42,,True,4315,504,0.0
real_lme_00004_gpt4_2655b836,42,,True,4339,470,0.0
real_lme_00005_2698e78f_abs,42,a0,True,4036,186,0.0
real_lme_00006_gpt4_1d80365e,42,a3,False,4811,826,1.0
real_lme_00007_5025383b,42,,True,3936,499,0.0
real_lme_00008_gpt4_cd90e484,42,a2,False,4324,595,1.0
real_lme_00009_c19f7a0b,42,,True,4679,539,0.0
real_lme_00010_0a34ad58,42,a2,False,4926,629,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4633,429,0.0
real_lme_00012_d6233ab6,42,a1,False,4377,582,1.0
real_lme_00013_7024f17c,42,,True,4406,973,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a0,True,4010,492,0.0
real_lme_00015_6456829e,42,,True,4638,545,0.0
real_lme_00016_f8c5f88b,42,,True,4555,718,0.0
real_lme_00017_ba358f49_abs,42,a0,False,4664,523,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4950,420,0.0
real_lme_00019_gpt4_e414231f,42,,True,4527,517,0.0
real_lme_00020_2698e78f,42,a0,False,3996,496,1.0
real_lme_00021_e56a43b9,42,,True,4957,455,0.0
real_lme_00022_6cb6f249,42,,True,4184,628,0.0
real_lme_00023_e48988bc,42,,True,3560,523,0.0
real_lme_00024_gpt4_4ef30696,42,a3,False,4443,673,1.0
real_lme_00025_gpt4_4929293b,42,a0,False,4172,437,1.0
real_lme_00026_e6041065,42,,True,4202,685,0.0
real_lme_00027_21d02d0d,42,,True,4784,684,0.0
real_lme_00028_1f2b8d4f,42,a2,True,4501,722,0.0
real_lme_00029_a11281a2,42,,True,4564,656,0.0
real_lme_00030_1de5cff2,42,,True,3826,501,0.0
real_lme_00031_8ebdbe50,42,,True,4013,620,0.0
real_lme_00032_22d2cb42,42,,True,4138,448,0.0
real_lme_00033_gpt4_385a5000,42,,True,4591,538,0.0
real_lme_00034_95bcc1c8,42,,True,4133,514,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4320,426,0.0
real_lme_00036_gpt4_468eb063,42,,True,4381,810,0.0
real_lme_00037_faba32e5,42,,True,4467,640,0.0
real_lme_00038_b86304ba,42,a1,False,4210,563,1.0
real_lme_00039_gpt4_d6585ce8,42,a1,True,4504,568,0.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4499,1038,0.0
real_lme_00041_5809eb10,42,,True,4238,507,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4559,507,0.0
real_lme_00043_c2ac3c61,42,,True,4150,162,0.0
real_lme_00044_gpt4_ec93e27f,42,a1,True,4507,573,0.0
real_lme_00045_06db6396,42,,True,4361,512,0.0
real_lme_00046_dc439ea3,42,,True,4512,557,0.0
real_lme_00047_f685340e,42,a2,True,4250,487,0.0
real_lme_00048_dccbc061,42,a0,True,3802,190,0.0
real_lme_00049_0862e8bf_abs,42,,True,4613,538,0.0
real_lme_00050_0862e8bf,42,,True,4119,173,0.0
real_lme_00051_2ebe6c90,42,a2,False,4258,656,1.0
real_lme_00052_1faac195,42,,True,4457,406,0.0
real_lme_00053_21d02d0d,42,,True,4783,604,0.0
real_lme_00054_603deb26,42,,True,4844,599,0.0
real_lme_00055_7e974930,42,a1,True,4688,555,0.0
real_lme_00056_27016adc,42,,True,4117,663,0.0
real_lme_00057_dd2973ad,42,,True,4759,632,0.0
real_lme_00058_b320f3f8,42,a1,True,3867,366,0.0
real_lme_00059_2ebe6c90,42,a4,True,4626,969,0.0
