task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The director of 'The Story of a Maid', Reinhold Schünzel, is older than the director of 'Osmanthus Alley', Chen Kunhou.",4215,1232,0,18146.87966700876,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1709, 'prime_tokens_output': 501}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Jovita Carranza was born first.,3905,1068,0,15539.487833011663,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1619, 'prime_tokens_output': 391}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The cause of death of Turki Bin Abdullah Al Saud's father is pneumonia.,4161,925,0,22012.72508299735,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1774, 'prime_tokens_output': 297}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"William Le Poer Trench's father, William Trench, 3rd Earl of Clancarty, died on 26 April 1872.",4559,993,0,8377.48058300349,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1793, 'prime_tokens_output': 656}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Yes, both Novochesnokovo and Katanda are located in the same country, Russia.",3904,486,0,7328.912791999755,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1693, 'prime_tokens_output': 284}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Detroit,4044,898,0,15594.918375005363,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1694, 'prime_tokens_output': 359}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The director of 'Gambling Wives', Dell Henderson, is Canadian.",3560,956,0,13580.398624995723,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1442, 'prime_tokens_output': 400}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Oliver Palotai was born later than Sherlock Bristol.,4098,754,0,8898.201207994134,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1730, 'prime_tokens_output': 362}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Pat O'Connor was born in Ardmore, County Waterford, Ireland.",3062,508,0,8621.429457998602,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1326, 'prime_tokens_output': 198}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The director of The Mystic died first.,4253,765,0,16939.961583993863,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1861, 'prime_tokens_output': 276}"
real_2wiki_00010_9dde4d9f089811ebbd77ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"No, The Mercy and The Boy Friend (1926 Film) did not originate from the same country. The Mercy is a British film, while The Boy Friend (1926 Film) is an American film.",4074,699,0,13634.28300000669,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1761, 'prime_tokens_output': 312}"
real_2wiki_00011_bb275b6808a011ebbd78ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Love's Greatest Mistake,4239,656,0,9627.05254201137,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1810, 'prime_tokens_output': 336}"
real_2wiki_00012_2d72c18c0bb011ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The paternal grandfather of Charles Colmore Grant, 7th Baron de Longueuil is Charles William Grant.",4067,1064,0,13723.040541997761,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1590, 'prime_tokens_output': 570}"
real_2wiki_00013_dd8d20e40bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Drusus died in Germania.,3785,840,0,12300.937333988259,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1532, 'prime_tokens_output': 425}"
real_2wiki_00014_4c17bba60bb011ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Artavasdes I of Media Atropatene,4240,823,0,18728.470707996166,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1820, 'prime_tokens_output': 349}"
real_2wiki_00015_eb7ece320bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Juliana Freire graduated from Stony Brook University.,4449,738,0,13429.156374986633,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1883, 'prime_tokens_output': 340}"
real_2wiki_00016_94911d640bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Ilona Zrínyi, the wife of Francis I Rákóczi, was born in Ozalj.",4417,844,0,13968.93283299869,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1802, 'prime_tokens_output': 516}"
real_2wiki_00017_1f38945c0bb011ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"George III, Count of Erbach-Breuberg",5214,1209,0,11466.795082989847,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2001, 'prime_tokens_output': 853}"
real_2wiki_00018_31611fcc08cd11ebbd93ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Children Of Tsunami: No More Tears,3828,835,0,23071.582167001907,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1606, 'prime_tokens_output': 362}"
real_2wiki_00019_80cea3ec0baf11ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,True,repaired,a3,"[{'node_id': 'a3', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.5172413793103448}, {'node_id': 'a0', 'prior': 0.05, 'likelihood': 0.6666666666666666, 'cost': 4.0, 'posterior': 0.3448275862068965}, {'node_id': 'a2', 'prior': 0.020000000000000004, 'likelihood': 0.3333333333333333, 'cost': 2.0, 'posterior': 0.06896551724137931}, {'node_id': 'a1', 'prior': 0.020000000000000004, 'likelihood': 0.3333333333333333, 'cost': 2.0, 'posterior': 0.06896551724137931}]","Dietrich VI, Count of Cleves",4281,892,0,75157.22570799699,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1783, 'prime_tokens_output': 422}"
real_2wiki_00020_5eb8315a089011ebbd72ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The director of 'Trois Milliards Sans Ascenseur', Roger Pigaut, is older than the director of 'Four Flies On Grey Velvet', Dario Argento.",4945,1118,0,14772.673540996038,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2001, 'prime_tokens_output': 604}"
real_2wiki_00021_4110745e0bde11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The place of birth of the composer of song Vem Vet is Stockholm.,4102,539,0,9459.439874990494,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1791, 'prime_tokens_output': 230}"
real_2wiki_00022_0963c8b80bdd11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"The director of 'Used People', Beeban Kidron, is from the United Kingdom.",3159,510,0,8152.274874999421,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1371, 'prime_tokens_output': 204}"
real_2wiki_00023_7ee9577e088611ebbd6dac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,The Falcon'S Alibi,3995,911,0,14634.756540996023,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1669, 'prime_tokens_output': 374}"
real_2wiki_00024_1fa46e26084911ebbd55ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,"Yes, both films 'The Umbrella Coup' and 'The Cow And I' have directors that share the same nationality.",4698,1085,0,12923.93758399703,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1934, 'prime_tokens_output': 512}"
real_2wiki_00025_2ef233a40baf11ebab90acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,David Miliband's mother is Marion Kozak.,3906,658,0,3783.3597080025356,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1712, 'prime_tokens_output': 251}"
real_2wiki_00026_357b09be0bda11eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,American,3750,739,0,12457.886415999383,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1536, 'prime_tokens_output': 382}"
real_2wiki_00027_7f6e237109c411ebbdb0ac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Yes.,3795,556,0,7453.369000009843,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1705, 'prime_tokens_output': 151}"
real_2wiki_00028_cc2516f80bd911eba7f7acde48001122,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.09999999999999998, 'likelihood': 0.6666666666666666, 'cost': 1.0, 'posterior': 1.0}]","The death date of Gregory Cromwell, 1st Baron Cromwell is not provided in the given paragraphs.",4481,1002,0,20925.898583998787,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1686, 'prime_tokens_output': 771}"
real_2wiki_00029_ce3a708808bd11ebbd8aac1f6bf848b6,twowiki_real,intro_specter_llm,mistralai/mistral-nemo,42,True,True,0.0,False,accepted,,,Yeti Obhijaan,3841,624,0,7860.87766700075,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1652, 'prime_tokens_output': 304}"
