,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4837,826,0.0
real_lme_00001_603deb26,42,,True,4811,734,0.0
real_lme_00002_51c32626,42,,True,3880,385,0.0
real_lme_00003_8550ddae,42,a3,True,4347,813,0.0
real_lme_00004_gpt4_2655b836,42,,True,4408,910,0.0
real_lme_00005_2698e78f_abs,42,a3,False,4256,735,1.0
real_lme_00006_gpt4_1d80365e,42,a4,False,4555,959,1.0
real_lme_00007_5025383b,42,,True,3644,851,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3990,398,0.0
real_lme_00009_c19f7a0b,42,,True,4453,863,0.0
real_lme_00010_0a34ad58,42,a2,False,4431,421,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4291,398,0.0
real_lme_00012_d6233ab6,42,a3,False,3833,516,1.0
real_lme_00013_7024f17c,42,a3,True,4142,775,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a4,False,4065,825,1.0
real_lme_00015_6456829e,42,,True,4096,288,0.0
real_lme_00016_f8c5f88b,42,,True,4140,215,0.0
real_lme_00017_ba358f49_abs,42,a2,True,4281,417,0.0
real_lme_00018_gpt4_d31cdae3,42,,True,4533,378,0.0
real_lme_00019_gpt4_e414231f,42,,True,4763,1660,0.0
real_lme_00020_2698e78f,42,,True,3752,302,0.0
real_lme_00021_e56a43b9,42,,True,4576,410,0.0
real_lme_00022_6cb6f249,42,,True,3978,571,0.0
real_lme_00023_e48988bc,42,,True,3197,302,0.0
real_lme_00024_gpt4_4ef30696,42,a4,True,4580,979,0.0
real_lme_00025_gpt4_4929293b,42,,True,3934,595,0.0
real_lme_00026_e6041065,42,,True,4155,880,0.0
real_lme_00027_21d02d0d,42,,True,4394,785,0.0
real_lme_00028_1f2b8d4f,42,a3,True,4431,847,0.0
real_lme_00029_a11281a2,42,,True,4364,833,0.0
real_lme_00030_1de5cff2,42,,True,3726,709,0.0
real_lme_00031_8ebdbe50,42,,True,3896,735,0.0
real_lme_00032_22d2cb42,42,,True,3917,387,0.0
real_lme_00033_gpt4_385a5000,42,a2,False,4297,393,1.0
real_lme_00034_95bcc1c8,42,,True,4013,460,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4036,564,0.0
real_lme_00036_gpt4_468eb063,42,a3,False,4246,849,1.0
real_lme_00037_faba32e5,42,,True,4196,606,0.0
real_lme_00038_b86304ba,42,a3,False,3983,518,1.0
real_lme_00039_gpt4_d6585ce8,42,,True,4567,1013,0.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4276,1010,0.0
real_lme_00041_5809eb10,42,,True,3886,274,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4382,747,0.0
real_lme_00043_c2ac3c61,42,,True,4203,491,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4375,738,0.0
real_lme_00045_06db6396,42,,True,4108,688,0.0
real_lme_00046_dc439ea3,42,,True,4194,326,0.0
real_lme_00047_f685340e,42,a2,False,3974,432,1.0
real_lme_00048_dccbc061,42,,True,3702,383,0.0
real_lme_00049_0862e8bf_abs,42,a0,True,4332,195,0.0
real_lme_00050_0862e8bf,42,,True,4209,448,0.0
real_lme_00051_2ebe6c90,42,a4,False,4257,1099,1.0
real_lme_00052_1faac195,42,,True,4130,580,0.0
real_lme_00053_21d02d0d,42,,True,4739,905,0.0
real_lme_00054_603deb26,42,a0,True,4314,233,0.0
real_lme_00055_7e974930,42,,True,4525,800,0.0
real_lme_00056_27016adc,42,,True,4546,1919,0.0
real_lme_00057_dd2973ad,42,,True,4228,317,0.0
real_lme_00058_b320f3f8,42,,True,3646,301,0.0
real_lme_00059_2ebe6c90,42,a6,False,4099,910,1.0
