Building 60 4-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=40000, model=llama-3.3-70b provider=together model_id=meta-llama/Llama-3.3-70B-Instruct-Turbo)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=llama-3.3-70b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2655,270)
  model=llama-3.3-70b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2655,261)
  model=llama-3.3-70b N=4 arm=direct real_lme_00018_gpt4_d31cdae3 seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2655,385)
  model=llama-3.3-70b N=4 arm=direct real_lme_00049_0862e8bf_abs seed=0: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,197)
  model=llama-3.3-70b N=4 arm=direct real_lme_00049_0862e8bf_abs seed=1: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,260)
  model=llama-3.3-70b N=4 arm=direct real_lme_00049_0862e8bf_abs seed=2: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2707,480)
  model=llama-3.3-70b N=4 arm=direct real_lme_00168_gpt4_68e94287 seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2829,62)
  model=llama-3.3-70b N=4 arm=direct real_lme_00168_gpt4_68e94287 seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2829,62)
  model=llama-3.3-70b N=4 arm=direct real_lme_00168_gpt4_68e94287 seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2829,245)
  model=llama-3.3-70b N=4 arm=direct real_lme_00220_gpt4_2312f94c seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2633,133)
  model=llama-3.3-70b N=4 arm=direct real_lme_00220_gpt4_2312f94c seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2633,133)
  model=llama-3.3-70b N=4 arm=direct real_lme_00220_gpt4_2312f94c seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(2633,133)
  model=llama-3.3-70b N=4 arm=direct real_lme_00263_2698e78f seed=0: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2578,236)
  model=llama-3.3-70b N=4 arm=direct real_lme_00263_2698e78f seed=1: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(2578,209)
  model=llama-3.3-70b N=4 arm=direct real_lme_00263_2698e78f seed=2: per_fault={'ctx': False, 'bullets': True, 'concise': False, 'preamble': True} all_resolved=False n_resolved=2/4 tokens=(2578,217)
