Building 60 2-fault-injected longmemeval_real examples (bench_seed=42, scan_limit=3000, model=llama-3.1-8b provider=openrouter model_id=meta-llama/llama-3.1-8b-instruct)...
Built 60 examples. seeds=[0, 1, 2], arms=['direct', 'self_refine', 'reflexion', 'full_regen', 'react', 'selfcheckgpt', 'intro_specter']
  model=llama-3.1-8b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,368)
  model=llama-3.1-8b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2342,368)
  model=llama-3.1-8b N=2 arm=direct real_lme_00000_gpt4_2ba83207 seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2343,98)
  model=llama-3.1-8b N=2 arm=direct real_lme_00001_603deb26 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2462,555)
  model=llama-3.1-8b N=2 arm=direct real_lme_00001_603deb26 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2462,555)
  model=llama-3.1-8b N=2 arm=direct real_lme_00001_603deb26 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2446,454)
  model=llama-3.1-8b N=2 arm=direct real_lme_00002_51c32626 seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2119,96)
  model=llama-3.1-8b N=2 arm=direct real_lme_00002_51c32626 seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2119,96)
  model=llama-3.1-8b N=2 arm=direct real_lme_00002_51c32626 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2099,742)
  model=llama-3.1-8b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=0: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2111,366)
  model=llama-3.1-8b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=1: per_fault={'ctx': True, 'concise': False} all_resolved=False n_resolved=1/2 tokens=(2111,366)
  model=llama-3.1-8b N=2 arm=direct real_lme_00004_gpt4_2655b836 seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2131,108)
  model=llama-3.1-8b N=2 arm=direct real_lme_00005_2698e78f_abs seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2081,255)
  model=llama-3.1-8b N=2 arm=direct real_lme_00005_2698e78f_abs seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2081,255)
  model=llama-3.1-8b N=2 arm=direct real_lme_00005_2698e78f_abs seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2101,523)
  model=llama-3.1-8b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=0: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2235,513)
  model=llama-3.1-8b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=1: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2235,513)
  model=llama-3.1-8b N=2 arm=direct real_lme_00006_gpt4_1d80365e seed=2: per_fault={'ctx': False, 'concise': True} all_resolved=False n_resolved=1/2 tokens=(2235,311)
  model=llama-3.1-8b N=2 arm=direct real_lme_00007_5025383b seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=direct real_lme_00007_5025383b seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=direct real_lme_00007_5025383b seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(1994,240)
  model=llama-3.1-8b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=0: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,118)
  model=llama-3.1-8b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=1: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2143,118)
  model=llama-3.1-8b N=2 arm=direct real_lme_00008_gpt4_cd90e484 seed=2: per_fault={'ctx': True, 'bullets': True} all_resolved=True n_resolved=2/2 tokens=(2123,149)
  model=llama-3.1-8b N=2 arm=direct real_lme_00009_c19f7a0b seed=0: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00009_c19f7a0b seed=1: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2251,267)
  model=llama-3.1-8b N=2 arm=direct real_lme_00009_c19f7a0b seed=2: per_fault={'ctx': True, 'concise': True} all_resolved=True n_resolved=2/2 tokens=(2231,296)
  model=llama-3.1-8b N=2 arm=direct real_lme_00010_0a34ad58 seed=0: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2636,283)
  model=llama-3.1-8b N=2 arm=direct real_lme_00010_0a34ad58 seed=1: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2636,283)
  model=llama-3.1-8b N=2 arm=direct real_lme_00010_0a34ad58 seed=2: per_fault={'ctx': False, 'concise': False} all_resolved=False n_resolved=0/2 tokens=(2600,281)
  model=llama-3.1-8b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=0: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2329,249)
  model=llama-3.1-8b N=2 arm=direct real_lme_00011_gpt4_65aabe59 seed=1: per_fault={'ctx': True, 'preamble': True} all_resolved=True n_resolved=2/2 tokens=(2329,249)
