task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,"The All-Star game is being played in the league that Jim Wilson plays for on July 11, 2017.",5046,2126,0,70140.35137501196,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1866, 'prime_tokens_output': 910}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,repair_failed,a8,"[{'node_id': 'a8', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",April 2012,4219,1640,0,47577.7678329905,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1']}, 'prime_tokens_input': 1617, 'prime_tokens_output': 645}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The city of Nanjing was the capital city of Yangzhou for about 400 years.,3915,837,0,5036.303417000454,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1666, 'prime_tokens_output': 328}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The final answer is 11 February 1929.,4378,1218,0,42723.89504199964,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1828, 'prime_tokens_output': 486}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The political party Alaska generally supports took control of the determiner of rules of the US House and US Senate in January 2015.,3895,1095,0,5045.48837497714,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1498, 'prime_tokens_output': 539}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,True,repaired_via_spr,a13,"[{'node_id': 'a6', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 9.0, 'posterior': 0.25157232704402516}, {'node_id': 'a13', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.25157232704402516}, {'node_id': 'a5', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 9.0, 'posterior': 0.07547169811320754}, {'node_id': 'a10', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 5.0, 'posterior': 0.07547169811320754}, {'node_id': 'a4', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 10.0, 'posterior': 0.07547169811320754}, {'node_id': 'a12', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 3.0, 'posterior': 0.07547169811320754}, {'node_id': 'a8', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 5.0, 'posterior': 0.07547169811320754}, {'node_id': 'a15', 'prior': 0.05, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.0628930817610063}, {'node_id': 'a14', 'prior': 0.30000000000000004, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.03773584905660379}, {'node_id': 'a2', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 10.0, 'posterior': 0.009433962264150947}, {'node_id': 'a1', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 11.0, 'posterior': 0.009433962264150947}, {'node_id': 'a11', 'prior': 0.30000000000000004, 'likelihood': 0.0, 'cost': 4.0, 'posterior': 0.0}, {'node_id': 'a7', 'prior': 0.30000000000000004, 'likelihood': 0.0, 'cost': 8.0, 'posterior': 0.0}]",Ko Phi Phi Leh,4628,2516,0,514877.52058400656,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'spr_round_1_decision', 'spr_round_1_post_verifier']}, 'prime_tokens_input': 1655, 'prime_tokens_output': 852}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,1964,3780,842,0,4201.873083977262,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1600, 'prime_tokens_output': 325}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,The leader announced that he would intervene in the Korean conflict in the Politburo.,3899,834,0,29270.415707986103,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1673, 'prime_tokens_output': 318}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,KUAT-TV 6 is the PBS station of the city in the same county as Helvetia.,4816,1340,0,36385.35491601215,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1891, 'prime_tokens_output': 693}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,intro_specter_llm,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,accepted,,,Roncalli High School left Indianapolis for the conclave in Rome.,4730,2339,0,88596.09520900995,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1741, 'prime_tokens_output': 802}"
