task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
strategyqa_recon_00080,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,用户可以推测Marco Polo在13世纪末至14世纪初的生活期间，不可能品尝到西红柿，因为西红柿直到16世纪才被引入欧洲。,569,240,0,0.032791867852211,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 240}"
strategyqa_recon_00081,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,yes,547,235,0,0.02433289773762226,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 547, 'prime_tokens_output': 235}"
strategyqa_recon_00082,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,Napoleon Bonaparte could not have flown to his exile on Saint Helena because airplanes were not invented until much later.,586,292,0,0.0824581366032362,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 292}"
strategyqa_recon_00083,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,yes,543,271,0,0.005916925147175789,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 543, 'prime_tokens_output': 271}"
strategyqa_recon_00084,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Isaac Newton nunca usou um calculator, pois ele viveu mais de um século antes da invenção do primeiro calculator. No período em que ele viveu, as contas eram realizadas manualmente ou com o auxílio de instrumentos mecânicos como a abacada.",569,350,0,0.1497080083936453,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 569, 'prime_tokens_output': 350}"
strategyqa_recon_00085,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,no,586,227,0,0.028749927878379822,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 227}"
strategyqa_recon_00086,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,न तो Genghis Khan के जीवन के दौरान हेट आयर बालोन में चढ़ावा किया जा सकता था।,618,362,0,0.05295802839100361,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 618, 'prime_tokens_output': 362}"
strategyqa_recon_00087,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,no,573,180,0,0.09179185144603252,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 573, 'prime_tokens_output': 180}"
strategyqa_recon_00088,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Sí, Charles Darwin leía 'El origen de las especies' en forma impresa.",554,422,0,0.02766610123217106,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 554, 'prime_tokens_output': 422}"
strategyqa_recon_00089,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,no,602,191,0,0.01216609962284565,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 602, 'prime_tokens_output': 191}"
strategyqa_recon_00090,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,لا يمكن للشخص أن يطير من لندن إلى نيويورك في عام 1900,584,386,0,0.03254110924899578,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 584, 'prime_tokens_output': 386}"
strategyqa_recon_00091,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,no,602,142,0,0.03504101186990738,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 602, 'prime_tokens_output': 142}"
strategyqa_recon_00092,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"लेनार्डो दा विंची का जीवन 1452 से 1519 के बीच था। हॉलीवुड फिल्में आधुनिक समय से बनाई जानी शुरू हुई थीं। इसलिए, यह संभवतः लेनार्डो दा विंची को हॉलीवुड फिल्में देखने का कोई मौका नहीं था।",550,462,0,0.01708301715552807,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 550, 'prime_tokens_output': 462}"
strategyqa_recon_00093,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,yes,545,350,0,0.01579197123646736,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 545, 'prime_tokens_output': 350}"
strategyqa_recon_00094,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"No, Galileo never looked through a telescope at Pluto. This is because Pluto was not discovered until 1930, which is long after Galileo's death.",580,216,0,0.03870786167681217,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 580, 'prime_tokens_output': 216}"
strategyqa_recon_00095,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,否。,586,163,0,0.03691692836582661,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 163}"
strategyqa_recon_00096,strategyqa_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Oui, la fréquence cardiaque moyenne humaine en repos est supérieure à 30 battements par minute. À noter qu'une fréquence cardiaque en dessous de 60 bpm peut être considérée comme normale pour certaines personnes, notamment les athlètes bien entraînés.",580,566,0,0.03300001844763756,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 580, 'prime_tokens_output': 566}"
