task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,"The user spent the most money at Trader Joe's, but as a vegan, this information may not be relevant to their current dietary preferences.",2140,345,0,0.037125006201677024,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2140, 'prime_tokens_output': 345}"
real_lme_00001_603deb26,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,,,,The user has tried making a Negroni at home 10 times since their friend Emma showed them how to make it.,2177,298,0,0.03691700112540275,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2177, 'prime_tokens_output': 298}"
real_lme_00002_51c32626,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,The date is not specified.,1850,282,0,0.07824999920558184,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1850, 'prime_tokens_output': 282}"
real_lme_00003_8550ddae,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,,,,lavender gin fizz,1913,277,0,0.015042009181343019,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1913, 'prime_tokens_output': 277}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,No issue mentioned.,1938,225,0,0.037125006201677024,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1938, 'prime_tokens_output': 225}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,True,True,0.0,False,,,,The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,1855,285,0,0.02025000867433846,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1855, 'prime_tokens_output': 285}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,You spent 2 days on your solo camping trip to Yosemite National Park.,1984,328,0,0.046415996621362865,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1984, 'prime_tokens_output': 328}"
real_lme_00007_5025383b,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,cooking,1714,314,0,0.019957995391450822,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1714, 'prime_tokens_output': 314}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,The chat history does not provide enough information to answer the question.,1856,380,0,0.027542002499103546,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1856, 'prime_tokens_output': 380}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,42,False,False,1.0,True,,,,You usually get home from work at 5:30 pm.,1960,381,0,0.023125001462176442,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1960, 'prime_tokens_output': 381}"
