task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
webshop_recon_00080,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Product: Sennheiser HD 4.50 Wireless Headphones
Ingredients/Attributes: Noise-cancelling, Bluetooth connectivity, comfortable ear cups, durable build, good sound quality
Price: $25",541,406,0,0.015459023416042328,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 541, 'prime_tokens_output': 406}"
webshop_recon_00081,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Nike Air Zoom Pegasus 38. Established brand, no twist-off lids or child-proof caps, and suitable for daily use. Price: $129.99.",516,417,0,0.049541937187314034,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 516, 'prime_tokens_output': 417}"
webshop_recon_00082,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,,559,349,0,0.045625027269124985,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 349}"
webshop_recon_00083,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Vitamin World Omega-3 Softgels. These supplements are sold in a single bottle and do not require a twist-off lid or a pinch grip, making them easy for the user to handle. The price is $19.99.",517,308,0,0.038458965718746185,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 517, 'prime_tokens_output': 308}"
webshop_recon_00084,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Centrum Vitamin Supplement - Multivitamin for Men, Price: $25, Ingredients/Attributes: Calcium, Vitamin D, Iron, Zinc, Magnesium, Vitamin B6, Vitamin B12, Folic Acid, and other essential vitamins and minerals.",541,401,0,0.07541594095528126,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 541, 'prime_tokens_output': 401}"
webshop_recon_00085,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Final pick - Earl Grey Tea Blend by Twinings: Ingredients - water, black tea, lemon verbena, and natural flavors; Price - $5.99 per unit.",558,416,0,0.02108304761350155,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 416}"
webshop_recon_00086,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,,533,317,0,0.059999991208314896,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 533, 'prime_tokens_output': 317}"
webshop_recon_00087,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final Pick: Herbal Delight by Botanic Choice. Ingredients: chamomile, peppermint, rooibos. Price: $5.99 per unit.",558,339,0,0.02158316783607006,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 339}"
webshop_recon_00088,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Head & Shoulders Single Unit Shampoo - Ingredients: Sulfates, Antifungal agents; Attributes: Dandruff relief, SLS-free; Price: $5.99",515,330,0,0.01237494871020317,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 515, 'prime_tokens_output': 330}"
webshop_recon_00089,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Nature Made Vitamin D3, a single unit vitamin supplement, is chosen. It contains no nuts and is from an established brand. The price is $15.99.",535,250,0,0.032999785616993904,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 535, 'prime_tokens_output': 250}"
webshop_recon_00090,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Tazo Organic Chai Tea Blend
Ingredients: Black tea, cinnamon, star anise, cardamom, ginger, cloves, natural flavors
Price: $6.99 per box of 12 teabags",558,358,0,0.03379187546670437,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 358}"
webshop_recon_00091,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"MAC Retro Matte Lipstick in Ruby Red, established brand, nut-free, single unit, price: $8.99.",533,276,0,0.035041943192481995,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 533, 'prime_tokens_output': 276}"
webshop_recon_00092,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: MAC Lipstick in Ruby Red, with ingredients including water, butyrospermum parkii (shea) butter, fragrance, cetyl alcohol, and cera alba (beeswax). Price: $12.50 per unit.",515,360,0,0.04312489181756973,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 515, 'prime_tokens_output': 360}"
webshop_recon_00093,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Maybelline New York Color Sensational Lipstick in 'Faded Rose'. It comes in a tube without a twist-off lid or pinch grip, is from an established brand, and is sold in a single unit. Ingredients/attributes include long-wear formula, paraben-free, and cruelty-free. Price: $6.99 per unit.",515,350,0,0.029792077839374542,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 515, 'prime_tokens_output': 350}"
webshop_recon_00094,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Clif Bar Classic Chocolate Chip Snack Bar - Vegan, no added sugar, gluten-free option available. Price: $2.99 per unit.",559,386,0,0.023958971723914146,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 386}"
webshop_recon_00095,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Etymotic Research HFI 400 Wireless Headphones - Vegan version, packaged in single units, priced at $249.99.",559,340,0,0.010708114132285118,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 340}"
webshop_recon_00096,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Product Name: Nike Air Zoom Pegasus 38
Ingredients/Attributes: Breathable mesh upper, cushioned midsole, durable rubber outsole
Price: $25",540,263,0,0.01879199407994747,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 540, 'prime_tokens_output': 263}"
webshop_recon_00097,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"SoundSlate Vegan Wireless Earbuds, made with vegan-friendly materials, priced at $59.99.",559,320,0,0.05787517875432968,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 320}"
webshop_recon_00098,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Lipsome Classic Lipstick, made with natural oils and moisturizers, is a quality option at $15.",574,193,0,0.020707957446575165,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 574, 'prime_tokens_output': 193}"
webshop_recon_00099,webshop_recon,direct,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Brand X Noise Cancelling Wireless Headphones priced at $149.99. These headphones come in a standard box lid that does not require a tight twist-off or fine pinch grip to open, and they are an established brand.",517,379,0,0.07004104554653168,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 517, 'prime_tokens_output': 379}"
webshop_recon_00080,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,False,,,,"Final pick: JBL Flip 5 - Wireless headphones with 5-hour battery life, IPX7 sweat and water resistance, and a portable design - Price: $29.99",1082,799,0,10409.877334022895,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 541, 'prime_tokens_output': 406}"
webshop_recon_00081,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Nike Air Max 270, known for its comfortable design and wide fit, priced at $150. This product does not require a twist-off lid, child-proof cap, or fine pinch grip, making it suitable for the user. Established brand preference is respected as well.",1032,730,0,8918.630791828036,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 516, 'prime_tokens_output': 417}"
webshop_recon_00082,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Final pick: Nature Made Vegan Multi-Vitamin, with no gelatin, beeswax, lanolin, or whey in its ingredients, priced at $16.99 per unit.",1118,721,0,11314.02716692537,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 559, 'prime_tokens_output': 349}"
webshop_recon_00083,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Product Name: Vitamin D3 from Nature's Bounty
Ingredients/Attributes: Easy to open with a simple cap pull, single unit packaging.
Price: $14.99 per bottle",1034,772,0,12997.709624934942,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 517, 'prime_tokens_output': 308}"
webshop_recon_00084,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,True,True,0.0,True,,,,"Final Pick: NatureVite Daily Multivitamin - essential vitamins and minerals, suitable for daily use, priced at $20.",1117,680,0,17946.856500115246,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 541, 'prime_tokens_output': 401}"
webshop_recon_00085,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,False,,,,"Pure Leaf Organic Vegan Black Tea Blend, organic black tea leaves, $3.99 per unit.",1116,759,0,9920.382000040263,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 416}"
webshop_recon_00086,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Chanel Rouge Allure Velvet Lipstick, shade 409, is a single unit product from an established brand, free of nut-based ingredients, and priced at $30.",1066,636,0,8873.18304204382,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 533, 'prime_tokens_output': 317}"
webshop_recon_00087,webshop_recon,full_regen,qwen/qwen-2.5-7b-instruct,0,False,False,1.0,True,,,,"Twinings Equal Tea Blend. Ingredients: Organic black tea, sugar, lemon, natural flavors, and citric acid. Price: $3.99 per unit.",1116,653,0,9116.889541968703,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 558, 'prime_tokens_output': 339}"
