task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
pfqa_recon_00080,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Na,594,233,0,0.02887495793402195,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}"
pfqa_recon_00081,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Chicken stir-fry,562,329,0,0.07233303040266037,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}"
pfqa_recon_00082,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Jane Austen,612,265,0,0.06979098543524742,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}"
pfqa_recon_00083,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Moderate jog,561,248,0,0.023957807570695877,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 561, 'prime_tokens_output': 248}"
pfqa_recon_00084,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,594,253,0,0.021459069103002548,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 253}"
pfqa_recon_00085,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Arabic,622,203,0,0.036082929000258446,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 622, 'prime_tokens_output': 203}"
pfqa_recon_00086,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,The longest river in the world is the Nile.,642,286,0,0.013375189155340195,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 642, 'prime_tokens_output': 286}"
pfqa_recon_00087,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,London,613,241,0,0.014499993994832039,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 613, 'prime_tokens_output': 241}"
pfqa_recon_00088,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,False,False,1.0,True,,,,Paris,575,225,0,0.03929203376173973,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 575, 'prime_tokens_output': 225}"
pfqa_recon_00089,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,643,238,0,0.0153339933604002,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 643, 'prime_tokens_output': 238}"
pfqa_recon_00090,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1969,606,222,0,0.027250032871961594,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 606, 'prime_tokens_output': 222}"
pfqa_recon_00091,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,high-intensity intervals,633,252,0,0.01837499439716339,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 633, 'prime_tokens_output': 252}"
pfqa_recon_00092,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,1945,577,249,0,0.01691584475338459,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 577, 'prime_tokens_output': 249}"
pfqa_recon_00093,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,New York,586,245,0,0.007542083039879799,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 586, 'prime_tokens_output': 245}"
pfqa_recon_00094,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Paris,602,208,0,0.020458130165934563,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 602, 'prime_tokens_output': 208}"
pfqa_recon_00095,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,vegetable risotto,621,313,0,0.007667113095521927,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 313}"
pfqa_recon_00096,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Au,596,253,0,0.03474997356534004,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 596, 'prime_tokens_output': 253}"
pfqa_recon_00097,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Vegetable risotto,621,299,0,0.0076659489423036575,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 621, 'prime_tokens_output': 299}"
pfqa_recon_00098,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Tokyo,595,250,0,0.013040844351053238,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 595, 'prime_tokens_output': 250}"
pfqa_recon_00099,pfqa_recon,direct,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,In Mandarin,593,224,0,0.0946668442338705,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 593, 'prime_tokens_output': 224}"
pfqa_recon_00080,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Na,1188,448,0,5812.325584003702,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 594, 'prime_tokens_output': 233}"
pfqa_recon_00081,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Chicken stir-fry,1124,720,0,17507.618915988132,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 562, 'prime_tokens_output': 329}"
pfqa_recon_00082,pfqa_recon,full_regen,meta-llama/Llama-3.3-70B-Instruct-Turbo,0,True,True,0.0,False,,,,Jane Austen,1224,504,0,15730.349333025515,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 612, 'prime_tokens_output': 265}"
