model,method,axis,stratum,n,success_rate
Llama 3.3 70B,direct,condition,factual_irrelevant,30,0.9333333333333333
Llama 3.3 70B,direct,dietary,pescatarian,12,0.9166666666666666
Llama 3.3 70B,direct,condition,profile_required,30,1.0
Llama 3.3 70B,direct,dietary,omnivore,18,0.9444444444444444
Llama 3.3 70B,direct,dietary,vegetarian,21,1.0
Llama 3.3 70B,direct,dietary,vegan,9,1.0
Llama 3.3 70B,full_regen,condition,factual_irrelevant,30,0.9333333333333333
Llama 3.3 70B,full_regen,dietary,pescatarian,12,0.9166666666666666
Llama 3.3 70B,full_regen,condition,profile_required,30,0.9666666666666667
Llama 3.3 70B,full_regen,dietary,omnivore,18,0.9444444444444444
Llama 3.3 70B,full_regen,dietary,vegetarian,21,1.0
Llama 3.3 70B,full_regen,dietary,vegan,9,0.8888888888888888
Llama 3.3 70B,intro_specter_llm,condition,factual_irrelevant,30,0.9666666666666667
Llama 3.3 70B,intro_specter_llm,dietary,pescatarian,12,1.0
Llama 3.3 70B,intro_specter_llm,condition,profile_required,30,1.0
Llama 3.3 70B,intro_specter_llm,dietary,omnivore,18,0.9444444444444444
Llama 3.3 70B,intro_specter_llm,dietary,vegetarian,21,1.0
Llama 3.3 70B,intro_specter_llm,dietary,vegan,9,1.0
Llama 3.3 70B,reflexion,condition,factual_irrelevant,30,0.9666666666666667
Llama 3.3 70B,reflexion,dietary,pescatarian,12,1.0
Llama 3.3 70B,reflexion,condition,profile_required,30,1.0
Llama 3.3 70B,reflexion,dietary,omnivore,18,0.9444444444444444
Llama 3.3 70B,reflexion,dietary,vegetarian,21,1.0
Llama 3.3 70B,reflexion,dietary,vegan,9,1.0
Llama 3.3 70B,self_refine,condition,factual_irrelevant,30,0.43333333333333335
Llama 3.3 70B,self_refine,dietary,pescatarian,12,0.5
Llama 3.3 70B,self_refine,condition,profile_required,30,0.4
Llama 3.3 70B,self_refine,dietary,omnivore,18,0.2222222222222222
Llama 3.3 70B,self_refine,dietary,vegetarian,21,0.5714285714285714
Llama 3.3 70B,self_refine,dietary,vegan,9,0.3333333333333333
Llama 3.1 8B,direct,condition,factual_irrelevant,30,0.9
Llama 3.1 8B,direct,dietary,pescatarian,12,1.0
Llama 3.1 8B,direct,condition,profile_required,30,0.8
Llama 3.1 8B,direct,dietary,omnivore,18,0.8333333333333334
Llama 3.1 8B,direct,dietary,vegetarian,21,0.8095238095238095
Llama 3.1 8B,direct,dietary,vegan,9,0.7777777777777778
Llama 3.1 8B,full_regen,condition,factual_irrelevant,30,0.9666666666666667
Llama 3.1 8B,full_regen,dietary,pescatarian,12,1.0
Llama 3.1 8B,full_regen,condition,profile_required,30,0.7
Llama 3.1 8B,full_regen,dietary,omnivore,18,0.7222222222222222
Llama 3.1 8B,full_regen,dietary,vegetarian,21,0.8571428571428571
Llama 3.1 8B,full_regen,dietary,vegan,9,0.7777777777777778
Llama 3.1 8B,intro_specter_llm,condition,factual_irrelevant,30,0.9666666666666667
Llama 3.1 8B,intro_specter_llm,dietary,pescatarian,12,1.0
Llama 3.1 8B,intro_specter_llm,condition,profile_required,30,0.8333333333333334
Llama 3.1 8B,intro_specter_llm,dietary,omnivore,18,0.8333333333333334
Llama 3.1 8B,intro_specter_llm,dietary,vegetarian,21,0.8571428571428571
Llama 3.1 8B,intro_specter_llm,dietary,vegan,9,1.0
Llama 3.1 8B,reflexion,condition,factual_irrelevant,30,0.9666666666666667
Llama 3.1 8B,reflexion,dietary,pescatarian,12,1.0
Llama 3.1 8B,reflexion,condition,profile_required,30,0.8666666666666667
Llama 3.1 8B,reflexion,dietary,omnivore,18,0.8888888888888888
Llama 3.1 8B,reflexion,dietary,vegetarian,21,0.9047619047619048
Llama 3.1 8B,reflexion,dietary,vegan,9,0.8888888888888888
Llama 3.1 8B,self_refine,condition,factual_irrelevant,30,0.36666666666666664
Llama 3.1 8B,self_refine,dietary,pescatarian,12,0.5
Llama 3.1 8B,self_refine,condition,profile_required,30,0.26666666666666666
Llama 3.1 8B,self_refine,dietary,omnivore,18,0.2777777777777778
Llama 3.1 8B,self_refine,dietary,vegetarian,21,0.19047619047619047
Llama 3.1 8B,self_refine,dietary,vegan,9,0.4444444444444444
DeepSeek V3,direct,condition,factual_irrelevant,30,0.9333333333333333
DeepSeek V3,direct,dietary,pescatarian,12,1.0
DeepSeek V3,direct,condition,profile_required,30,0.5666666666666667
DeepSeek V3,direct,dietary,omnivore,18,0.5
DeepSeek V3,direct,dietary,vegetarian,21,0.9047619047619048
DeepSeek V3,direct,dietary,vegan,9,0.5555555555555556
DeepSeek V3,full_regen,condition,factual_irrelevant,30,0.8666666666666667
DeepSeek V3,full_regen,dietary,pescatarian,12,1.0
DeepSeek V3,full_regen,condition,profile_required,30,0.6
DeepSeek V3,full_regen,dietary,omnivore,18,0.5
DeepSeek V3,full_regen,dietary,vegetarian,21,0.8095238095238095
DeepSeek V3,full_regen,dietary,vegan,9,0.6666666666666666
