task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"The Major League Baseball All-Star Game was played on July 12, 2016.",2065,755,0,0.02074986696243286,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2065, 'prime_tokens_output': 755}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"Based on the provided paragraphs, the Lexus RX 350's facelift was unveiled in March 2012, with sales beginning worldwide in April 2012, but the text does not contain information about the company that made the Daihatsu Charmant to establish a connection to Lexus.",1742,1062,0,0.030625145882368088,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1742, 'prime_tokens_output': 1062}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,Nanjing had been the capital city of Yangzhou for about 400 years.,1787,743,0,0.015958910807967186,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1787, 'prime_tokens_output': 743}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,The place of death of the author of Quadragesimo Anno became its own country on 11 February 1929.,1977,1239,0,0.019582919776439667,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1977, 'prime_tokens_output': 1239}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"I am sorry, but the provided paragraphs do not contain the necessary information to answer when the political party Alaska generally supports took control of the determiner of rules of the US House and US Senate.",1645,405,0,0.03395811654627323,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1645, 'prime_tokens_output': 405}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,"The film ""The Beach"" was filmed in Ko Phi Phi Leh.",1772,1144,0,0.015666941180825233,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1772, 'prime_tokens_output': 1144}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,Conscription was introduced in Australia in 1964 during the Vietnam War.,1745,780,0,0.01708301715552807,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1745, 'prime_tokens_output': 780}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"I cannot answer the question as the provided paragraphs do not contain any information about ""Vladimir Rapoport"" or his country. Therefore, I cannot determine which world leader said his country was imperialist, nor where that leader announced intervention in the Korean conflict.",1840,510,0,0.023416941985487938,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1840, 'prime_tokens_output': 510}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,The PBS station of the city in the same county as Helvetia is KUAT-TV 6.,2043,725,0,0.013249926269054413,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2043, 'prime_tokens_output': 725}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"I am uncertain why Roncali left the city where the creator of Vanity died, as the provided text does not identify the creator of Vanity or their death location.",1880,559,0,0.026708003133535385,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1880, 'prime_tokens_output': 559}"
real_musique_00010_3hop1__24980_42197_18397,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,The provided text does not state where Mao Zedong declared intervention in the Korean conflict.,1856,534,0,0.02520880661904812,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1856, 'prime_tokens_output': 534}"
real_musique_00011_3hop2__88342_93066_47738,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,The team that won the AL East in 2017 last played in the event after which the MLB MVP is awarded in the 2013 season.,1965,783,0,0.03491598181426525,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1965, 'prime_tokens_output': 783}"
real_musique_00012_3hop1__567955_503371_21711,musique_real,direct,google/gemini-2.5-flash,42,False,False,1.0,True,,,,"The provided paragraphs do not contain information about when the Palau de la Generalitat was constructed, the city where Martin died, or the region where Layana is located, making it impossible to answer the question.",1797,485,0,0.027458881959319115,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1797, 'prime_tokens_output': 485}"
real_musique_00013_3hop1__662618_339990_54675,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,The Tualatin Mountains are visible from Portland.,1725,1384,0,0.018916092813014984,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1725, 'prime_tokens_output': 1384}"
real_musique_00014_3hop1__145212_443779_52195,musique_real,direct,google/gemini-2.5-flash,42,True,True,0.0,False,,,,Francisco Guterres is the president of the other country that participated.,1944,635,0,0.01333397813141346,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1944, 'prime_tokens_output': 635}"
