,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,a1,True,4867,810,0.0
real_lme_00001_603deb26,42,,True,4970,559,0.0
real_lme_00002_51c32626,42,a0,False,4307,517,1.0
real_lme_00003_8550ddae,42,,True,4359,578,0.0
real_lme_00004_gpt4_2655b836,42,a1,False,4388,555,1.0
real_lme_00005_2698e78f_abs,42,,True,4178,641,0.0
real_lme_00006_gpt4_1d80365e,42,a0,False,4447,604,1.0
real_lme_00007_5025383b,42,,True,4022,613,0.0
real_lme_00008_gpt4_cd90e484,42,a0,True,4325,799,0.0
real_lme_00009_c19f7a0b,42,,True,4675,810,0.0
real_lme_00010_0a34ad58,42,a1,False,4792,544,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4564,536,0.0
real_lme_00012_d6233ab6,42,a1,False,4164,526,1.0
real_lme_00013_7024f17c,42,,True,4193,612,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a2,True,4023,610,0.0
real_lme_00015_6456829e,42,,True,4451,593,0.0
real_lme_00016_f8c5f88b,42,,True,4510,604,0.0
real_lme_00017_ba358f49_abs,42,,True,4588,614,0.0
real_lme_00018_gpt4_d31cdae3,42,,True,5109,1011,0.0
real_lme_00019_gpt4_e414231f,42,a1,False,4583,506,1.0
real_lme_00020_2698e78f,42,a2,False,4093,589,1.0
real_lme_00021_e56a43b9,42,,True,4887,773,0.0
real_lme_00022_6cb6f249,42,a1,False,4608,896,1.0
real_lme_00023_e48988bc,42,,True,3553,512,0.0
real_lme_00024_gpt4_4ef30696,42,a1,False,4960,924,1.0
real_lme_00025_gpt4_4929293b,42,a1,False,4183,449,1.0
real_lme_00026_e6041065,42,,True,4321,715,0.0
real_lme_00027_21d02d0d,42,a2,False,4733,689,1.0
real_lme_00028_1f2b8d4f,42,,True,4460,710,0.0
real_lme_00029_a11281a2,42,,True,4419,753,0.0
real_lme_00030_1de5cff2,42,,True,3850,639,0.0
real_lme_00031_8ebdbe50,42,,True,3848,591,0.0
real_lme_00032_22d2cb42,42,a2,False,4219,550,1.0
real_lme_00033_gpt4_385a5000,42,a2,False,4632,646,1.0
real_lme_00034_95bcc1c8,42,,True,4242,693,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4246,468,0.0
real_lme_00036_gpt4_468eb063,42,a0,False,4160,633,1.0
real_lme_00037_faba32e5,42,,True,4322,639,0.0
real_lme_00038_b86304ba,42,a2,False,4223,644,1.0
real_lme_00039_gpt4_d6585ce8,42,a2,False,4403,599,1.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4234,646,0.0
real_lme_00041_5809eb10,42,,True,4210,706,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4531,603,0.0
real_lme_00043_c2ac3c61,42,,True,4509,788,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4720,980,0.0
real_lme_00045_06db6396,42,a1,False,4298,668,1.0
real_lme_00046_dc439ea3,42,,True,4542,607,0.0
real_lme_00047_f685340e,42,a1,False,4369,799,1.0
real_lme_00048_dccbc061,42,,True,3785,461,0.0
real_lme_00049_0862e8bf_abs,42,a1,False,4615,560,1.0
real_lme_00050_0862e8bf,42,a1,False,4314,418,1.0
real_lme_00051_2ebe6c90,42,a0,False,4099,569,1.0
real_lme_00052_1faac195,42,,True,4435,592,0.0
real_lme_00053_21d02d0d,42,a2,False,4751,637,1.0
real_lme_00054_603deb26,42,a2,True,4709,716,0.0
real_lme_00055_7e974930,42,a1,False,4438,452,1.0
real_lme_00056_27016adc,42,,True,4015,810,0.0
real_lme_00057_dd2973ad,42,,True,4553,476,0.0
real_lme_00058_b320f3f8,42,,True,3991,588,0.0
real_lme_00059_2ebe6c90,42,a4,False,4825,1079,1.0
