task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"In the past month, you spent the most money at Thrive Market.",2149,247,0,0.017416001355741173,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2149, 'prime_tokens_output': 247}"
real_lme_00001_603deb26,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,"Since your friend Emma showed you how to make a Negroni at home, you have tried making it 10 times.",2186,209,0,0.021500003640539944,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2186, 'prime_tokens_output': 209}"
real_lme_00002_51c32626,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You submitted your research paper on sentiment analysis on February 1st.,1868,124,0,0.008292001439258456,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1868, 'prime_tokens_output': 124}"
real_lme_00003_8550ddae,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You tried a lavender gin fizz recipe last weekend.,1918,70,0,0.018541999452281743,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1918, 'prime_tokens_output': 70}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,The first issue was with the GPS system not working properly after the first service.,1955,133,0,0.03470799856586382,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1955, 'prime_tokens_output': 133}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,The frequency of your meetings with Dr. Johnson is not specified.,1873,145,0,0.03491700044833124,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1873, 'prime_tokens_output': 145}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,You spent 2 days on your solo camping trip to Yosemite National Park.,2003,200,0,0.03095899592153728,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2003, 'prime_tokens_output': 200}"
real_lme_00007_5025383b,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,Photography and cooking are the two hobbies that led you to join online communities.,1725,173,0,0.0228749995585531,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1725, 'prime_tokens_output': 173}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You used your new binoculars for two weeks before you saw the American goldfinches returning to the area.,1864,97,0,0.017124999430961907,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1864, 'prime_tokens_output': 97}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,,,,You usually get home from work at 6:30 pm on weeknights.,1976,181,0,0.018792001355905086,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1976, 'prime_tokens_output': 181}"
real_lme_00010_0a34ad58,longmemeval_real,direct,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,,,,Plan your routes using the TripIt app for gluten-free and nut-free options.,2135,130,0,0.02091599890263751,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2135, 'prime_tokens_output': 130}"
