task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,"Based on our chat history, you spent the most at Trader Joe's with an $80 purchase for two people in the past month.",2142,437,0,0.03245800326112658,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2142, 'prime_tokens_output': 437}"
real_lme_00001_603deb26,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,The number of times you've tried making a Negroni at home is not specified in our previous conversations.,2183,274,0,0.029958006052765995,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2183, 'prime_tokens_output': 274}"
real_lme_00002_51c32626,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,You submitted your sentiment analysis paper to EACL.,1843,233,0,0.013709002814721316,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1843, 'prime_tokens_output': 233}"
real_lme_00003_8550ddae,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,True,True,0.0,False,,,,"Based on the chat history from May 24, 2023, you tried a lavender gin fizz recipe last weekend.",1895,288,0,0.0041249950299970806,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1895, 'prime_tokens_output': 288}"
real_lme_00004_gpt4_2655b836,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,No issues were reported after the first service on March 15th.,1940,199,0,0.027999994927085936,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1940, 'prime_tokens_output': 199}"
real_lme_00005_2698e78f_abs,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,"You see Dr. Smith every two weeks, but Dr. Johnson was not mentioned.",1844,240,0,0.009249997674487531,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1844, 'prime_tokens_output': 240}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,You spent 2 days on your solo camping trip to Yosemite National Park.,2012,371,0,0.055374999647028744,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2012, 'prime_tokens_output': 371}"
real_lme_00007_5025383b,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,Cooking and photography.,1713,302,0,0.013542005035560578,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1713, 'prime_tokens_output': 302}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,"You used your new binoculars for the first time when you saw the American goldfinches returning to the area, so the duration was immediate.",1841,354,0,0.026832996809389442,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1841, 'prime_tokens_output': 354}"
real_lme_00009_c19f7a0b,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,You usually get home from work at 5:30 PM on weeknights.,1947,263,0,0.031166004191618413,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1947, 'prime_tokens_output': 263}"
real_lme_00010_0a34ad58,longmemeval_real,direct,deepseek-ai/DeepSeek-V3,42,False,False,1.0,True,,,,Leverage your Suica card for seamless fare payment on all Tokyo transit systems and use TripIt to sync and manage your itinerary for real-time navigation alerts.,2117,274,0,0.01454199809813872,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 2117, 'prime_tokens_output': 274}"
