task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_hotpotqa_00080_5a716a9b5542994082a3e821,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Kevin Pollak,3770,517,0,4278.136124834418,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1599, 'prime_tokens_output': 392}"
real_hotpotqa_00081_5add56ad5542992200553abf,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Beau Rivage,3499,576,0,3459.265833022073,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1409, 'prime_tokens_output': 476}"
real_hotpotqa_00082_5ae7da705542993210983f96,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Renaissance Technologies,3365,431,0,2798.581374809146,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1421, 'prime_tokens_output': 345}"
real_hotpotqa_00083_5a84be095542992a431d1a97,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Diamond v. Chakrabarty came first,3436,437,0,3255.152041092515,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1484, 'prime_tokens_output': 305}"
real_hotpotqa_00084_5abbf9b355429931dba145fe,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Timmy Sanders,3361,362,0,2511.6143338382244,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1486, 'prime_tokens_output': 265}"
real_hotpotqa_00085_5a80993d5542996402f6a589,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,The answer cannot be determined from the given context.,3372,325,0,2628.586250124499,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1501, 'prime_tokens_output': 234}"
real_hotpotqa_00086_5a73471a5542991f9a20c6d7,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,"Duane ""Dewy"" Clarridge",3643,577,0,2606.287875212729,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1486, 'prime_tokens_output': 483}"
real_hotpotqa_00087_5a90c8165542995651fb51ee,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,True,True,0.0,False,,,,Easter Rising of 1916,3587,482,0,2397.865999955684,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1520, 'prime_tokens_output': 392}"
real_hotpotqa_00088_5ac458f8554299204fd21f2a,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,"La madre de Yeshashework Yilma era sobrina de la emperatriz Taitu, consorte del emperador Menelik II, pero no se especifica relación directa con Haile Selassie.",4288,1163,0,4151.779042091221,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1465, 'prime_tokens_output': 1065}"
real_hotpotqa_00089_5ab3eeb5554299233954fff4,hotpotqa_real,detection_only,deepseek-ai/DeepSeek-V3,0,False,False,1.0,True,,,,Insufficient context to answer the question.,3712,365,0,2338.2211250718683,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 1648, 'prime_tokens_output': 286}"
