task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_2wiki_00000_18b63dd208a911ebbd7fac1f6bf848b6,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The Story Of A Maid,1634,524,0,0.025624998670537025,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1634, 'prime_tokens_output': 524}"
real_2wiki_00001_c3b8a8a4086b11ebbd60ac1f6bf848b6,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Jovita Carranza was born first.,1517,445,0,0.023125001462176442,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1517, 'prime_tokens_output': 445}"
real_2wiki_00002_a9f16baa0bdd11eba7f7acde48001122,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,pneumonia,1668,560,0,0.03920799645129591,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1668, 'prime_tokens_output': 560}"
real_2wiki_00003_578ac41e0bde11eba7f7acde48001122,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,William Le Poer Trench's father died on 26 April 1872.,1676,348,0,0.007374997949227691,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1676, 'prime_tokens_output': 348}"
real_2wiki_00004_86806877099411ebbdb0ac1f6bf848b6,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,yes,1616,315,0,0.011042000551242381,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1616, 'prime_tokens_output': 315}"
real_2wiki_00005_072f19a00bdb11eba7f7acde48001122,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Detroit,1577,539,0,0.0118750031106174,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1577, 'prime_tokens_output': 539}"
real_2wiki_00006_990341840bdc11eba7f7acde48001122,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The director of the film Gambling Wives is Canadian.,1348,465,0,0.0480840026284568,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1348, 'prime_tokens_output': 465}"
real_2wiki_00007_7eeb32f4089211ebbd73ac1f6bf848b6,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Oliver Palotai was born later than Sherlock Bristol.,1684,551,0,0.00837500556372106,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1684, 'prime_tokens_output': 551}"
real_2wiki_00008_b729a3c80bdd11eba7f7acde48001122,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"Ardmore, County Waterford",1254,348,0,0.017082995327655226,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1254, 'prime_tokens_output': 348}"
real_2wiki_00009_a83d0a42087e11ebbd6bac1f6bf848b6,twowiki_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The Mystic,1751,468,0,0.009000003046821803,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1751, 'prime_tokens_output': 468}"
