,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4780,845,0.0
real_lme_00001_603deb26,42,,True,4891,774,0.0
real_lme_00002_51c32626,42,,True,3880,482,0.0
real_lme_00003_8550ddae,42,,True,4547,1217,0.0
real_lme_00004_gpt4_2655b836,42,,True,4304,683,0.0
real_lme_00005_2698e78f_abs,42,a4,False,4312,867,1.0
real_lme_00006_gpt4_1d80365e,42,a3,False,4456,768,1.0
real_lme_00007_5025383b,42,,True,3644,858,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3964,365,0.0
real_lme_00009_c19f7a0b,42,,True,4464,881,0.0
real_lme_00010_0a34ad58,42,a4,False,4468,669,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4291,393,0.0
real_lme_00012_d6233ab6,42,a2,False,4042,602,1.0
real_lme_00013_7024f17c,42,a2,True,4032,521,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a0,False,3745,305,1.0
real_lme_00015_6456829e,42,,True,4096,288,0.0
real_lme_00016_f8c5f88b,42,,True,4386,722,0.0
real_lme_00017_ba358f49_abs,42,a0,False,4316,234,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,4550,403,0.0
real_lme_00019_gpt4_e414231f,42,a4,True,4602,928,0.0
real_lme_00020_2698e78f,42,,True,3778,291,0.0
real_lme_00021_e56a43b9,42,,True,4655,379,0.0
real_lme_00022_6cb6f249,42,a5,True,4288,1135,0.0
real_lme_00023_e48988bc,42,,True,3502,712,0.0
real_lme_00024_gpt4_4ef30696,42,a4,True,4660,1052,0.0
real_lme_00025_gpt4_4929293b,42,,True,3898,287,0.0
real_lme_00026_e6041065,42,,True,4172,906,0.0
real_lme_00027_21d02d0d,42,,True,4387,713,0.0
real_lme_00028_1f2b8d4f,42,a4,False,4395,803,1.0
real_lme_00029_a11281a2,42,,True,4413,919,0.0
real_lme_00030_1de5cff2,42,,True,3794,857,0.0
real_lme_00031_8ebdbe50,42,a14,True,4661,2468,0.0
real_lme_00032_22d2cb42,42,,True,3917,387,0.0
real_lme_00033_gpt4_385a5000,42,a2,False,4256,398,1.0
real_lme_00034_95bcc1c8,42,,True,3887,281,0.0
real_lme_00035_gpt4_2312f94c,42,a3,True,4200,683,0.0
real_lme_00036_gpt4_468eb063,42,a3,False,4148,669,1.0
real_lme_00037_faba32e5,42,,True,4196,482,0.0
real_lme_00038_b86304ba,42,a3,True,3983,518,0.0
real_lme_00039_gpt4_d6585ce8,42,,True,4583,1049,0.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4431,1212,0.0
real_lme_00041_5809eb10,42,,True,3850,273,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4382,851,0.0
real_lme_00043_c2ac3c61,42,,True,4190,474,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4096,290,0.0
real_lme_00045_06db6396,42,,True,4094,608,0.0
real_lme_00046_dc439ea3,42,,True,4204,327,0.0
real_lme_00047_f685340e,42,a2,False,3974,439,1.0
real_lme_00048_dccbc061,42,,True,3607,284,0.0
real_lme_00049_0862e8bf_abs,42,a0,False,4332,197,1.0
real_lme_00050_0862e8bf,42,,True,4175,589,0.0
real_lme_00051_2ebe6c90,42,a3,False,4125,678,1.0
real_lme_00052_1faac195,42,,True,4108,194,0.0
real_lme_00053_21d02d0d,42,,True,4812,950,0.0
real_lme_00054_603deb26,42,a0,True,4333,355,0.0
real_lme_00055_7e974930,42,,True,5312,1956,0.0
real_lme_00056_27016adc,42,a3,True,4062,897,0.0
real_lme_00057_dd2973ad,42,,True,4228,317,0.0
real_lme_00058_b320f3f8,42,,True,3646,226,0.0
real_lme_00059_2ebe6c90,42,a6,False,4605,1326,1.0
