,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,,True,4460,481,0.0
real_lme_00001_603deb26,42,,True,4832,683,0.0
real_lme_00002_51c32626,42,,True,3880,385,0.0
real_lme_00003_8550ddae,42,,True,4547,807,0.0
real_lme_00004_gpt4_2655b836,42,,True,4344,712,0.0
real_lme_00005_2698e78f_abs,42,a1,False,4128,665,1.0
real_lme_00006_gpt4_1d80365e,42,a4,False,4583,1014,1.0
real_lme_00007_5025383b,42,,True,3686,649,0.0
real_lme_00008_gpt4_cd90e484,42,,True,3894,414,0.0
real_lme_00009_c19f7a0b,42,,True,4319,531,0.0
real_lme_00010_0a34ad58,42,a2,False,4492,469,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4277,457,0.0
real_lme_00012_d6233ab6,42,a0,False,4042,602,1.0
real_lme_00013_7024f17c,42,,True,4110,776,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a0,False,3768,436,1.0
real_lme_00015_6456829e,42,a0,True,4118,306,0.0
real_lme_00016_f8c5f88b,42,,True,4140,220,0.0
real_lme_00017_ba358f49_abs,42,a6,True,4281,885,0.0
real_lme_00018_gpt4_d31cdae3,42,,True,4569,487,0.0
real_lme_00019_gpt4_e414231f,42,,True,4629,859,0.0
real_lme_00020_2698e78f,42,,True,3777,567,0.0
real_lme_00021_e56a43b9,42,a0,False,4585,250,1.0
real_lme_00022_6cb6f249,42,,True,3934,688,0.0
real_lme_00023_e48988bc,42,,True,3502,711,0.0
real_lme_00024_gpt4_4ef30696,42,a2,False,4580,979,1.0
real_lme_00025_gpt4_4929293b,42,,True,3898,287,0.0
real_lme_00026_e6041065,42,,True,4171,907,0.0
real_lme_00027_21d02d0d,42,,True,4413,447,0.0
real_lme_00028_1f2b8d4f,42,a1,False,4362,698,1.0
real_lme_00029_a11281a2,42,a1,True,4412,795,0.0
real_lme_00030_1de5cff2,42,,True,3823,907,0.0
real_lme_00031_8ebdbe50,42,a14,True,4675,2465,0.0
real_lme_00032_22d2cb42,42,,True,3917,390,0.0
real_lme_00033_gpt4_385a5000,42,a1,True,4266,447,0.0
real_lme_00034_95bcc1c8,42,,True,3973,349,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4002,308,0.0
real_lme_00036_gpt4_468eb063,42,a3,True,4144,641,0.0
real_lme_00037_faba32e5,42,,True,4219,736,0.0
real_lme_00038_b86304ba,42,a1,True,3990,423,0.0
real_lme_00039_gpt4_d6585ce8,42,,True,4466,823,0.0
real_lme_00040_gpt4_0b2f1d21,42,,True,4199,817,0.0
real_lme_00041_5809eb10,42,,True,4077,662,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4382,882,0.0
real_lme_00043_c2ac3c61,42,,True,4190,480,0.0
real_lme_00044_gpt4_ec93e27f,42,,True,4096,392,0.0
real_lme_00045_06db6396,42,,True,4063,552,0.0
real_lme_00046_dc439ea3,42,,True,4204,434,0.0
real_lme_00047_f685340e,42,a2,False,4033,464,1.0
real_lme_00048_dccbc061,42,,True,3688,442,0.0
real_lme_00049_0862e8bf_abs,42,a0,True,4332,197,0.0
real_lme_00050_0862e8bf,42,,True,4209,448,0.0
real_lme_00051_2ebe6c90,42,a4,False,4233,1055,1.0
real_lme_00052_1faac195,42,,True,4090,475,0.0
real_lme_00053_21d02d0d,42,a1,True,4730,850,0.0
real_lme_00054_603deb26,42,a0,True,4333,355,0.0
real_lme_00055_7e974930,42,,True,4615,923,0.0
real_lme_00056_27016adc,42,,True,3878,572,0.0
real_lme_00057_dd2973ad,42,,True,4228,316,0.0
real_lme_00058_b320f3f8,42,,True,3646,226,0.0
real_lme_00059_2ebe6c90,42,a4,False,4623,1330,1.0
