task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
pfqa_recon_00080,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,False,False,1.0,True,repair_failed,a3,"[{'node_id': 'a3', 'prior': 0.0125, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",钠,1646,553,0,20457.9625420738,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 588, 'prime_tokens_output': 208}"
pfqa_recon_00081,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,chicken stir-fry,1543,535,0,11.210042051970959,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 557, 'prime_tokens_output': 223}"
pfqa_recon_00082,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,Jane Austen escreveu 'Pride and Prejudice'.,1753,738,0,11.40683307312429,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 609, 'prime_tokens_output': 308}"
pfqa_recon_00083,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,A moderate jog would be suitable for your fitness level.,1566,658,0,12.415792094543576,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 556, 'prime_tokens_output': 248}"
pfqa_recon_00084,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,The chemical symbol for gold is Au.,1519,548,0,33.07375009171665,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 588, 'prime_tokens_output': 137}"
pfqa_recon_00085,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,In Arabic,1508,205,0,10.868708835914731,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 617, 'prime_tokens_output': 110}"
pfqa_recon_00086,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,The longest river in the world is the Nile.,1808,800,0,11.174833867698908,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 642, 'prime_tokens_output': 299}"
pfqa_recon_00087,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,London,1487,191,0,11.322792153805494,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 610, 'prime_tokens_output': 89}"
pfqa_recon_00088,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,False,False,1.0,True,repair_failed,a1,"[{'node_id': 'a1', 'prior': 0.03, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The capital of France is Paris.,1467,315,0,14580.32050007023,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 571, 'prime_tokens_output': 119}"
pfqa_recon_00089,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,Tokyo,1543,183,0,15.564542030915618,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 639, 'prime_tokens_output': 87}"
pfqa_recon_00090,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,1969,1615,560,0,65.42558292858303,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 607, 'prime_tokens_output': 167}"
pfqa_recon_00091,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a2', 'prior': 0.19999999999999996, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",High-Intensity Interval Training (HIIT),1604,455,0,17464.808124816045,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 629, 'prime_tokens_output': 140}"
pfqa_recon_00092,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,1945,1434,322,0,13.167249970138073,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 576, 'prime_tokens_output': 118}"
pfqa_recon_00093,pfqa_recon,intro_specter_flat_dag,mistralai/mistral-nemo,0,True,True,0.0,False,accepted,,,New York,1431,194,0,11.633791960775852,"{'split': 'test', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 581, 'prime_tokens_output': 91}"
