task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
musique_recon_00080,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,巴西的官方语言是葡萄牙语。,678,332,0,0.028624897822737694,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 678, 'prime_tokens_output': 332}"
musique_recon_00081,musique_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,Buenos Aires,630,402,0,0.030208146199584007,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 630, 'prime_tokens_output': 402}"
musique_recon_00082,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,Índia,693,381,0,0.014250166714191437,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 693, 'prime_tokens_output': 381}"
musique_recon_00083,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,Os Lusíadas,616,263,0,0.02033403143286705,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 616, 'prime_tokens_output': 263}"
musique_recon_00084,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,O rio que atravessa Viena é o Danúbio.,677,278,0,0.009750016033649445,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 677, 'prime_tokens_output': 278}"
musique_recon_00085,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,مومباي,674,490,0,0.06445893086493015,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 674, 'prime_tokens_output': 490}"
musique_recon_00086,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,चीन,722,295,0,0.02737506292760372,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 722, 'prime_tokens_output': 295}"
musique_recon_00087,musique_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,One Thousand and One Nights,652,430,0,0.004332978278398514,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 652, 'prime_tokens_output': 430}"
musique_recon_00088,musique_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,El złoty polaco.,667,296,0,0.012584030628204346,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 667, 'prime_tokens_output': 296}"
musique_recon_00089,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,Os Lusíadas,681,251,0,0.023165950551629066,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 681, 'prime_tokens_output': 251}"
musique_recon_00090,musique_recon,direct,google/gemini-2.5-flash,0,False,False,1.0,True,,,,المحيط الهادئ,688,295,0,0.02041715197265148,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 688, 'prime_tokens_output': 295}"
musique_recon_00091,musique_recon,direct,google/gemini-2.5-flash,0,True,True,0.0,False,,,,Godan,679,304,0,0.011333031579852104,"{'split': 'test', 'meta_summary': {}, 'prime_tokens_input': 679, 'prime_tokens_output': 304}"
