,,fault_node_predicted,success,tokens_input,tokens_output,violation_rate
method,,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm,intro_specter_llm
task_id,seed,,,,,
real_lme_00000_gpt4_2ba83207,42,a3,True,4939,830,0.0
real_lme_00001_603deb26,42,,True,5041,763,0.0
real_lme_00002_51c32626,42,a1,True,13072,671,0.0
real_lme_00003_8550ddae,42,,True,4363,582,0.0
real_lme_00004_gpt4_2655b836,42,a1,False,13269,643,1.0
real_lme_00005_2698e78f_abs,42,,True,4252,884,0.0
real_lme_00006_gpt4_1d80365e,42,a3,False,13669,956,1.0
real_lme_00007_5025383b,42,a2,True,12785,942,0.0
real_lme_00008_gpt4_cd90e484,42,a3,True,13434,959,0.0
real_lme_00009_c19f7a0b,42,,True,4504,690,0.0
real_lme_00010_0a34ad58,42,a1,False,14638,712,1.0
real_lme_00011_gpt4_65aabe59,42,,True,4564,536,0.0
real_lme_00012_d6233ab6,42,a1,False,12861,724,1.0
real_lme_00013_7024f17c,42,,True,4190,591,0.0
real_lme_00014_gpt4_c27434e8_abs,42,a2,True,4040,586,0.0
real_lme_00015_6456829e,42,,True,4451,593,0.0
real_lme_00016_f8c5f88b,42,,True,4510,725,0.0
real_lme_00017_ba358f49_abs,42,,True,4587,595,0.0
real_lme_00018_gpt4_d31cdae3,42,a2,True,4843,577,0.0
real_lme_00019_gpt4_e414231f,42,a2,False,13605,683,1.0
real_lme_00020_2698e78f,42,a2,False,12491,693,1.0
real_lme_00021_e56a43b9,42,,True,4896,730,0.0
real_lme_00022_6cb6f249,42,,True,4321,980,0.0
real_lme_00023_e48988bc,42,,True,3545,502,0.0
real_lme_00024_gpt4_4ef30696,42,a2,False,16306,1332,1.0
real_lme_00025_gpt4_4929293b,42,a3,False,13094,888,1.0
real_lme_00026_e6041065,42,,True,4165,650,0.0
real_lme_00027_21d02d0d,42,a3,False,14447,845,1.0
real_lme_00028_1f2b8d4f,42,a3,False,13549,791,1.0
real_lme_00029_a11281a2,42,,True,4419,646,0.0
real_lme_00030_1de5cff2,42,,True,3840,632,0.0
real_lme_00031_8ebdbe50,42,,True,3846,536,0.0
real_lme_00032_22d2cb42,42,,True,4223,586,0.0
real_lme_00033_gpt4_385a5000,42,a2,False,14116,766,1.0
real_lme_00034_95bcc1c8,42,,True,4258,600,0.0
real_lme_00035_gpt4_2312f94c,42,,True,4246,571,0.0
real_lme_00036_gpt4_468eb063,42,a3,True,12600,774,0.0
real_lme_00037_faba32e5,42,,True,4322,633,0.0
real_lme_00038_b86304ba,42,a3,True,8648,735,0.0
real_lme_00039_gpt4_d6585ce8,42,a2,False,14216,869,1.0
real_lme_00040_gpt4_0b2f1d21,42,a2,True,4231,643,0.0
real_lme_00041_5809eb10,42,,True,4225,727,0.0
real_lme_00042_gpt4_5501fe77,42,,True,4606,766,0.0
real_lme_00043_c2ac3c61,42,,True,4512,701,0.0
real_lme_00044_gpt4_ec93e27f,42,a3,True,14037,960,0.0
real_lme_00045_06db6396,42,a2,True,13200,860,0.0
real_lme_00046_dc439ea3,42,,True,4542,715,0.0
real_lme_00047_f685340e,42,a3,False,13216,911,1.0
real_lme_00048_dccbc061,42,,True,3788,466,0.0
real_lme_00049_0862e8bf_abs,42,a1,False,13891,658,1.0
real_lme_00050_0862e8bf,42,a2,False,13321,755,1.0
real_lme_00051_2ebe6c90,42,a4,False,13005,1173,1.0
real_lme_00052_1faac195,42,,True,4495,548,0.0
real_lme_00053_21d02d0d,42,a2,False,14459,872,1.0
real_lme_00054_603deb26,42,a1,True,4742,595,0.0
real_lme_00055_7e974930,42,a1,False,13102,645,1.0
real_lme_00056_27016adc,42,a2,True,12046,731,0.0
real_lme_00057_dd2973ad,42,,True,4574,509,0.0
real_lme_00058_b320f3f8,42,,True,4004,505,0.0
real_lme_00059_2ebe6c90,42,a3,False,15088,1282,1.0
