,,fault_node_predicted,success,success,success,success,success,success,success,success,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_input,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,tokens_output,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate,violation_rate
method,,intro_specter_llm,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot,direct,full_regen,intro_specter_llm,react,reflexion,self_refine,selfcheckgpt,tot
task_id,seed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real_lme_00000_gpt4_2ba83207,42,a4,False,False,True,False,False,False,False,False,2140,4280,4868,4333,12128,4714,14666,97291,325,679,803,921,502,791,596,3830,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
real_lme_00001_603deb26,42,a2,False,True,True,True,False,True,False,False,2177,4354,4863,4407,12095,4709,14941,97189,278,604,595,928,479,827,525,3573,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
real_lme_00002_51c32626,42,a1,False,False,False,True,True,False,False,False,1850,3700,4309,3753,10710,4155,12510,81286,321,593,587,889,443,624,421,2496,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
real_lme_00003_8550ddae,42,,True,True,True,True,True,True,True,True,1913,3826,4352,3879,1913,4198,11110,37959,266,489,569,759,266,816,350,1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00004_gpt4_2655b836,42,a1,False,False,False,False,True,False,False,False,1938,3876,4410,3929,6588,4256,11256,61796,271,378,570,706,329,737,365,1774,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
real_lme_00005_2698e78f_abs,42,,True,True,True,False,True,False,False,False,1855,3710,4187,3763,1855,4033,13201,58931,243,483,609,703,243,636,555,1597,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00006_gpt4_1d80365e,42,a4,False,False,False,False,False,False,False,False,1984,3968,4468,4021,11185,4314,13533,93277,264,522,783,968,478,762,447,4103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00007_5025383b,42,a2,False,False,True,False,True,False,False,False,1714,3428,3982,3481,9898,3828,9916,76691,294,867,630,749,440,840,398,3076,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00008_gpt4_cd90e484,42,,True,False,True,False,True,True,False,False,1856,3712,4319,3765,1856,4165,12819,84109,344,648,922,1073,344,1082,656,3628,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
real_lme_00009_c19f7a0b,42,,True,True,True,False,True,True,False,False,1960,3920,4697,3973,1960,4543,13415,88149,459,860,734,1120,459,791,746,3941,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
real_lme_00010_0a34ad58,42,a1,False,False,False,False,False,False,False,False,2107,4214,4801,4267,12058,4647,12478,68621,354,655,565,931,571,887,634,2479,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00011_gpt4_65aabe59,42,,True,True,True,True,True,True,True,True,2051,4102,4571,4155,2051,4417,11932,66153,234,514,640,693,234,610,308,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00012_d6233ab6,42,a1,False,False,False,False,False,False,False,False,1812,3624,4164,3677,10507,4010,10630,82099,308,669,524,827,524,843,516,3504,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00013_7024f17c,42,,True,False,True,True,True,False,False,False,1822,3644,4397,3697,1822,4243,12370,82026,435,1020,744,850,435,1151,628,4011,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
real_lme_00014_gpt4_c27434e8_abs,42,a2,False,True,True,True,False,False,False,False,1768,3536,4017,3589,9996,3863,10348,35402,245,463,596,844,456,766,443,1425,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
real_lme_00015_6456829e,42,a2,False,True,True,False,False,True,False,False,1955,3910,4396,3963,10901,4242,11454,87348,254,537,555,727,396,676,446,3301,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
real_lme_00016_f8c5f88b,42,,True,True,True,True,True,True,True,True,1975,3950,4484,4003,1975,4330,11532,15605,272,591,709,740,272,870,395,635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00017_ba358f49_abs,42,a2,False,False,True,False,True,False,False,False,2037,4074,4579,4127,11465,4425,11969,40730,272,658,589,841,467,852,495,1579,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
real_lme_00018_gpt4_d31cdae3,42,,True,True,True,True,True,True,True,False,2172,4344,4979,4397,2172,4825,12799,98177,372,708,810,863,372,728,599,3093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
real_lme_00019_gpt4_e414231f,42,a2,False,False,False,False,False,False,False,False,2011,4022,4607,4075,11480,4453,11692,64475,323,534,587,816,480,725,408,2384,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00020_2698e78f,42,a1,False,False,False,False,False,False,False,False,1775,3550,4093,3603,10151,3939,10282,35198,282,510,547,756,422,826,364,1363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
real_lme_00021_e56a43b9,42,,True,True,True,False,True,False,True,True,2183,4366,4896,4419,2183,4742,12588,97201,269,495,730,825,269,870,472,3112,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
real_lme_00022_6cb6f249,42,a4,False,False,False,False,True,True,False,False,1825,3650,4187,3703,6284,4033,10440,83177,276,659,834,727,363,895,564,3645,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
real_lme_00023_e48988bc,42,,True,True,True,True,True,True,True,True,1502,3004,3545,3057,1502,3391,8644,11782,282,624,502,784,282,914,373,559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
real_lme_00024_gpt4_4ef30696,42,a5,False,False,False,False,False,False,False,False,1987,3974,5072,4027,12949,4918,11723,39623,723,1319,1271,1388,912,1673,985,2232,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
