task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_musique_00000_3hop1__617062_127905_80487,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,"The All-Star game is being played on July 11, 2016.",1846,442,0,0.015666009858250618,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1846, 'prime_tokens_output': 442}"
real_musique_00001_3hop1__132968_40769_64047,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The luxury division of the company that made Daihatsu Charmant changed the body style of the RX 350 in 2012.,1693,393,0,0.042958883568644524,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1693, 'prime_tokens_output': 393}"
real_musique_00002_3hop2__36852_326964_7713,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Nanjing was the capital city of Yangzhou for about 400 years from late Han to early Tang.,1666,302,0,0.006542075425386429,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1666, 'prime_tokens_output': 302}"
real_musique_00003_3hop1__813285_774554_64412,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The place of death of the author of Quadragesimo Anno became its own country on 11 February 1929.,1808,517,0,0.0077500008046627045,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1808, 'prime_tokens_output': 517}"
real_musique_00004_3hop2__92991_28727_76291,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The political party Alaska generally supports took control of the determiner of rules of the US House and US Senate in January 2015.,1498,342,0,0.02041715197265148,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1498, 'prime_tokens_output': 342}"
real_musique_00005_3hop1__446612_160545_60577,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The Beach was filmed in Thailand.,1635,389,0,0.03283284604549408,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1635, 'prime_tokens_output': 389}"
real_musique_00006_3hop2__57233_106716_56883,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,1964,1600,497,0,0.016375211998820305,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1600, 'prime_tokens_output': 497}"
real_musique_00007_3hop1__313670_42197_18397,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,the Politburo,1673,515,0,0.014458084478974342,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1673, 'prime_tokens_output': 515}"
real_musique_00008_3hop1__639955_834494_34109,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,KUAT-TV 6,1871,380,0,0.026291003450751305,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1871, 'prime_tokens_output': 380}"
real_musique_00009_3hop1__312146_720914_27537,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Roncalli left the city where the creator of Vanity died for the conclave in Rome.,1721,588,0,0.02970895729959011,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1721, 'prime_tokens_output': 588}"
real_musique_00010_3hop1__24980_42197_18397,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,the Politburo,1711,415,0,0.013249926269054413,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1711, 'prime_tokens_output': 415}"
real_musique_00011_3hop2__88342_93066_47738,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,the 2009 season,1820,753,0,0.01370883546769619,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1820, 'prime_tokens_output': 753}"
real_musique_00012_3hop1__567955_503371_21711,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"The Palau de la Generalitat was constructed in the 15th century in the city of Barcelona, where Martin of the region where Layana is located died.",1681,165,0,0.00437488779425621,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1681, 'prime_tokens_output': 165}"
real_musique_00013_3hop1__662618_339990_54675,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The answer is Tualatin Mountains.,1596,390,0,0.013708136975765228,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1596, 'prime_tokens_output': 390}"
real_musique_00014_3hop1__145212_443779_52195,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Francisco Guterres,1740,314,0,0.010834075510501862,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1740, 'prime_tokens_output': 314}"
real_musique_00015_3hop1__337705_132457_47686,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The Philadelphia Greyhound Terminal.,1493,507,0,0.02729194238781929,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1493, 'prime_tokens_output': 507}"
real_musique_00016_3hop1__545624_2053_52946,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"February 7, 2018",1815,1290,0,0.03458303399384022,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1815, 'prime_tokens_output': 1290}"
real_musique_00017_3hop1__108833_720914_27537,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,for the conclave in Rome,1604,493,0,0.012999866157770157,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1604, 'prime_tokens_output': 493}"
real_musique_00018_3hop1__527372_339990_54675,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"The mountains that can be seen from Portland, Oregon are the Tualatin Mountains.",1626,573,0,0.013208016753196716,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1626, 'prime_tokens_output': 573}"
real_musique_00019_3hop1__365934_87694_64412,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The location of the head of the Catholic religion with a basilica named after the same saint as Mantua Cathedral is Vatican City.,1986,377,0,0.018791062757372856,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1986, 'prime_tokens_output': 377}"
real_musique_00020_3hop2__132957_379231_40768,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"Nissan, the Acura Legend maker, and the Scion xD manufacturer opened US assembly plants in 1981.",1778,541,0,0.026166904717683792,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1778, 'prime_tokens_output': 541}"
real_musique_00021_3hop1__438364_443779_52195,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,Francisco Guterres,1491,523,0,0.013999873772263527,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1491, 'prime_tokens_output': 523}"
real_musique_00022_3hop1__539312_744503_34754,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The U.S. believes that Japan was blackmailed into helping the country where the birthplace of Yaovabha Bongsanid is located.,1690,570,0,0.013874843716621399,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1690, 'prime_tokens_output': 570}"
real_musique_00023_3hop1__133292_40769_64047,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,False,False,1.0,True,,,,The RX 350 from The Hino Dutro creator's luxury division changed body style in April 2012.,1920,265,0,0.027167145162820816,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1920, 'prime_tokens_output': 265}"
real_musique_00024_3hop1__79039_131926_90707,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,"The body of water by the city home to the Juicy Lucy and the Ohio River meet at the city of Cairo, Illinois.",1650,639,0,0.010624993592500687,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1650, 'prime_tokens_output': 639}"
real_musique_00025_3hop1__813285_774554_124169,musique_real,direct,meta-llama/llama-3.1-8b-instruct,42,True,True,0.0,False,,,,The post of Governor of Vatican City ended in 1952.,1684,333,0,0.014208024367690086,"{'split': 'train', 'meta_summary': {}, 'prime_tokens_input': 1684, 'prime_tokens_output': 333}"
