Resuming arm=direct: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=self_refine: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=full_regen: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=react: 62 (task_id, seed) rows already present, will be skipped.
Resuming arm=selfcheckgpt: 61 (task_id, seed) rows already present, will be skipped.
Resuming arm=reflexion: 60 (task_id, seed) rows already present, will be skipped.
Resuming arm=intro_specter: 60 (task_id, seed) rows already present, will be skipped.
Building 60 recipes native-multi-fault (N=5) examples (bench_seed=42)...
Built 60 examples. seeds=[0, 1, 2], model=qwen-2.5-7b, arms=['direct', 'self_refine', 'full_regen', 'react', 'selfcheckgpt', 'reflexion', 'intro_specter']
  N=5 recipes_nonsynth_mf5_000021 seed=0 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8888,2354)
  N=5 recipes_nonsynth_mf5_000021 seed=0 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2804,1197)
  N=5 recipes_nonsynth_mf5_000021 seed=1 arm=full_regen: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(1880,1213)
  N=5 recipes_nonsynth_mf5_000021 seed=1 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(10780,2238)
  N=5 recipes_nonsynth_mf5_000021 seed=1 arm=reflexion: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(8888,2354)
  N=5 recipes_nonsynth_mf5_000021 seed=1 arm=intro_specter: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2804,1197)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=direct: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(940,907)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=self_refine: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': True} all_resolved=False n_resolved=3/5 tokens=(2946,1930)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=full_regen: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1880,1528)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=react: per_fault={'time_limit': False, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=1/5 tokens=(1933,2232)
  N=5 recipes_nonsynth_mf5_000021 seed=2 arm=selfcheckgpt: per_fault={'time_limit': True, 'calories': True, 'servings': False, 'excl_ingredient_1': False, 'excl_ingredient_2': False} all_resolved=False n_resolved=2/5 tokens=(11371,2215)
