Building 60 4-fault-injected twowiki_real examples (bench_seed=42, scan_limit=40000)...
Built 60 examples. seeds=[0, 1, 2], model=mistral-nemo-12b, arms=['reflexion', 'intro_specter', 'intro_specter_fixed']
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,377)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5515,945)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5515,945)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,377)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5515,945)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5515,945)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2442,372)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5510,924)
  N=4 real_2wiki_00139_e9e0014e0bd911eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5510,924)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16086,2265)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5788,1063)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5788,1063)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(16086,2265)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5788,1063)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5788,1063)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(14765,1578)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5664,1065)
  N=4 real_2wiki_00147_e8d37e800bdd11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5664,1065)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13635,1870)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4928,921)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4928,921)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(13635,1870)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4928,921)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(4928,921)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(12718,1305)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4773,651)
  N=4 real_2wiki_00157_36979dce0bdc11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4773,651)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13100,1428)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4933,1046)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4933,1046)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13100,1428)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4933,1046)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4933,1046)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(13464,1666)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4919,773)
  N=4 real_2wiki_00382_bd036cfc088811ebbd6eac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': False, 'bullets': True, 'concise': True, 'english': True} all_resolved=False n_resolved=3/4 tokens=(4919,773)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15492,1776)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5644,1014)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5644,1014)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15492,1776)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5644,1014)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5644,1014)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': False, 'concise': True, 'english': True, 'preamble': True} all_resolved=False n_resolved=3/4 tokens=(15456,1932)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5641,907)
  N=4 real_2wiki_00420_e55095520bda11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5641,907)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2165,526)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,1053)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,1053)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2165,526)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,1053)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5151,1053)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(2165,466)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5091,1106)
  N=4 real_2wiki_00481_c388f4ac093911ebbdaeac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(5091,1106)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2578,294)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5706,735)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5706,735)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2578,294)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5706,735)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5706,735)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2579,581)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6080,1148)
  N=4 real_2wiki_00805_60b8f042085f11ebbd5cac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(6080,1148)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2416,424)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5532,909)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5532,909)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2416,424)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5532,909)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5532,909)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2416,338)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5425,882)
  N=4 real_2wiki_00914_1d352a200bde11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5425,882)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7996,594)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5408,450)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5408,450)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(7996,594)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5408,450)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5408,450)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2536,181)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5472,504)
  N=4 real_2wiki_00966_183f6cc40bde11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5472,504)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,403)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4858,973)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4858,973)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,403)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4858,973)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4858,973)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2090,283)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4696,704)
  N=4 real_2wiki_01092_f7f0760208e011ebbda2ac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(4696,704)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1981,184)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4365,661)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4365,661)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1981,184)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4365,661)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4365,661)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=2 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(1981,196)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=2 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4377,515)
  N=4 real_2wiki_01130_0ac40d780bdb11eba7f7acde48001122 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'concise': True, 'english': True} all_resolved=True n_resolved=4/4 tokens=(4377,515)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=0 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2525,456)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=0 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5823,1048)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5823,1048)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=1 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2525,456)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=1 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5823,1048)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=1 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5823,1048)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=2 arm=reflexion: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2525,403)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=2 arm=intro_specter: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5749,1032)
  N=4 real_2wiki_01205_f8cb5c6b087511ebbd67ac1f6bf848b6 seed=2 arm=intro_specter_fixed: per_fault={'ctx': True, 'concise': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5749,1032)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=0 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2313,394)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=0 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5294,1057)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=0 arm=intro_specter_fixed: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5294,1057)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=1 arm=reflexion: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(2313,394)
  N=4 real_2wiki_01624_a84ba2780bda11eba7f7acde48001122 seed=1 arm=intro_specter: per_fault={'ctx': True, 'bullets': True, 'english': True, 'preamble': True} all_resolved=True n_resolved=4/4 tokens=(5294,1057)
