task_id,dataset,method,model,seed,success,constraint_satisfied,violation_rate,profile_violation,repair_status,fault_node_predicted,posterior,final_output,tokens_input,tokens_output,tool_calls,latency_ms,extra
real_lme_00000_gpt4_2ba83207,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,"In the past month, you spent the most money at Thrive Market.",4810,640,0,10382.569125009468,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2149, 'prime_tokens_output': 241}"
real_lme_00001_603deb26,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,"Since your friend Emma showed you how to make it, you have tried making a Negroni at home 10 times.",4900,607,0,8873.004375011078,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2186, 'prime_tokens_output': 290}"
real_lme_00002_51c32626,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,True,repaired,a1,"[{'node_id': 'a1', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.9302325581395348}, {'node_id': 'a0', 'prior': 0.0075, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.06976744186046513}]",February 1st,4045,323,0,32191.18870800594,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1868, 'prime_tokens_output': 125}"
real_lme_00003_8550ddae,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,"Last weekend, you tried a lavender gin fizz recipe.",4136,297,0,6190.6406250054715,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1918, 'prime_tokens_output': 118}"
real_lme_00004_gpt4_2655b836,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,True,repaired,a2,"[{'node_id': 'a2', 'prior': 0.059999999999999984, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",The first issue you had with your new car after its first service was the GPS system not functioning correctly.,4266,319,0,31425.22433400154,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier']}, 'prime_tokens_input': 1955, 'prime_tokens_output': 141}"
real_lme_00005_2698e78f_abs,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,True,repaired_via_fallback,a1,"[{'node_id': 'a1', 'prior': 0.11999999999999997, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.7058823529411762}, {'node_id': 'a0', 'prior': 0.050000000000000044, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.29411764705882376}]",The information provided is not enough. You mentioned seeing Dr. Smith but not Dr. Johnson.,12085,596,0,56868.80020800163,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'fallback_reflexion']}, 'prime_tokens_input': 1873, 'prime_tokens_output': 97}"
real_lme_00006_gpt4_1d80365e,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,repair_failed,a2,"[{'node_id': 'a1', 'prior': 0.11999999999999997, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.4444444444444445}, {'node_id': 'a2', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 0.3703703703703704}, {'node_id': 'a0', 'prior': 0.05, 'likelihood': 1.0, 'cost': 2.0, 'posterior': 0.18518518518518526}]",Your solo camping trip in Yosemite National Park lasted 2 days. It can also be considered as 3 days including the last day.,13424,983,0,83807.22412499017,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'fallback_reflexion']}, 'prime_tokens_input': 2003, 'prime_tokens_output': 206}"
real_lme_00007_5025383b,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,The two hobbies that led you to join online communities are photography and cooking.,3831,347,0,6471.271083995816,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1725, 'prime_tokens_output': 169}"
real_lme_00008_gpt4_cd90e484,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,"Based on the information provided, you used your new binoculars for about two weeks before spotting the returning American goldfinches.",4171,579,0,13075.216750003165,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1864, 'prime_tokens_output': 230}"
real_lme_00009_c19f7a0b,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,"On weeknights, you can make a quick and easy one-pot pasta meal that takes about 30 minutes to prepare and cook after you get home from work at 6:30 pm.",4411,537,0,11436.563750001369,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 1976, 'prime_tokens_output': 248}"
real_lme_00010_0a34ad58,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,False,False,1.0,True,repair_failed,a0,"[{'node_id': 'a0', 'prior': 0.09999999999999998, 'likelihood': 1.0, 'cost': 1.0, 'posterior': 1.0}]",Utilize your Suica card for efficient travel and plan to visit the market early in the morning for a less crowded experience.,13857,510,0,56470.81516699109,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier', 'attribution', 'decision', 'post_verifier', 'fallback_reflexion']}, 'prime_tokens_input': 2135, 'prime_tokens_output': 89}"
real_lme_00011_gpt4_65aabe59,longmemeval_real,intro_specter_llm,qwen/qwen-2.5-7b-instruct,42,True,True,0.0,False,accepted,,,The smart thermostat was set up first.,4512,438,0,14043.418125002063,"{'split': 'train', 'meta_summary': {'stages': ['extraction', 'verifier']}, 'prime_tokens_input': 2070, 'prime_tokens_output': 159}"
